Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.8245
'0:0:0.2,1.8236
'0:0:0.4,1.8225
'0:0:0.6,1.8222
'0:0:0.8,1.8273
'0:0:1.0,1.8212
'0:0:1.2,1.8197
'0:0:1.4,1.8212
'0:0:1.6,1.8181
'0:0:1.8,1.8222
'0:0:2.0,1.8174
'0:0:2.2,1.8194
'0:0:2.4,1.8187
'0:0:2.6,1.8200
'0:0:2.8,1.8174
'0:0:3.0,1.8163
'0:0:3.2,1.8162
'0:0:3.4,1.8178
'0:0:3.6,1.8222
'0:0:3.8,1.8200
'0:0:4.0,1.8156
'0:0:4.2,1.8138
'0:0:4.4,1.8134
'0:0:4.6,1.8129
'0:0:4.8,1.8125
'0:0:5.0,1.8125
'0:0:5.2,1.8131
'0:0:5.4,1.8134
'0:0:5.6,1.8131
'0:0:5.8,1.8125
'0:0:6.0,1.8112
'0:0:6.2,1.8100
'0:0:6.4,1.8090
'0:0:6.6,1.8082
'0:0:6.8,1.8078
'0:0:7.0,1.8074
'0:0:7.2,1.8066
'0:0:7.4,1.8060
'0:0:7.6,1.8053
'0:0:7.8,1.8043
'0:0:8.0,1.8041
'0:0:8.2,1.8038
'0:0:8.4,1.8027
'0:0:8.6,1.8019
'0:0:8.8,1.8014
'0:0:9.0,1.8008
'0:0:9.2,1.8000
'0:0:9.4,1.7992
'0:0:9.6,1.7984
'0:0:9.8,1.7977
'0:0:10.0,1.7992
'0:0:10.2,1.7987
'0:0:10.4,1.7983
'0:0:10.6,1.7977
'0:0:10.8,1.7971
'0:0:11.0,1.7970
'0:0:11.2,1.7964
'0:0:11.4,1.7958
'0:0:11.6,1.7952
'0:0:11.8,1.7948
'0:0:12.0,1.7943
'0:0:12.2,1.7938
'0:0:12.4,1.7935
'0:0:12.6,1.7929
'0:0:12.8,1.7922
'0:0:13.0,1.7916
'0:0:13.2,1.7908
'0:0:13.4,1.7901
'0:0:13.6,1.7894
'0:0:13.8,1.7887
'0:0:14.0,1.7881
'0:0:14.2,1.7875
'0:0:14.4,1.7869
'0:0:14.6,1.7865
'0:0:14.8,1.7862
'0:0:15.0,1.7853
'0:0:15.2,1.7847
'0:0:15.4,1.7840
'0:0:15.6,1.7839
'0:0:15.8,1.7840
'0:0:16.0,1.7834
'0:0:16.2,1.7833
'0:0:16.4,1.7829
'0:0:16.6,1.7824
'0:0:16.8,1.7818
'0:0:17.0,1.7810
'0:0:17.2,1.7805
'0:0:17.4,1.7797
'0:0:17.6,1.7789
'0:0:17.8,1.7781
'0:0:18.0,1.7778
'0:0:18.2,1.7776
'0:0:18.4,1.7769
'0:0:18.6,1.7762
'0:0:18.8,1.7755
'0:0:19.0,1.7748
'0:0:19.2,1.7740
'0:0:19.4,1.7732
'0:0:19.6,1.7729
'0:0:19.8,1.7720
'0:0:20.0,1.7713
'0:0:20.2,1.7704
'0:0:20.4,1.7697
'0:0:20.6,1.7690
'0:0:20.8,1.7683
'0:0:21.0,1.7681
'0:0:21.2,1.7683
'0:0:21.4,1.7681
'0:0:21.6,1.7677
'0:0:21.8,1.7670
'0:0:22.0,1.7665
'0:0:22.2,1.7660
'0:0:22.4,1.7655
'0:0:22.6,1.7648
'0:0:22.8,1.7644
'0:0:23.0,1.7640
'0:0:23.2,1.7634
'0:0:23.4,1.7628
'0:0:23.6,1.7627
'0:0:23.8,1.7621
'0:0:24.0,1.7619
'0:0:24.2,1.7619
'0:0:24.4,1.7617
'0:0:24.6,1.7612
'0:0:24.8,1.7607
'0:0:25.0,1.7601
'0:0:25.2,1.7596
'0:0:25.4,1.7594
'0:0:25.6,1.7588
'0:0:25.8,1.7581
'0:0:26.0,1.7574
'0:0:26.2,1.7568
'0:0:26.4,1.7566
'0:0:26.6,1.7559
'0:0:26.8,1.7553
'0:0:27.0,1.7549
'0:0:27.2,1.7543
'0:0:27.4,1.7543
'0:0:27.6,1.7539
'0:0:27.8,1.7535
'0:0:28.0,1.7531
'0:0:28.2,1.7525
'0:0:28.4,1.7519
'0:0:28.6,1.7515
'0:0:28.8,1.7509
'0:0:29.0,1.7506
'0:0:29.2,1.7502
'0:0:29.4,1.7496
'0:0:29.6,1.7491
'0:0:29.8,1.7486
'0:0:30.0,1.7484
'0:0:30.2,1.7476
'0:0:30.4,1.7472
'0:0:30.6,1.7466
'0:0:30.8,1.7465
'0:0:31.0,1.7459
'0:0:31.2,1.7452
'0:0:31.4,1.7444
'0:0:31.6,1.7437
'0:0:31.8,1.7435
'0:0:32.0,1.7439
'0:0:32.2,1.7435
'0:0:32.4,1.7429
'0:0:32.6,1.7425
'0:0:32.8,1.7418
'0:0:33.0,1.7415
'0:0:33.2,1.7412
'0:0:33.4,1.7412
'0:0:33.6,1.7405
'0:0:33.8,1.7398
'0:0:34.0,1.7395
'0:0:34.2,1.7410
'0:0:34.4,1.7432
'0:0:34.6,1.7435
'0:0:34.8,1.7438
'0:0:35.0,1.7437
'0:0:35.2,1.7437
'0:0:35.4,1.7437
'0:0:35.6,1.7432
'0:0:35.8,1.7432
'0:0:36.0,1.7435
'0:0:36.2,1.7428
'0:0:36.4,1.7421
'0:0:36.6,1.7418
'0:0:36.8,1.7411
'0:0:37.0,1.7402
'0:0:37.2,1.7397
'0:0:37.4,1.7394
'0:0:37.6,1.7387
'0:0:37.8,1.7381
'0:0:38.0,1.7378
'0:0:38.2,1.7375
'0:0:38.4,1.7371
'0:0:38.6,1.7367
'0:0:38.8,1.7364
'0:0:39.0,1.7358
'0:0:39.2,1.7360
'0:0:39.4,1.7360
'0:0:39.6,1.7357
'0:0:39.8,1.7357
'0:0:40.0,1.7354
'0:0:40.2,1.7354
'0:0:40.4,1.7350
'0:0:40.6,1.7350
'0:0:40.8,1.7344
'0:0:41.0,1.7341
'0:0:41.2,1.7337
'0:0:41.4,1.7332
'0:0:41.6,1.7324
'0:0:41.8,1.7323
'0:0:42.0,1.7320
'0:0:42.2,1.7316
'0:0:42.4,1.7313
'0:0:42.6,1.7313
'0:0:42.8,1.7309
'0:0:43.0,1.7309
'0:0:43.2,1.7309
'0:0:43.4,1.7306
'0:0:43.6,1.7305
'0:0:43.8,1.7305
'0:0:44.0,1.7307
'0:0:44.2,1.7303
'0:0:44.4,1.7309
'0:0:44.6,1.7306
'0:0:44.8,1.7303
'0:0:45.0,1.7303
'0:0:45.2,1.7299
'0:0:45.4,1.7293
'0:0:45.6,1.7292
'0:0:45.8,1.7291
'0:0:46.0,1.7291
'0:0:46.2,1.7295
'0:0:46.4,1.7291
'0:0:46.6,1.7288
'0:0:46.8,1.7286
'0:0:47.0,1.7282
'0:0:47.2,1.7283
'0:0:47.4,1.7282
'0:0:47.6,1.7286
'0:0:47.8,1.7288
'0:0:48.0,1.7292
'0:0:48.2,1.7291
'0:0:48.4,1.7296
'0:0:48.6,1.7293
'0:0:48.8,1.7299
'0:0:49.0,1.7295
'0:0:49.2,1.7293
'0:0:49.4,1.7289
'0:0:49.6,1.7289
'0:0:49.8,1.7286
'0:0:50.0,1.7283
'0:0:50.2,1.7279
'0:0:50.4,1.7281
'0:0:50.6,1.7278
'0:0:50.8,1.7276
'0:0:51.0,1.7276
'0:0:51.2,1.7274
'0:0:51.4,1.7271
'0:0:51.6,1.7271
'0:0:51.8,1.7271
'0:0:52.0,1.7267
'0:0:52.2,1.7264
'0:0:52.4,1.7265
'0:0:52.6,1.7265
'0:0:52.8,1.7267
'0:0:53.0,1.7262
'0:0:53.2,1.7264
'0:0:53.4,1.7268
'0:0:53.6,1.7267
'0:0:53.8,1.7292
'0:0:54.0,1.7293
'0:0:54.2,1.7286
'0:0:54.4,1.7289
'0:0:54.6,1.7293
'0:0:54.8,1.7292
'0:0:55.0,1.7285
'0:0:55.2,1.7285
'0:0:55.4,1.7282
'0:0:55.6,1.7279
'0:0:55.8,1.7278
'0:0:56.0,1.7276
'0:0:56.2,1.7274
'0:0:56.4,1.7274
'0:0:56.6,1.7269
'0:0:56.8,1.7278
'0:0:57.0,1.7272
'0:0:57.2,1.7269
'0:0:57.4,1.7267
'0:0:57.6,1.7267
'0:0:57.8,1.7261
'0:0:58.0,1.7262
'0:0:58.2,1.7259
'0:0:58.4,1.7255
'0:0:58.6,1.7250
'0:0:58.8,1.7241
'0:0:59.0,1.7238
'0:0:59.2,1.7241
'0:0:59.4,1.7243
'0:0:59.6,1.7237
'0:0:59.8,1.7234
'0:1:0.0,1.7233
'0:1:0.2,1.7230
'0:1:0.4,1.7228
'0:1:0.6,1.7228
'0:1:0.8,1.7230
'0:1:1.0,1.7233
'0:1:1.2,1.7231
'0:1:1.4,1.7230
'0:1:1.6,1.7230
'0:1:1.8,1.7228
'0:1:2.0,1.7226
'0:1:2.2,1.7226
'0:1:2.4,1.7221
'0:1:2.6,1.7220
'0:1:2.8,1.7221
'0:1:3.0,1.7216
'0:1:3.2,1.7214
'0:1:3.4,1.7212
'0:1:3.6,1.7210
'0:1:3.8,1.7207
'0:1:4.0,1.7206
'0:1:4.2,1.7205
'0:1:4.4,1.7205
'0:1:4.6,1.7196
'0:1:4.8,1.7198
'0:1:5.0,1.7195
'0:1:5.2,1.7193
'0:1:5.4,1.7192
'0:1:5.6,1.7196
'0:1:5.8,1.7195
'0:1:6.0,1.7196
'0:1:6.2,1.7189
'0:1:6.4,1.7188
'0:1:6.6,1.7185
'0:1:6.8,1.7182
'0:1:7.0,1.7182
'0:1:7.2,1.7181
'0:1:7.4,1.7181
'0:1:7.6,1.7181
'0:1:7.8,1.7179
'0:1:8.0,1.7178
'0:1:8.2,1.7174
'0:1:8.4,1.7174
'0:1:8.6,1.7171
'0:1:8.8,1.7169
'0:1:9.0,1.7172
'0:1:9.2,1.7171
'0:1:9.4,1.7174
'0:1:9.6,1.7178
'0:1:9.8,1.7178
'0:1:10.0,1.7176
'0:1:10.2,1.7224
'0:1:10.4,1.7272
'0:1:10.6,1.7203
'0:1:10.8,1.7095
'0:1:11.0,1.6880
'0:1:11.2,1.6804
'0:1:11.4,1.6695
'0:1:11.6,1.6663
'0:1:11.8,1.6621
'0:1:12.0,1.6601
'0:1:12.2,1.6565
'0:1:12.4,1.6554
'0:1:12.6,1.6523
'0:1:12.8,1.6875
'0:1:13.0,1.6902
'0:1:13.2,1.6939
'0:1:13.4,1.6740
'0:1:13.6,1.6844
'0:1:13.8,1.6998
'0:1:14.0,1.6999
'0:1:14.2,1.7101
'0:1:14.4,1.7122
'0:1:14.6,1.7042
'0:1:14.8,1.6963
'0:1:15.0,1.6934
'0:1:15.2,1.6907
'0:1:15.4,1.6893
'0:1:15.6,1.6891
'0:1:15.8,1.6914
'0:1:16.0,1.6970
'0:1:16.2,1.6957
'0:1:16.4,1.6966
'0:1:16.6,1.6974
'0:1:16.8,1.6952
'0:1:17.0,1.6906
'0:1:17.2,1.6772
'0:1:17.4,1.6425
'0:1:17.6,1.6167
'0:1:17.8,1.6320
'0:1:18.0,1.6702
'0:1:18.2,1.6644
'0:1:18.4,1.6146
'0:1:18.6,1.6030
'0:1:18.8,1.6215
'0:1:19.0,1.6552
'0:1:19.2,1.6250
'0:1:19.4,1.5951
'0:1:19.6,1.6089
'0:1:19.8,1.6394
'0:1:20.0,1.5780
'0:1:20.2,1.5669
'0:1:20.4,1.5698
'0:1:20.6,1.5988
'0:1:20.8,1.6069
'0:1:21.0,1.5827
'0:1:21.2,1.5935
'0:1:21.4,1.6093
'0:1:21.6,1.6219
'0:1:21.8,1.6197
'0:1:22.0,1.6130
'0:1:22.2,1.6193
'0:1:22.4,1.6362
'0:1:22.6,1.6324
'0:1:22.8,1.6287
'0:1:23.0,1.6317
'0:1:23.2,1.6303
'0:1:23.4,1.6284
'0:1:23.6,1.6274
'0:1:23.8,1.6354
'0:1:24.0,1.6393
'0:1:24.2,1.6392
'0:1:24.4,1.6401
'0:1:24.6,1.6450
'0:1:24.8,1.6497
'0:1:25.0,1.6532
'0:1:25.2,1.6546
'0:1:25.4,1.6564
'0:1:25.6,1.6594
'0:1:25.8,1.6618
'0:1:26.0,1.6558
'0:1:26.2,1.6584
'0:1:26.4,1.6663
'0:1:26.6,1.6790
'0:1:26.8,1.6860
'0:1:27.0,1.6902
'0:1:27.2,1.6947
'0:1:27.4,1.7038
'0:1:27.6,1.7045
'0:1:27.8,1.7014
'0:1:28.0,1.6927
'0:1:28.2,1.6598
'0:1:28.4,1.6412
'0:1:28.6,1.6691
'0:1:28.8,1.7141
'0:1:29.0,1.7162
'0:1:29.2,1.7109
'0:1:29.4,1.6739
'0:1:29.6,1.6616
'0:1:29.8,1.6666
'0:1:30.0,1.6724
'0:1:30.2,1.6798
'0:1:30.4,1.6838
'0:1:30.6,1.6875
'0:1:30.8,1.6911
'0:1:31.0,1.7007
'0:1:31.2,1.7358
'0:1:31.4,1.7498
'0:1:31.6,1.7539
'0:1:31.8,1.7632
'0:1:32.0,1.7655
'0:1:32.2,1.7657
'0:1:32.4,1.7655
'0:1:32.6,1.7730
'0:1:32.8,1.7719
'0:1:33.0,1.7681
'0:1:33.2,1.7807
'0:1:33.4,1.7986
'0:1:33.6,1.7986
'0:1:33.8,1.8003
'0:1:34.0,1.7958
'0:1:34.2,1.7980
'0:1:34.4,1.7974
'0:1:34.6,1.7888
'0:1:34.8,1.7888
'0:1:35.0,1.7907
'0:1:35.2,1.7922
'0:1:35.4,1.7933
'0:1:35.6,1.7929
'0:1:35.8,1.7925
'0:1:36.0,1.7917
'0:1:36.2,1.7913
'0:1:36.4,1.7906
'0:1:36.6,1.7900
'0:1:36.8,1.7908
'0:1:37.0,1.7929
'0:1:37.2,1.7961
'0:1:37.4,1.7989
'0:1:37.6,1.8011
'0:1:37.8,1.8030
'0:1:38.0,1.8050
'0:1:38.2,1.8077
'0:1:38.4,1.8109
'0:1:38.6,1.8150
'0:1:38.8,1.8190
'0:1:39.0,1.8242
'0:1:39.2,1.8255
'0:1:39.4,1.8270
'0:1:39.6,1.8274
'0:1:39.8,1.8279
'0:1:40.0,1.8279
'0:1:40.2,1.8277
'0:1:40.4,1.8262
'0:1:40.6,1.8250
'0:1:40.8,1.8234
'0:1:41.0,1.8221
'0:1:41.2,1.8209
'0:1:41.4,1.8202
'0:1:41.6,1.8212
'0:1:41.8,1.8193
'0:1:42.0,1.8183
'0:1:42.2,1.8175
'0:1:42.4,1.8174
'0:1:42.6,1.8178
'0:1:42.8,1.8197
'0:1:43.0,1.8265
'0:1:43.2,1.8285
'0:1:43.4,1.8305
'0:1:43.6,1.8316
'0:1:43.8,1.8320
'0:1:44.0,1.8366
'0:1:44.2,1.8403
'0:1:44.4,1.8435
'0:1:44.6,1.8478
'0:1:44.8,1.8511
'0:1:45.0,1.8546
'0:1:45.2,1.8562
