Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,5.3201
'0:0:0.1,5.3166
'0:0:0.2,5.3131
'0:0:0.3,5.3076
'0:0:0.4,5.3016
'0:0:0.5,5.2951
'0:0:0.6,5.2881
'0:0:0.7,5.2822
'0:0:0.8,5.2737
'0:0:0.9,5.2663
'0:0:1.0,5.2608
'0:0:1.1,5.2559
'0:0:1.2,5.2515
'0:0:1.3,5.2480
'0:0:1.4,5.2450
'0:0:1.5,5.2421
'0:0:1.6,5.2387
'0:0:1.7,5.2352
'0:0:1.8,5.2288
'0:0:1.9,5.2269
'0:0:2.0,5.2288
'0:0:2.1,5.2254
'0:0:2.2,5.2215
'0:0:2.3,5.2186
'0:0:2.4,5.2151
'0:0:2.5,5.2112
'0:0:2.6,5.2073
'0:0:2.7,5.2039
'0:0:2.8,5.1986
'0:0:2.9,5.1932
'0:0:3.0,5.1903
'0:0:3.1,5.1884
'0:0:3.2,5.1835
'0:0:3.3,5.1801
'0:0:3.4,5.1772
'0:0:3.5,5.1743
'0:0:3.6,5.1724
'0:0:3.7,5.1676
'0:0:3.8,5.1603
'0:0:3.9,5.1579
'0:0:4.0,5.1555
'0:0:4.1,5.1512
'0:0:4.2,5.1454
'0:0:4.3,5.1397
'0:0:4.4,5.1354
'0:0:4.5,5.1301
'0:0:4.6,5.1263
'0:0:4.7,5.1220
'0:0:4.8,5.1201
'0:0:4.9,5.1182
'0:0:5.0,5.1163
'0:0:5.1,5.1130
'0:0:5.2,5.1082
'0:0:5.3,5.1049
'0:0:5.4,5.0983
'0:0:5.5,5.0898
'0:0:5.6,5.0846
'0:0:5.7,5.0822
'0:0:5.8,5.0761
'0:0:5.9,5.0719
'0:0:6.0,5.0700
'0:0:6.1,5.0676
'0:0:6.2,5.0648
'0:0:6.3,5.0634
'0:0:6.4,5.0625
'0:0:6.5,5.0639
'0:0:6.6,5.0639
'0:0:6.7,5.0625
'0:0:6.8,5.0583
'0:0:6.9,5.0550
'0:0:7.0,5.0531
'0:0:7.1,5.0526
'0:0:7.2,5.0540
'0:0:7.3,5.0545
'0:0:7.4,5.0526
'0:0:7.5,5.0494
'0:0:7.6,5.0447
'0:0:7.7,5.0279
'0:0:7.8,5.0052
'0:0:7.9,4.9777
'0:0:8.0,4.9616
'0:0:8.1,4.9594
'0:0:8.2,4.9607
'0:0:8.3,4.9712
'0:0:8.4,4.9900
'0:0:8.5,5.0154
'0:0:8.6,5.0391
'0:0:8.7,5.0921
'0:0:8.8,5.1068
'0:0:8.9,5.1135
'0:0:9.0,5.1154
'0:0:9.1,5.1173
'0:0:9.2,5.1182
'0:0:9.3,5.1025
'0:0:9.4,5.0917
'0:0:9.5,5.0855
'0:0:9.6,5.0912
'0:0:9.7,5.0832
'0:0:9.8,5.0799
'0:0:9.9,5.0827
'0:0:10.0,5.0850
'0:0:10.1,5.0874
'0:0:10.2,5.0846
'0:0:10.3,5.0784
'0:0:10.4,5.0761
'0:0:10.5,5.0775
'0:0:10.6,5.0770
'0:0:10.7,5.0700
'0:0:10.8,5.0912
'0:0:10.9,5.0926
'0:0:11.0,5.0874
'0:0:11.1,5.0808
'0:0:11.2,5.0667
'0:0:11.3,5.0629
'0:0:11.4,5.0658
'0:0:11.5,5.0648
'0:0:11.6,5.0601
'0:0:11.7,5.0568
'0:0:11.8,5.0564
'0:0:11.9,5.0554
'0:0:12.0,5.0531
'0:0:12.1,5.0498
'0:0:12.2,5.0489
'0:0:12.3,5.0480
'0:0:12.4,5.0452
'0:0:12.5,5.0419
'0:0:12.6,5.0317
'0:0:12.7,4.9969
'0:0:12.8,4.9836
'0:0:12.9,4.9845
'0:0:13.0,5.0261
'0:0:13.1,5.0261
'0:0:13.2,5.0382
'0:0:13.3,5.0414
'0:0:13.4,5.0424
'0:0:13.5,5.0442
'0:0:13.6,5.0428
'0:0:13.7,5.0405
'0:0:13.8,5.0386
'0:0:13.9,5.0340
'0:0:14.0,5.0326
'0:0:14.1,5.0424
'0:0:14.2,5.0136
'0:0:14.3,5.0089
'0:0:14.4,5.0145
'0:0:14.5,5.0108
'0:0:14.6,5.0085
'0:0:14.7,5.0062
'0:0:14.8,5.0043
'0:0:14.9,5.0006
'0:0:15.0,5.0002
'0:0:15.1,5.0006
'0:0:15.2,5.0002
'0:0:15.3,5.0006
'0:0:15.4,5.0020
'0:0:15.5,5.0043
'0:0:15.6,5.0071
'0:0:15.7,5.0089
'0:0:15.8,5.0089
'0:0:15.9,5.0094
'0:0:16.0,5.0117
'0:0:16.1,5.0117
'0:0:16.2,5.0113
'0:0:16.3,5.0117
'0:0:16.4,5.0108
'0:0:16.5,5.0094
'0:0:16.6,5.0085
'0:0:16.7,5.0062
'0:0:16.8,5.0025
'0:0:16.9,5.0002
'0:0:17.0,4.9997
'0:0:17.1,4.9997
'0:0:17.2,5.0011
'0:0:17.3,5.0025
'0:0:17.4,5.0076
'0:0:17.5,5.0131
'0:0:17.6,5.0168
'0:0:17.7,5.0228
'0:0:17.8,5.0265
'0:0:17.9,5.0330
'0:0:18.0,5.0396
'0:0:18.1,5.0456
'0:0:18.2,5.0526
'0:0:18.3,5.0601
'0:0:18.4,5.0676
'0:0:18.5,5.0766
'0:0:18.6,5.0841
'0:0:18.7,5.0912
'0:0:18.8,5.1011
'0:0:18.9,5.1092
'0:0:19.0,5.1163
'0:0:19.1,5.1230
'0:0:19.2,5.1292
'0:0:19.3,5.1340
'0:0:19.4,5.1378
'0:0:19.5,5.1392
'0:0:19.6,5.1363
'0:0:19.7,5.1344
'0:0:19.8,5.1325
'0:0:19.9,5.1292
'0:0:20.0,5.1263
'0:0:20.1,5.1230
'0:0:20.2,5.1206
'0:0:20.3,5.1173
'0:0:20.4,5.1149
'0:0:20.5,5.1116
'0:0:20.6,5.1073
'0:0:20.7,5.1059
'0:0:20.8,5.1044
'0:0:20.9,5.1021
'0:0:21.0,5.1011
'0:0:21.1,5.1002
'0:0:21.2,5.0992
'0:0:21.3,5.0988
'0:0:21.4,5.0973
'0:0:21.5,5.0931
'0:0:21.6,5.0912
'0:0:21.7,5.0907
'0:0:21.8,5.0888
'0:0:21.9,5.0874
'0:0:22.0,5.0855
'0:0:22.1,5.0855
'0:0:22.2,5.0850
'0:0:22.3,5.0827
'0:0:22.4,5.0780
'0:0:22.5,5.0742
'0:0:22.6,5.0709
'0:0:22.7,5.0672
'0:0:22.8,5.0625
'0:0:22.9,5.0583
'0:0:23.0,5.0536
'0:0:23.1,5.0503
'0:0:23.2,5.0466
'0:0:23.3,5.0410
'0:0:23.4,5.0344
'0:0:23.5,5.0298
'0:0:23.6,5.0265
'0:0:23.7,5.0233
'0:0:23.8,5.0210
'0:0:23.9,5.0187
'0:0:24.0,5.0159
'0:0:24.1,5.0131
'0:0:24.2,5.0099
'0:0:24.3,5.0080
'0:0:24.4,5.0076
'0:0:24.5,5.0071
'0:0:24.6,5.0085
'0:0:24.7,5.0089
'0:0:24.8,5.0094
'0:0:24.9,5.0108
'0:0:25.0,5.0113
'0:0:25.1,5.0089
'0:0:25.2,5.0085
'0:0:25.3,5.0080
'0:0:25.4,5.0052
'0:0:25.5,5.0034
'0:0:25.6,5.0016
'0:0:25.7,4.9992
'0:0:25.8,4.9974
'0:0:25.9,4.9969
'0:0:26.0,4.9969
'0:0:26.1,4.9974
'0:0:26.2,5.0011
'0:0:26.3,5.0052
'0:0:26.4,5.0080
'0:0:26.5,5.0122
'0:0:26.6,5.0168
'0:0:26.7,5.0205
'0:0:26.8,5.0238
'0:0:26.9,5.0256
'0:0:27.0,5.0261
'0:0:27.1,5.0279
'0:0:27.2,5.0303
'0:0:27.3,5.0298
'0:0:27.4,5.0303
'0:0:27.5,5.0321
'0:0:27.6,5.0349
'0:0:27.7,5.0377
'0:0:27.8,5.0396
'0:0:27.9,5.0400
'0:0:28.0,5.0419
'0:0:28.1,5.0438
'0:0:28.2,5.0447
'0:0:28.3,5.0461
'0:0:28.4,5.0508
'0:0:28.5,5.0573
'0:0:28.6,5.0676
'0:0:28.7,5.0794
'0:0:28.8,5.0940
'0:0:28.9,5.1120
'0:0:29.0,5.1287
'0:0:29.1,5.1445
'0:0:29.2,5.1599
'0:0:29.3,5.1729
'0:0:29.4,5.1830
'0:0:29.5,5.1913
'0:0:29.6,5.1966
'0:0:29.7,5.1981
'0:0:29.8,5.2010
'0:0:29.9,5.1995
'0:0:30.0,5.1971
'0:0:30.1,5.1937
'0:0:30.2,5.1884
'0:0:30.3,5.1821
'0:0:30.4,5.1758
'0:0:30.5,5.1671
'0:0:30.6,5.1589
'0:0:30.7,5.1522
'0:0:30.8,5.1445
'0:0:30.9,5.1368
'0:0:31.0,5.1301
'0:0:31.1,5.1239
