Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.5199
'0:0:0.1,2.5183
'0:0:0.2,2.5171
'0:0:0.3,2.5155
'0:0:0.4,2.5139
'0:0:0.5,2.5123
'0:0:0.6,2.5109
'0:0:0.7,2.5096
'0:0:0.8,2.5086
'0:0:0.9,2.5078
'0:0:1.0,2.5064
'0:0:1.1,2.5056
'0:0:1.2,2.5038
'0:0:1.3,2.5026
'0:0:1.4,2.5016
'0:0:1.5,2.5006
'0:0:1.6,2.5000
'0:0:1.7,2.4992
'0:0:1.8,2.4984
'0:0:1.9,2.4972
'0:0:2.0,2.4958
'0:0:2.1,2.4952
'0:0:2.2,2.4948
'0:0:2.3,2.4954
'0:0:2.4,2.4972
'0:0:2.5,2.5006
'0:0:2.6,2.5056
'0:0:2.7,2.5119
'0:0:2.8,2.5195
'0:0:2.9,2.5288
'0:0:3.0,2.5385
'0:0:3.1,2.5487
'0:0:3.2,2.5583
'0:0:3.3,2.5686
'0:0:3.4,2.5789
'0:0:3.5,2.5884
'0:0:3.6,2.5976
'0:0:3.7,2.6059
'0:0:3.8,2.6134
'0:0:3.9,2.6212
'0:0:4.0,2.6275
'0:0:4.1,2.6326
'0:0:4.2,2.6381
'0:0:4.3,2.6430
'0:0:4.4,2.6453
'0:0:4.5,2.6461
'0:0:4.6,2.6474
'0:0:4.7,2.6493
'0:0:4.8,2.6491
'0:0:4.9,2.6481
'0:0:5.0,2.6457
'0:0:5.1,2.6432
'0:0:5.2,2.6400
'0:0:5.3,2.6370
'0:0:5.4,2.6341
'0:0:5.5,2.6311
'0:0:5.6,2.6284
'0:0:5.7,2.6256
'0:0:5.8,2.6229
'0:0:5.9,2.6197
'0:0:6.0,2.6164
'0:0:6.1,2.6128
'0:0:6.2,2.6091
'0:0:6.3,2.6061
'0:0:6.4,2.6028
'0:0:6.5,2.5999
'0:0:6.6,2.5965
'0:0:6.7,2.5932
'0:0:6.8,2.5899
'0:0:6.9,2.5870
'0:0:7.0,2.5841
'0:0:7.1,2.5820
'0:0:7.2,2.5793
'0:0:7.3,2.5766
'0:0:7.4,2.5752
'0:0:7.5,2.5748
'0:0:7.6,2.5756
'0:0:7.7,2.5777
'0:0:7.8,2.5810
'0:0:7.9,2.5851
'0:0:8.0,2.5895
'0:0:8.1,2.5942
'0:0:8.2,2.5986
'0:0:8.3,2.6030
'0:0:8.4,2.6068
'0:0:8.5,2.6103
'0:0:8.6,2.6141
'0:0:8.7,2.6162
'0:0:8.8,2.6179
'0:0:8.9,2.6193
'0:0:9.0,2.6197
'0:0:9.1,2.6195
'0:0:9.2,2.6187
'0:0:9.3,2.6176
'0:0:9.4,2.6168
'0:0:9.5,2.6160
'0:0:9.6,2.6155
'0:0:9.7,2.6149
'0:0:9.8,2.6137
'0:0:9.9,2.6122
'0:0:10.0,2.6099
'0:0:10.1,2.6082
'0:0:10.2,2.6059
'0:0:10.3,2.6040
'0:0:10.4,2.6028
'0:0:10.5,2.6015
'0:0:10.6,2.6015
'0:0:10.7,2.6024
'0:0:10.8,2.6042
'0:0:10.9,2.6074
'0:0:11.0,2.6107
'0:0:11.1,2.6143
'0:0:11.2,2.6172
'0:0:11.3,2.6200
'0:0:11.4,2.6223
'0:0:11.5,2.6235
'0:0:11.6,2.6246
'0:0:11.7,2.6250
'0:0:11.8,2.6254
'0:0:11.9,2.6250
'0:0:12.0,2.6239
'0:0:12.1,2.6233
'0:0:12.2,2.6218
'0:0:12.3,2.6204
'0:0:12.4,2.6191
'0:0:12.5,2.6172
'0:0:12.6,2.6158
'0:0:12.7,2.6139
'0:0:12.8,2.6124
'0:0:12.9,2.6107
'0:0:13.0,2.6091
'0:0:13.1,2.6082
'0:0:13.2,2.6072
'0:0:13.3,2.6072
'0:0:13.4,2.6078
'0:0:13.5,2.6091
'0:0:13.6,2.6118
'0:0:13.7,2.6155
'0:0:13.8,2.6189
'0:0:13.9,2.6225
'0:0:14.0,2.6258
'0:0:14.1,2.6288
'0:0:14.2,2.6311
'0:0:14.3,2.6332
'0:0:14.4,2.6347
'0:0:14.5,2.6364
'0:0:14.6,2.6366
'0:0:14.7,2.6366
'0:0:14.8,2.6360
'0:0:14.9,2.6345
'0:0:15.0,2.6330
'0:0:15.1,2.6320
'0:0:15.2,2.6298
'0:0:15.3,2.6277
'0:0:15.4,2.6254
'0:0:15.5,2.6229
'0:0:15.6,2.6204
'0:0:15.7,2.6181
'0:0:15.8,2.6158
'0:0:15.9,2.6141
'0:0:16.0,2.6124
'0:0:16.1,2.6122
'0:0:16.2,2.6120
'0:0:16.3,2.6122
'0:0:16.4,2.6126
'0:0:16.5,2.6132
'0:0:16.6,2.6137
'0:0:16.7,2.6141
'0:0:16.8,2.6137
'0:0:16.9,2.6137
'0:0:17.0,2.6132
'0:0:17.1,2.6128
'0:0:17.2,2.6124
'0:0:17.3,2.6118
'0:0:17.4,2.6107
'0:0:17.5,2.6105
'0:0:17.6,2.6114
'0:0:17.7,2.6130
'0:0:17.8,2.6155
'0:0:17.9,2.6193
'0:0:18.0,2.6246
'0:0:18.1,2.6294
'0:0:18.2,2.6336
'0:0:18.3,2.6377
'0:0:18.4,2.6413
'0:0:18.5,2.6442
'0:0:18.6,2.6468
'0:0:18.7,2.6487
'0:0:18.8,2.6508
'0:0:18.9,2.6527
'0:0:19.0,2.6549
'0:0:19.1,2.6564
'0:0:19.2,2.6568
'0:0:19.3,2.6564
'0:0:19.4,2.6553
'0:0:19.5,2.6542
'0:0:19.6,2.6529
'0:0:19.7,2.6517
'0:0:19.8,2.6506
'0:0:19.9,2.6495
'0:0:20.0,2.6485
'0:0:20.1,2.6478
'0:0:20.2,2.6491
'0:0:20.3,2.6498
'0:0:20.4,2.6498
'0:0:20.5,2.6495
'0:0:20.6,2.6491
'0:0:20.7,2.6481
'0:0:20.8,2.6472
'0:0:20.9,2.6461
'0:0:21.0,2.6444
'0:0:21.1,2.6432
'0:0:21.2,2.6411
'0:0:21.3,2.6389
'0:0:21.4,2.6366
'0:0:21.5,2.6345
'0:0:21.6,2.6320
'0:0:21.7,2.6294
'0:0:21.8,2.6271
'0:0:21.9,2.6244
'0:0:22.0,2.6212
'0:0:22.1,2.6189
'0:0:22.2,2.6164
'0:0:22.3,2.6141
'0:0:22.4,2.6122
'0:0:22.5,2.6103
'0:0:22.6,2.6088
'0:0:22.7,2.6076
'0:0:22.8,2.6065
'0:0:22.9,2.6057
'0:0:23.0,2.6051
'0:0:23.1,2.6057
'0:0:23.2,2.6072
'0:0:23.3,2.6105
'0:0:23.4,2.6145
'0:0:23.5,2.6206
'0:0:23.6,2.6277
'0:0:23.7,2.6353
'0:0:23.8,2.6438
'0:0:23.9,2.6515
'0:0:24.0,2.6581
'0:0:24.1,2.6640
'0:0:24.2,2.6692
'0:0:24.3,2.6737
'0:0:24.4,2.6771
'0:0:24.5,2.6799
'0:0:24.6,2.6819
'0:0:24.7,2.6827
'0:0:24.8,2.6834
'0:0:24.9,2.6834
'0:0:25.0,2.6825
'0:0:25.1,2.6816
'0:0:25.2,2.6806
'0:0:25.3,2.6784
'0:0:25.4,2.6765
'0:0:25.5,2.6741
'0:0:25.6,2.6715
'0:0:25.7,2.6690
'0:0:25.8,2.6664
'0:0:25.9,2.6638
'0:0:26.0,2.6604
'0:0:26.1,2.6576
'0:0:26.2,2.6544
'0:0:26.3,2.6515
'0:0:26.4,2.6487
'0:0:26.5,2.6459
'0:0:26.6,2.6434
'0:0:26.7,2.6404
'0:0:26.8,2.6377
'0:0:26.9,2.6349
'0:0:27.0,2.6315
'0:0:27.1,2.6298
'0:0:27.2,2.6275
'0:0:27.3,2.6256
'0:0:27.4,2.6237
'0:0:27.5,2.6225
'0:0:27.6,2.6210
'0:0:27.7,2.6200
'0:0:27.8,2.6181
'0:0:27.9,2.6168
'0:0:28.0,2.6153
'0:0:28.1,2.6139
'0:0:28.2,2.6122
'0:0:28.3,2.6103
'0:0:28.4,2.6091
'0:0:28.5,2.6074
'0:0:28.6,2.6059
'0:0:28.7,2.6051
'0:0:28.8,2.6042
'0:0:28.9,2.6045
'0:0:29.0,2.6038
'0:0:29.1,2.6038
'0:0:29.2,2.6036
'0:0:29.3,2.6034
'0:0:29.4,2.6030
'0:0:29.5,2.6028
'0:0:29.6,2.6030
'0:0:29.7,2.6032
'0:0:29.8,2.6042
'0:0:29.9,2.6051
'0:0:30.0,2.6059
'0:0:30.1,2.6076
'0:0:30.2,2.6091
'0:0:30.3,2.6107
'0:0:30.4,2.6124
'0:0:30.5,2.6134
'0:0:30.6,2.6141
'0:0:30.7,2.6143
'0:0:30.8,2.6141
'0:0:30.9,2.6141
'0:0:31.0,2.6147
'0:0:31.1,2.6170
