Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.3418
'0:0:0.1,2.3196
'0:0:0.2,2.2770
'0:0:0.3,2.2307
'0:0:0.4,2.1958
'0:0:0.5,2.1754
'0:0:0.6,2.1641
'0:0:0.7,2.1455
'0:0:0.8,2.1299
'0:0:0.9,2.1251
'0:0:1.0,2.1589
'0:0:1.1,2.2207
'0:0:1.2,2.2607
'0:0:1.3,2.2885
'0:0:1.4,2.3109
'0:0:1.5,2.3228
'0:0:1.6,2.3265
'0:0:1.7,2.3103
'0:0:1.8,2.3052
'0:0:1.9,2.3363
'0:0:2.0,2.3860
'0:0:2.1,2.4603
'0:0:2.2,2.5044
'0:0:2.3,2.5477
'0:0:2.4,2.6022
'0:0:2.5,2.6377
'0:0:2.6,2.6525
'0:0:2.7,2.6515
'0:0:2.8,2.6598
'0:0:2.9,2.6812
'0:0:3.0,2.7037
'0:0:3.1,2.7070
'0:0:3.2,2.7065
'0:0:3.3,2.7041
'0:0:3.4,2.7133
'0:0:3.5,2.7255
'0:0:3.6,2.7381
'0:0:3.7,2.7414
'0:0:3.8,2.7225
'0:0:3.9,2.6955
'0:0:4.0,2.6662
'0:0:4.1,2.6134
'0:0:4.2,2.5723
'0:0:4.3,2.5620
'0:0:4.4,2.5508
'0:0:4.5,2.5391
'0:0:4.6,2.5473
'0:0:4.7,2.5635
'0:0:4.8,2.5851
'0:0:4.9,2.6170
'0:0:5.0,2.6489
'0:0:5.1,2.6600
'0:0:5.2,2.6570
'0:0:5.3,2.6377
'0:0:5.4,2.6246
'0:0:5.5,2.6252
'0:0:5.6,2.6512
'0:0:5.7,2.6707
'0:0:5.8,2.6801
'0:0:5.9,2.6726
'0:0:6.0,2.6679
'0:0:6.1,2.6576
'0:0:6.2,2.6464
'0:0:6.3,2.6419
'0:0:6.4,2.6379
'0:0:6.5,2.5982
'0:0:6.6,2.5577
'0:0:6.7,2.5002
'0:0:6.8,2.4365
'0:0:6.9,2.4209
'0:0:7.0,2.4126
'0:0:7.1,2.3925
'0:0:7.2,2.3759
'0:0:7.3,2.3538
'0:0:7.4,2.3388
'0:0:7.5,2.3185
'0:0:7.6,2.3153
'0:0:7.7,2.4007
'0:0:7.8,2.5054
'0:0:7.9,2.5951
'0:0:8.0,2.6532
'0:0:8.1,2.6821
'0:0:8.2,2.6972
'0:0:8.3,2.7074
'0:0:8.4,2.7142
'0:0:8.5,2.7231
'0:0:8.6,2.7332
'0:0:8.7,2.7416
'0:0:8.8,2.7489
'0:0:8.9,2.7533
'0:0:9.0,2.7555
'0:0:9.1,2.7553
'0:0:9.2,2.7566
'0:0:9.3,2.7617
'0:0:9.4,2.7628
'0:0:9.5,2.7631
'0:0:9.6,2.7564
'0:0:9.7,2.7546
'0:0:9.8,2.7546
'0:0:9.9,2.7546
'0:0:10.0,2.7506
'0:0:10.1,2.7456
'0:0:10.2,2.7409
'0:0:10.3,2.7284
'0:0:10.4,2.7002
'0:0:10.5,2.6455
'0:0:10.6,2.5872
'0:0:10.7,2.5587
'0:0:10.8,2.5448
'0:0:10.9,2.5455
'0:0:11.0,2.5410
'0:0:11.1,2.5310
'0:0:11.2,2.5175
'0:0:11.3,2.4948
'0:0:11.4,2.4753
'0:0:11.5,2.4718
'0:0:11.6,2.4904
'0:0:11.7,2.4984
'0:0:11.8,2.4960
'0:0:11.9,2.4700
'0:0:12.0,2.4409
'0:0:12.1,2.4092
'0:0:12.2,2.3797
'0:0:12.3,2.3696
'0:0:12.4,2.3727
'0:0:12.5,2.3721
'0:0:12.6,2.3696
'0:0:12.7,2.3674
'0:0:12.8,2.3606
'0:0:12.9,2.3643
'0:0:13.0,2.3829
'0:0:13.1,2.3980
'0:0:13.2,2.4217
'0:0:13.3,2.4621
'0:0:13.4,2.4825
'0:0:13.5,2.4757
'0:0:13.6,2.4720
'0:0:13.7,2.4974
'0:0:13.8,2.5092
'0:0:13.9,2.5066
'0:0:14.0,2.5127
'0:0:14.1,2.5270
'0:0:14.2,2.5481
'0:0:14.3,2.5795
'0:0:14.4,2.5961
'0:0:14.5,2.6116
'0:0:14.6,2.6242
'0:0:14.7,2.6336
'0:0:14.8,2.6225
'0:0:14.9,2.5922
'0:0:15.0,2.5754
'0:0:15.1,2.5670
'0:0:15.2,2.5643
'0:0:15.3,2.5719
'0:0:15.4,2.5814
'0:0:15.5,2.5980
'0:0:15.6,2.6322
'0:0:15.7,2.6901
'0:0:15.8,2.7339
'0:0:15.9,2.7778
'0:0:16.0,2.8052
'0:0:16.1,2.8227
'0:0:16.2,2.8357
'0:0:16.3,2.8516
'0:0:16.4,2.8582
'0:0:16.5,2.8649
'0:0:16.6,2.8589
'0:0:16.7,2.8557
'0:0:16.8,2.8371
'0:0:16.9,2.8116
'0:0:17.0,2.8050
'0:0:17.1,2.8109
'0:0:17.2,2.8382
'0:0:17.3,2.8707
'0:0:17.4,2.8966
'0:0:17.5,2.9053
'0:0:17.6,2.8786
'0:0:17.7,2.8578
'0:0:17.8,2.8428
'0:0:17.9,2.8371
'0:0:18.0,2.8327
'0:0:18.1,2.8430
'0:0:18.2,2.8339
'0:0:18.3,2.7879
'0:0:18.4,2.7796
'0:0:18.5,2.7626
'0:0:18.6,2.7767
'0:0:18.7,2.8034
'0:0:18.8,2.8318
'0:0:18.9,2.8550
'0:0:19.0,2.7989
'0:0:19.1,2.8123
'0:0:19.2,2.8102
'0:0:19.3,2.7903
'0:0:19.4,2.7803
'0:0:19.5,2.7838
'0:0:19.6,2.7933
'0:0:19.7,2.8039
'0:0:19.8,2.8034
'0:0:19.9,2.8089
'0:0:20.0,2.8061
'0:0:20.1,2.7845
'0:0:20.2,2.7807
'0:0:20.3,2.7820
'0:0:20.4,2.7888
'0:0:20.5,2.8120
'0:0:20.6,2.8483
'0:0:20.7,2.8889
'0:0:20.8,2.9415
'0:0:20.9,2.9903
'0:0:21.0,3.0216
'0:0:21.1,3.0510
'0:0:21.2,3.0692
'0:0:21.3,3.0897
'0:0:21.4,3.1046
'0:0:21.5,3.1117
'0:0:21.6,3.1135
'0:0:21.7,3.1171
'0:0:21.8,3.1123
'0:0:21.9,3.0986
'0:0:22.0,3.0804
'0:0:22.1,3.0622
'0:0:22.2,3.0420
'0:0:22.3,3.0216
'0:0:22.4,3.0018
'0:0:22.5,2.9847
'0:0:22.6,2.9683
'0:0:22.7,2.9525
'0:0:22.8,2.9389
'0:0:22.9,2.9291
'0:0:23.0,2.9251
'0:0:23.1,2.9261
'0:0:23.2,2.9327
'0:0:23.3,2.9436
'0:0:23.4,2.9585
'0:0:23.5,2.9746
'0:0:23.6,3.0091
'0:0:23.7,3.0074
'0:0:23.8,3.0135
'0:0:23.9,3.0223
'0:0:24.0,3.0299
'0:0:24.1,3.0331
'0:0:24.2,3.0327
'0:0:24.3,3.0307
'0:0:24.4,3.0267
'0:0:24.5,3.0206
'0:0:24.6,3.0130
'0:0:24.7,3.0032
'0:0:24.8,2.9918
'0:0:24.9,2.9782
'0:0:25.0,2.9647
'0:0:25.1,2.9508
'0:0:25.2,2.9386
'0:0:25.3,2.9294
'0:0:25.4,2.9258
'0:0:25.5,2.9308
'0:0:25.6,2.9451
'0:0:25.7,2.9669
'0:0:25.8,2.9949
'0:0:25.9,3.0272
'0:0:26.0,3.0594
'0:0:26.1,3.0892
'0:0:26.2,3.1143
'0:0:26.3,3.1355
'0:0:26.4,3.1535
'0:0:26.5,3.1640
'0:0:26.6,3.1690
'0:0:26.7,3.1690
'0:0:26.8,3.1651
'0:0:26.9,3.1581
'0:0:27.0,3.1491
'0:0:27.1,3.1316
'0:0:27.2,3.1117
'0:0:27.3,3.0900
'0:0:27.4,3.0672
'0:0:27.5,3.0450
'0:0:27.6,3.0240
'0:0:27.7,3.0032
'0:0:27.8,2.9835
'0:0:27.9,2.9659
'0:0:28.0,2.9501
'0:0:28.1,2.9339
'0:0:28.2,2.9187
'0:0:28.3,2.9046
'0:0:28.4,2.8917
'0:0:28.5,2.8807
'0:0:28.6,2.8698
'0:0:28.7,2.8592
'0:0:28.8,2.8493
'0:0:28.9,2.8398
'0:0:29.0,2.8305
'0:0:29.1,2.8227
'0:0:29.2,2.8166
'0:0:29.3,2.8100
'0:0:29.4,2.8036
'0:0:29.5,2.8009
'0:0:29.6,2.8036
'0:0:29.7,2.8170
'0:0:29.8,2.8440
'0:0:29.9,2.8717
'0:0:30.0,2.9034
'0:0:30.1,2.9377
'0:0:30.2,2.9681
'0:0:30.3,2.9993
'0:0:30.4,3.0228
'0:0:30.5,3.0435
'0:0:30.6,3.0617
'0:0:30.7,3.0747
'0:0:30.8,3.0842
'0:0:30.9,3.0890
'0:0:31.0,3.0882
'0:0:31.1,3.0842
