Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,3.2471
'0:0:0.1,3.2452
'0:0:0.2,3.2436
'0:0:0.3,3.2418
'0:0:0.4,3.2402
'0:0:0.5,3.2383
'0:0:0.6,3.2367
'0:0:0.7,3.2348
'0:0:0.8,3.2335
'0:0:0.9,3.2319
'0:0:1.0,3.2301
'0:0:1.1,3.2293
'0:0:1.2,3.2269
'0:0:1.3,3.2256
'0:0:1.4,3.2240
'0:0:1.5,3.2221
'0:0:1.6,3.2208
'0:0:1.7,3.2190
'0:0:1.8,3.2174
'0:0:1.9,3.2158
'0:0:2.0,3.2137
'0:0:2.1,3.2126
'0:0:2.2,3.2108
'0:0:2.3,3.2092
'0:0:2.4,3.2079
'0:0:2.5,3.2063
'0:0:2.6,3.2045
'0:0:2.7,3.2029
'0:0:2.8,3.2005
'0:0:2.9,3.1995
'0:0:3.0,3.1982
'0:0:3.1,3.1969
'0:0:3.2,3.1956
'0:0:3.3,3.1940
'0:0:3.4,3.1924
'0:0:3.5,3.1911
'0:0:3.6,3.1890
'0:0:3.7,3.1874
'0:0:3.8,3.1859
'0:0:3.9,3.1841
'0:0:4.0,3.1825
'0:0:4.1,3.1807
'0:0:4.2,3.1788
'0:0:4.3,3.1773
'0:0:4.4,3.1755
'0:0:4.5,3.1739
'0:0:4.6,3.1723
'0:0:4.7,3.1708
'0:0:4.8,3.1695
'0:0:4.9,3.1679
'0:0:5.0,3.1664
'0:0:5.1,3.1653
'0:0:5.2,3.1630
'0:0:5.3,3.1615
'0:0:5.4,3.1602
'0:0:5.5,3.1581
'0:0:5.6,3.1568
'0:0:5.7,3.1550
'0:0:5.8,3.1537
'0:0:5.9,3.1519
'0:0:6.0,3.1498
'0:0:6.1,3.1488
'0:0:6.2,3.1470
'0:0:6.3,3.1455
'0:0:6.4,3.1437
'0:0:6.5,3.1426
'0:0:6.6,3.1416
'0:0:6.7,3.1406
'0:0:6.8,3.1388
'0:0:6.9,3.1370
'0:0:7.0,3.1352
'0:0:7.1,3.1337
'0:0:7.2,3.1319
'0:0:7.3,3.1303
'0:0:7.4,3.1291
'0:0:7.5,3.1268
'0:0:7.6,3.1255
'0:0:7.7,3.1242
'0:0:7.8,3.1229
'0:0:7.9,3.1214
'0:0:8.0,3.1194
'0:0:8.1,3.1181
'0:0:8.2,3.1166
'0:0:8.3,3.1153
'0:0:8.4,3.1140
'0:0:8.5,3.1133
'0:0:8.6,3.1123
'0:0:8.7,3.1123
'0:0:8.8,3.1133
'0:0:8.9,3.1158
'0:0:9.0,3.1206
'0:0:9.1,3.1291
'0:0:9.2,3.1385
'0:0:9.3,3.1511
'0:0:9.4,3.1669
'0:0:9.5,3.1864
'0:0:9.6,3.2121
'0:0:9.7,3.2415
'0:0:9.8,3.2696
'0:0:9.9,3.2936
'0:0:10.0,3.3149
'0:0:10.1,3.3352
'0:0:10.2,3.3517
'0:0:10.3,3.3673
'0:0:10.4,3.3809
'0:0:10.5,3.3930
'0:0:10.6,3.4054
'0:0:10.7,3.4144
'0:0:10.8,3.4224
'0:0:10.9,3.4303
'0:0:11.0,3.4343
'0:0:11.1,3.4360
'0:0:11.2,3.4366
'0:0:11.3,3.4372
'0:0:11.4,3.4383
'0:0:11.5,3.4409
'0:0:11.6,3.4446
'0:0:11.7,3.4454
'0:0:11.8,3.4460
'0:0:11.9,3.4475
'0:0:12.0,3.4480
'0:0:12.1,3.4483
'0:0:12.2,3.4477
'0:0:12.3,3.4475
'0:0:12.4,3.4463
'0:0:12.5,3.4446
'0:0:12.6,3.4420
'0:0:12.7,3.4389
'0:0:12.8,3.4349
'0:0:12.9,3.4312
'0:0:13.0,3.4272
'0:0:13.1,3.4238
'0:0:13.2,3.4204
'0:0:13.3,3.4173
'0:0:13.4,3.4136
'0:0:13.5,3.4096
'0:0:13.6,3.4062
'0:0:13.7,3.4040
'0:0:13.8,3.4020
'0:0:13.9,3.4012
'0:0:14.0,3.4000
'0:0:14.1,3.4000
'0:0:14.2,3.3992
'0:0:14.3,3.3981
'0:0:14.4,3.3967
'0:0:14.5,3.3950
'0:0:14.6,3.3927
'0:0:14.7,3.3902
'0:0:14.8,3.3877
'0:0:14.9,3.3854
'0:0:15.0,3.3826
'0:0:15.1,3.3818
'0:0:15.2,3.3798
'0:0:15.3,3.3768
'0:0:15.4,3.3737
'0:0:15.5,3.3712
'0:0:15.6,3.3687
'0:0:15.7,3.3667
'0:0:15.8,3.3645
'0:0:15.9,3.3631
'0:0:16.0,3.3614
'0:0:16.1,3.3614
'0:0:16.2,3.3631
'0:0:16.3,3.3642
'0:0:16.4,3.3648
'0:0:16.5,3.3678
'0:0:16.6,3.3692
'0:0:16.7,3.3698
'0:0:16.8,3.3698
'0:0:16.9,3.3684
'0:0:17.0,3.3667
'0:0:17.1,3.3650
'0:0:17.2,3.3625
'0:0:17.3,3.3603
'0:0:17.4,3.3584
'0:0:17.5,3.3562
'0:0:17.6,3.3542
'0:0:17.7,3.3514
'0:0:17.8,3.3487
'0:0:17.9,3.3467
'0:0:18.0,3.3459
'0:0:18.1,3.3454
'0:0:18.2,3.3437
'0:0:18.3,3.3421
'0:0:18.4,3.3415
'0:0:18.5,3.3407
'0:0:18.6,3.3412
'0:0:18.7,3.3418
'0:0:18.8,3.3437
'0:0:18.9,3.3456
'0:0:19.0,3.3476
'0:0:19.1,3.3503
'0:0:19.2,3.3520
'0:0:19.3,3.3539
'0:0:19.4,3.3570
'0:0:19.5,3.3581
'0:0:19.6,3.3584
'0:0:19.7,3.3587
'0:0:19.8,3.3575
'0:0:19.9,3.3562
'0:0:20.0,3.3545
'0:0:20.1,3.3531
'0:0:20.2,3.3506
'0:0:20.3,3.3487
'0:0:20.4,3.3459
'0:0:20.5,3.3432
'0:0:20.6,3.3401
'0:0:20.7,3.3374
'0:0:20.8,3.3346
'0:0:20.9,3.3321
'0:0:21.0,3.3291
'0:0:21.1,3.3272
'0:0:21.2,3.3242
'0:0:21.3,3.3217
'0:0:21.4,3.3195
'0:0:21.5,3.3168
'0:0:21.6,3.3143
'0:0:21.7,3.3113
'0:0:21.8,3.3089
'0:0:21.9,3.3064
'0:0:22.0,3.3045
'0:0:22.1,3.3029
'0:0:22.2,3.3007
'0:0:22.3,3.2985
'0:0:22.4,3.2966
'0:0:22.5,3.2942
'0:0:22.6,3.2928
'0:0:22.7,3.2915
'0:0:22.8,3.2898
'0:0:22.9,3.2887
'0:0:23.0,3.2869
'0:0:23.1,3.2855
'0:0:23.2,3.2836
'0:0:23.3,3.2820
'0:0:23.4,3.2804
'0:0:23.5,3.2793
'0:0:23.6,3.2777
'0:0:23.7,3.2771
'0:0:23.8,3.2779
'0:0:23.9,3.2774
'0:0:24.0,3.2771
'0:0:24.1,3.2777
'0:0:24.2,3.2779
'0:0:24.3,3.2785
'0:0:24.4,3.2798
'0:0:24.5,3.2804
'0:0:24.6,3.2806
'0:0:24.7,3.2809
'0:0:24.8,3.2817
'0:0:24.9,3.2814
'0:0:25.0,3.2804
'0:0:25.1,3.2801
'0:0:25.2,3.2790
'0:0:25.3,3.2771
'0:0:25.4,3.2750
'0:0:25.5,3.2731
'0:0:25.6,3.2712
'0:0:25.7,3.2688
'0:0:25.8,3.2664
'0:0:25.9,3.2639
'0:0:26.0,3.2610
'0:0:26.1,3.2589
'0:0:26.2,3.2562
'0:0:26.3,3.2535
'0:0:26.4,3.2514
'0:0:26.5,3.2495
'0:0:26.6,3.2474
'0:0:26.7,3.2450
'0:0:26.8,3.2428
'0:0:26.9,3.2412
'0:0:27.0,3.2386
'0:0:27.1,3.2375
'0:0:27.2,3.2356
'0:0:27.3,3.2338
'0:0:27.4,3.2322
'0:0:27.5,3.2303
'0:0:27.6,3.2287
'0:0:27.7,3.2269
'0:0:27.8,3.2253
'0:0:27.9,3.2240
'0:0:28.0,3.2219
'0:0:28.1,3.2208
'0:0:28.2,3.2192
'0:0:28.3,3.2176
'0:0:28.4,3.2163
'0:0:28.5,3.2147
'0:0:28.6,3.2129
'0:0:28.7,3.2116
'0:0:28.8,3.2097
'0:0:28.9,3.2082
'0:0:29.0,3.2060
'0:0:29.1,3.2045
'0:0:29.2,3.2024
'0:0:29.3,3.2005
'0:0:29.4,3.1987
'0:0:29.5,3.1971
'0:0:29.6,3.1950
'0:0:29.7,3.1929
'0:0:29.8,3.1914
'0:0:29.9,3.1895
'0:0:30.0,3.1874
'0:0:30.1,3.1861
'0:0:30.2,3.1841
'0:0:30.3,3.1822
'0:0:30.4,3.1801
'0:0:30.5,3.1786
'0:0:30.6,3.1770
'0:0:30.7,3.1755
'0:0:30.8,3.1739
'0:0:30.9,3.1729
'0:0:31.0,3.1710
'0:0:31.1,3.1703
