Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,6.1353
'0:0:0.1,6.1286
'0:0:0.2,6.1218
'0:0:0.3,6.1133
'0:0:0.4,6.1047
'0:0:0.5,6.0992
'0:0:0.6,6.0955
'0:0:0.7,6.0931
'0:0:0.8,6.0846
'0:0:0.9,6.0779
'0:0:1.0,6.0719
'0:0:1.1,6.0664
'0:0:1.2,6.0616
'0:0:1.3,6.0567
'0:0:1.4,6.0525
'0:0:1.5,6.0483
'0:0:1.6,6.0435
'0:0:1.7,6.0399
'0:0:1.8,6.0381
'0:0:1.9,6.0351
'0:0:2.0,6.0351
'0:0:2.1,6.0393
'0:0:2.2,6.0447
'0:0:2.3,6.0513
'0:0:2.4,6.0573
'0:0:2.5,6.0634
'0:0:2.6,6.0694
'0:0:2.7,6.0731
'0:0:2.8,6.0767
'0:0:2.9,6.0810
'0:0:3.0,6.0828
'0:0:3.1,6.0810
'0:0:3.2,6.0803
'0:0:3.3,6.0816
'0:0:3.4,6.0822
'0:0:3.5,6.0803
'0:0:3.6,6.0797
'0:0:3.7,6.0779
'0:0:3.8,6.0725
'0:0:3.9,6.0676
'0:0:4.0,6.0634
'0:0:4.1,6.0579
'0:0:4.2,6.0543
'0:0:4.3,6.0513
'0:0:4.4,6.0477
'0:0:4.5,6.0441
'0:0:4.6,6.0423
'0:0:4.7,6.0405
'0:0:4.8,6.0387
'0:0:4.9,6.0375
'0:0:5.0,6.0357
'0:0:5.1,6.0327
'0:0:5.2,6.0315
'0:0:5.3,6.0315
'0:0:5.4,6.0315
'0:0:5.5,6.0321
'0:0:5.6,6.0387
'0:0:5.7,6.0495
'0:0:5.8,6.0634
'0:0:5.9,6.0816
'0:0:6.0,6.1029
'0:0:6.1,6.1255
'0:0:6.2,6.1476
'0:0:6.3,6.1674
'0:0:6.4,6.1898
'0:0:6.5,6.2098
'0:0:6.6,6.2267
'0:0:6.7,6.2424
'0:0:6.8,6.2589
'0:0:6.9,6.2722
'0:0:7.0,6.2836
'0:0:7.1,6.2906
'0:0:7.2,6.2919
'0:0:7.3,6.2926
'0:0:7.4,6.2919
'0:0:7.5,6.2881
'0:0:7.6,6.2843
'0:0:7.7,6.2817
'0:0:7.8,6.2798
'0:0:7.9,6.2728
'0:0:8.0,6.2652
'0:0:8.1,6.2646
'0:0:8.2,6.2646
'0:0:8.3,6.2696
'0:0:8.4,6.2760
'0:0:8.5,6.2817
'0:0:8.6,6.2906
'0:0:8.7,6.2996
'0:0:8.8,6.3066
'0:0:8.9,6.3105
'0:0:9.0,6.3130
'0:0:9.1,6.3111
'0:0:9.2,6.3066
'0:0:9.3,6.3053
'0:0:9.4,6.3040
'0:0:9.5,6.3002
'0:0:9.6,6.2906
'0:0:9.7,6.2836
'0:0:9.8,6.2741
'0:0:9.9,6.2633
'0:0:10.0,6.2488
'0:0:10.1,6.2361
'0:0:10.2,6.2273
'0:0:10.3,6.2179
'0:0:10.4,6.2079
'0:0:10.5,6.1979
'0:0:10.6,6.1898
'0:0:10.7,6.1836
'0:0:10.8,6.1749
'0:0:10.9,6.1637
'0:0:11.0,6.1544
'0:0:11.1,6.1458
'0:0:11.2,6.1359
'0:0:11.3,6.1267
'0:0:11.4,6.1212
'0:0:11.5,6.1212
'0:0:11.6,6.1181
'0:0:11.7,6.1139
'0:0:11.8,6.1065
'0:0:11.9,6.1071
'0:0:12.0,6.1016
'0:0:12.1,6.0949
'0:0:12.2,6.0901
'0:0:12.3,6.0882
'0:0:12.4,6.0852
'0:0:12.5,6.0803
'0:0:12.6,6.0773
'0:0:12.7,6.0743
'0:0:12.8,6.0670
'0:0:12.9,6.0664
'0:0:13.0,6.0682
'0:0:13.1,6.0700
'0:0:13.2,6.0743
'0:0:13.3,6.0834
'0:0:13.4,6.0943
'0:0:13.5,6.1047
'0:0:13.6,6.1163
'0:0:13.7,6.1280
'0:0:13.8,6.1390
'0:0:13.9,6.1458
'0:0:14.0,6.1544
'0:0:14.1,6.1606
'0:0:14.2,6.1631
'0:0:14.3,6.1650
'0:0:14.4,6.1650
'0:0:14.5,6.1637
'0:0:14.6,6.1594
'0:0:14.7,6.1569
'0:0:14.8,6.1507
'0:0:14.9,6.1433
'0:0:15.0,6.1372
'0:0:15.1,6.1280
'0:0:15.2,6.1200
'0:0:15.3,6.1126
'0:0:15.4,6.1071
'0:0:15.5,6.1023
'0:0:15.6,6.0986
'0:0:15.7,6.0925
'0:0:15.8,6.0864
'0:0:15.9,6.0773
'0:0:16.0,6.0713
'0:0:16.1,6.0652
'0:0:16.2,6.0610
'0:0:16.3,6.0561
'0:0:16.4,6.0519
'0:0:16.5,6.0465
'0:0:16.6,6.0417
'0:0:16.7,6.0375
'0:0:16.8,6.0327
'0:0:16.9,6.0255
'0:0:17.0,6.0219
'0:0:17.1,6.0183
'0:0:17.2,6.0135
'0:0:17.3,6.0087
'0:0:17.4,6.0057
'0:0:17.5,6.0040
'0:0:17.6,6.0010
'0:0:17.7,5.9986
'0:0:17.8,5.9944
'0:0:17.9,5.9909
'0:0:18.0,5.9927
'0:0:18.1,5.9956
'0:0:18.2,6.0022
'0:0:18.3,6.0135
'0:0:18.4,6.0309
'0:0:18.5,6.0513
'0:0:18.6,6.0737
'0:0:18.7,6.0968
'0:0:18.8,6.1169
'0:0:18.9,6.1347
'0:0:19.0,6.1520
'0:0:19.1,6.1687
'0:0:19.2,6.1805
'0:0:19.3,6.1892
'0:0:19.4,6.1954
'0:0:19.5,6.1979
'0:0:19.6,6.1973
'0:0:19.7,6.1942
'0:0:19.8,6.1879
'0:0:19.9,6.1792
'0:0:20.0,6.1724
'0:0:20.1,6.1650
'0:0:20.2,6.1563
'0:0:20.3,6.1483
'0:0:20.4,6.1403
'0:0:20.5,6.1316
'0:0:20.6,6.1224
'0:0:20.7,6.1145
'0:0:20.8,6.1053
'0:0:20.9,6.0931
'0:0:21.0,6.0822
'0:0:21.1,6.0749
'0:0:21.2,6.0664
'0:0:21.3,6.0598
'0:0:21.4,6.0531
'0:0:21.5,6.0465
'0:0:21.6,6.0399
'0:0:21.7,6.0333
'0:0:21.8,6.0273
'0:0:21.9,6.0201
'0:0:22.0,6.0105
'0:0:22.1,6.0040
'0:0:22.2,5.9974
'0:0:22.3,5.9909
'0:0:22.4,5.9861
'0:0:22.5,5.9826
'0:0:22.6,5.9796
'0:0:22.7,5.9778
'0:0:22.8,5.9743
'0:0:22.9,5.9695
'0:0:23.0,5.9636
'0:0:23.1,5.9607
'0:0:23.2,5.9577
'0:0:23.3,5.9548
'0:0:23.4,5.9518
'0:0:23.5,5.9501
'0:0:23.6,5.9477
'0:0:23.7,5.9442
'0:0:23.8,5.9418
'0:0:23.9,5.9372
'0:0:24.0,5.9325
'0:0:24.1,5.9307
'0:0:24.2,5.9278
'0:0:24.3,5.9237
'0:0:24.4,5.9196
'0:0:24.5,5.9173
'0:0:24.6,5.9173
'0:0:24.7,5.9143
'0:0:24.8,5.9091
'0:0:24.9,5.9039
'0:0:25.0,5.9010
'0:0:25.1,5.8975
'0:0:25.2,5.8934
'0:0:25.3,5.8905
'0:0:25.4,5.8870
'0:0:25.5,5.8835
'0:0:25.6,5.8801
'0:0:25.7,5.8760
'0:0:25.8,5.8708
'0:0:25.9,5.8685
'0:0:26.0,5.8668
'0:0:26.1,5.8639
'0:0:26.2,5.8616
'0:0:26.3,5.8599
'0:0:26.4,5.8582
'0:0:26.5,5.8564
'0:0:26.6,5.8541
'0:0:26.7,5.8507
'0:0:26.8,5.8461
'0:0:26.9,5.8427
'0:0:27.0,5.8398
'0:0:27.1,5.8364
'0:0:27.2,5.8329
'0:0:27.3,5.8295
'0:0:27.4,5.8261
'0:0:27.5,5.8226
'0:0:27.6,5.8192
'0:0:27.7,5.8158
'0:0:27.8,5.8101
'0:0:27.9,5.8073
'0:0:28.0,5.8044
'0:0:28.1,5.8010
'0:0:28.2,5.7971
'0:0:28.3,5.7931
'0:0:28.4,5.7903
'0:0:28.5,5.7869
'0:0:28.6,5.7829
'0:0:28.7,5.7795
'0:0:28.8,5.7733
'0:0:28.9,5.7699
'0:0:29.0,5.7654
'0:0:29.1,5.7609
'0:0:29.2,5.7559
'0:0:29.3,5.7548
'0:0:29.4,5.7525
'0:0:29.5,5.7508
'0:0:29.6,5.7508
'0:0:29.7,5.7497
'0:0:29.8,5.7469
'0:0:29.9,5.7452
'0:0:30.0,5.7452
'0:0:30.1,5.7436
'0:0:30.2,5.7430
'0:0:30.3,5.7452
'0:0:30.4,5.7464
'0:0:30.5,5.7441
'0:0:30.6,5.7397
'0:0:30.7,5.7369
'0:0:30.8,5.7313
'0:0:30.9,5.7274
'0:0:31.0,5.7246
'0:0:31.1,5.7207
