Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.8997
'0:0:0.1,2.8992
'0:0:0.2,2.8982
'0:0:0.3,2.8966
'0:0:0.4,2.8957
'0:0:0.5,2.8943
'0:0:0.6,2.8929
'0:0:0.7,2.8924
'0:0:0.8,2.8929
'0:0:0.9,2.8940
'0:0:1.0,2.8964
'0:0:1.1,2.8999
'0:0:1.2,2.9060
'0:0:1.3,2.9131
'0:0:1.4,2.9268
'0:0:1.5,2.9386
'0:0:1.6,2.9475
'0:0:1.7,2.9580
'0:0:1.8,2.9744
'0:0:1.9,2.9884
'0:0:2.0,2.9947
'0:0:2.1,2.9996
'0:0:2.2,3.0084
'0:0:2.3,3.0162
'0:0:2.4,3.0211
'0:0:2.5,3.0272
'0:0:2.6,3.0341
'0:0:2.7,3.0393
'0:0:2.8,3.0435
'0:0:2.9,3.0487
'0:0:3.0,3.0525
'0:0:3.1,3.0569
'0:0:3.2,3.0664
'0:0:3.3,3.0699
'0:0:3.4,3.0639
'0:0:3.5,3.0460
'0:0:3.6,3.0309
'0:0:3.7,3.0334
'0:0:3.8,3.0376
'0:0:3.9,3.0386
'0:0:4.0,3.0396
'0:0:4.1,3.0378
'0:0:4.2,3.0341
'0:0:4.3,3.0312
'0:0:4.4,3.0297
'0:0:4.5,3.0280
'0:0:4.6,3.0267
'0:0:4.7,3.0255
'0:0:4.8,3.0245
'0:0:4.9,3.0240
'0:0:5.0,3.0231
'0:0:5.1,3.0218
'0:0:5.2,3.0204
'0:0:5.3,3.0181
'0:0:5.4,3.0164
'0:0:5.5,3.0145
'0:0:5.6,3.0130
'0:0:5.7,3.0098
'0:0:5.8,3.0071
'0:0:5.9,3.0049
'0:0:6.0,3.0030
'0:0:6.1,3.0015
'0:0:6.2,2.9996
'0:0:6.3,2.9976
'0:0:6.4,2.9962
'0:0:6.5,2.9940
'0:0:6.6,2.9915
'0:0:6.7,2.9898
'0:0:6.8,2.9884
'0:0:6.9,2.9872
'0:0:7.0,2.9869
'0:0:7.1,2.9894
'0:0:7.2,2.9891
'0:0:7.3,2.9891
'0:0:7.4,2.9903
'0:0:7.5,2.9915
'0:0:7.6,2.9945
'0:0:7.7,2.9988
'0:0:7.8,3.0020
'0:0:7.9,3.0057
'0:0:8.0,3.0101
'0:0:8.1,3.0142
'0:0:8.2,3.0172
'0:0:8.3,3.0191
'0:0:8.4,3.0211
'0:0:8.5,3.0226
'0:0:8.6,3.0240
'0:0:8.7,3.0250
'0:0:8.8,3.0253
'0:0:8.9,3.0267
'0:0:9.0,3.0265
'0:0:9.1,3.0258
'0:0:9.2,3.0248
'0:0:9.3,3.0235
'0:0:9.4,3.0231
'0:0:9.5,3.0221
'0:0:9.6,3.0191
'0:0:9.7,3.0159
'0:0:9.8,3.0130
'0:0:9.9,3.0103
'0:0:10.0,3.0079
'0:0:10.1,3.0054
'0:0:10.2,3.0030
'0:0:10.3,3.0008
'0:0:10.4,2.9986
'0:0:10.5,2.9969
'0:0:10.6,2.9962
'0:0:10.7,2.9954
'0:0:10.8,2.9949
'0:0:10.9,2.9966
'0:0:11.0,2.9988
'0:0:11.1,3.0022
'0:0:11.2,3.0054
'0:0:11.3,3.0088
'0:0:11.4,3.0113
'0:0:11.5,3.0137
'0:0:11.6,3.0157
'0:0:11.7,3.0174
'0:0:11.8,3.0194
'0:0:11.9,3.0218
'0:0:12.0,3.0255
'0:0:12.1,3.0304
'0:0:12.2,3.0369
'0:0:12.3,3.0440
'0:0:12.4,3.0535
'0:0:12.5,3.0622
'0:0:12.6,3.0719
'0:0:12.7,3.0829
'0:0:12.8,3.0938
'0:0:12.9,3.1046
'0:0:13.0,3.1156
'0:0:13.1,3.1275
'0:0:13.2,3.1380
'0:0:13.3,3.1498
'0:0:13.4,3.1633
'0:0:13.5,3.1770
'0:0:13.6,3.1893
'0:0:13.7,3.2037
'0:0:13.8,3.2161
'0:0:13.9,3.2261
'0:0:14.0,3.2341
'0:0:14.1,3.2391
'0:0:14.2,3.2439
'0:0:14.3,3.2482
'0:0:14.4,3.2514
'0:0:14.5,3.2538
'0:0:14.6,3.2572
'0:0:14.7,3.2618
'0:0:14.8,3.2658
'0:0:14.9,3.2707
'0:0:15.0,3.2758
'0:0:15.1,3.2804
'0:0:15.2,3.2847
'0:0:15.3,3.2896
'0:0:15.4,3.2944
'0:0:15.5,3.2977
'0:0:15.6,3.3001
'0:0:15.7,3.3018
'0:0:15.8,3.3042
'0:0:15.9,3.3072
'0:0:16.0,3.3086
'0:0:16.1,3.3083
'0:0:16.2,3.3072
'0:0:16.3,3.3067
'0:0:16.4,3.3078
'0:0:16.5,3.3094
'0:0:16.6,3.3091
'0:0:16.7,3.3069
'0:0:16.8,3.3061
'0:0:16.9,3.3056
'0:0:17.0,3.3059
'0:0:17.1,3.3080
'0:0:17.2,3.3119
'0:0:17.3,3.3168
'0:0:17.4,3.3223
'0:0:17.5,3.3288
'0:0:17.6,3.3354
'0:0:17.7,3.3418
'0:0:17.8,3.3484
'0:0:17.9,3.3534
'0:0:18.0,3.3573
'0:0:18.1,3.3614
'0:0:18.2,3.3631
'0:0:18.3,3.3634
'0:0:18.4,3.3625
'0:0:18.5,3.3614
'0:0:18.6,3.3595
'0:0:18.7,3.3581
'0:0:18.8,3.3553
'0:0:18.9,3.3514
'0:0:19.0,3.3484
'0:0:19.1,3.3451
'0:0:19.2,3.3426
'0:0:19.3,3.3398
'0:0:19.4,3.3371
'0:0:19.5,3.3341
'0:0:19.6,3.3319
'0:0:19.7,3.3299
'0:0:19.8,3.3266
'0:0:19.9,3.3231
'0:0:20.0,3.3187
'0:0:20.1,3.3149
'0:0:20.2,3.3113
'0:0:20.3,3.3072
'0:0:20.4,3.3031
'0:0:20.5,3.2988
'0:0:20.6,3.2939
'0:0:20.7,3.2893
'0:0:20.8,3.2850
'0:0:20.9,3.2812
'0:0:21.0,3.2782
'0:0:21.1,3.2761
'0:0:21.2,3.2750
'0:0:21.3,3.2755
'0:0:21.4,3.2779
'0:0:21.5,3.2812
'0:0:21.6,3.2852
'0:0:21.7,3.2898
'0:0:21.8,3.2936
'0:0:21.9,3.2974
'0:0:22.0,3.2996
'0:0:22.1,3.3015
'0:0:22.2,3.3020
'0:0:22.3,3.3020
'0:0:22.4,3.3018
'0:0:22.5,3.2999
'0:0:22.6,3.2985
'0:0:22.7,3.2974
'0:0:22.8,3.2953
'0:0:22.9,3.2923
'0:0:23.0,3.2896
'0:0:23.1,3.2863
'0:0:23.2,3.2833
'0:0:23.3,3.2804
'0:0:23.4,3.2774
'0:0:23.5,3.2750
'0:0:23.6,3.2726
'0:0:23.7,3.2720
'0:0:23.8,3.2715
'0:0:23.9,3.2712
'0:0:24.0,3.2709
'0:0:24.1,3.2709
'0:0:24.2,3.2707
'0:0:24.3,3.2699
'0:0:24.4,3.2691
'0:0:24.5,3.2680
'0:0:24.6,3.2661
'0:0:24.7,3.2637
'0:0:24.8,3.2621
'0:0:24.9,3.2597
'0:0:25.0,3.2583
'0:0:25.1,3.2564
'0:0:25.2,3.2559
'0:0:25.3,3.2583
'0:0:25.4,3.2637
'0:0:25.5,3.2712
'0:0:25.6,3.2820
'0:0:25.7,3.2947
'0:0:25.8,3.3078
'0:0:25.9,3.3228
'0:0:26.0,3.3365
'0:0:26.1,3.3473
'0:0:26.2,3.3567
'0:0:26.3,3.3648
'0:0:26.4,3.3715
'0:0:26.5,3.3770
'0:0:26.6,3.3809
'0:0:26.7,3.3846
'0:0:26.8,3.3865
'0:0:26.9,3.3885
'0:0:27.0,3.3891
'0:0:27.1,3.3894
'0:0:27.2,3.3888
'0:0:27.3,3.3868
'0:0:27.4,3.3849
'0:0:27.5,3.3821
'0:0:27.6,3.3782
'0:0:27.7,3.3748
'0:0:27.8,3.3712
'0:0:27.9,3.3664
'0:0:28.0,3.3620
'0:0:28.1,3.3573
'0:0:28.2,3.3517
'0:0:28.3,3.3467
'0:0:28.4,3.3415
'0:0:28.5,3.3365
'0:0:28.6,3.3313
'0:0:28.7,3.3255
'0:0:28.8,3.3209
'0:0:28.9,3.3168
'0:0:29.0,3.3127
'0:0:29.1,3.3083
'0:0:29.2,3.3045
'0:0:29.3,3.3007
'0:0:29.4,3.2980
'0:0:29.5,3.2953
'0:0:29.6,3.2928
'0:0:29.7,3.2901
'0:0:29.8,3.2869
'0:0:29.9,3.2833
'0:0:30.0,3.2806
'0:0:30.1,3.2785
'0:0:30.2,3.2766
'0:0:30.3,3.2752
'0:0:30.4,3.2739
'0:0:30.5,3.2723
'0:0:30.6,3.2712
'0:0:30.7,3.2696
'0:0:30.8,3.2685
'0:0:30.9,3.2672
'0:0:31.0,3.2650
'0:0:31.1,3.2626
