Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,0.8721
'0:0:0.1,0.8716
'0:0:0.2,0.8717
'0:0:0.3,0.8714
'0:0:0.4,0.8712
'0:0:0.5,0.8710
'0:0:0.6,0.8709
'0:0:0.7,0.8705
'0:0:0.8,0.8706
'0:0:0.9,0.8704
'0:0:1.0,0.8702
'0:0:1.1,0.8700
'0:0:1.2,0.8698
'0:0:1.3,0.8697
'0:0:1.4,0.8695
'0:0:1.5,0.8694
'0:0:1.6,0.8692
'0:0:1.7,0.8690
'0:0:1.8,0.8691
'0:0:1.9,0.8689
'0:0:2.0,0.8686
'0:0:2.1,0.8684
'0:0:2.2,0.8683
'0:0:2.3,0.8682
'0:0:2.4,0.8679
'0:0:2.5,0.8679
'0:0:2.6,0.8675
'0:0:2.7,0.8662
'0:0:2.8,0.8660
'0:0:2.9,0.8660
'0:0:3.0,0.8658
'0:0:3.1,0.8655
'0:0:3.2,0.8655
'0:0:3.3,0.8655
'0:0:3.4,0.8653
'0:0:3.5,0.8654
'0:0:3.6,0.8652
'0:0:3.7,0.8649
'0:0:3.8,0.8649
'0:0:3.9,0.8646
'0:0:4.0,0.8642
'0:0:4.1,0.8641
'0:0:4.2,0.8639
'0:0:4.3,0.8637
'0:0:4.4,0.8634
'0:0:4.5,0.8633
'0:0:4.6,0.8630
'0:0:4.7,0.8627
'0:0:4.8,0.8627
'0:0:4.9,0.8626
'0:0:5.0,0.8623
'0:0:5.1,0.8620
'0:0:5.2,0.8620
'0:0:5.3,0.8619
'0:0:5.4,0.8616
'0:0:5.5,0.8616
'0:0:5.6,0.8618
'0:0:5.7,0.8617
'0:0:5.8,0.8618
'0:0:5.9,0.8616
'0:0:6.0,0.8614
'0:0:6.1,0.8614
'0:0:6.2,0.8613
'0:0:6.3,0.8612
'0:0:6.4,0.8612
'0:0:6.5,0.8610
'0:0:6.6,0.8610
'0:0:6.7,0.8607
'0:0:6.8,0.8608
'0:0:6.9,0.8605
'0:0:7.0,0.8603
'0:0:7.1,0.8602
'0:0:7.2,0.8601
'0:0:7.3,0.8600
'0:0:7.4,0.8592
'0:0:7.5,0.8564
'0:0:7.6,0.8591
'0:0:7.7,0.8594
'0:0:7.8,0.8598
'0:0:7.9,0.8598
'0:0:8.0,0.8600
'0:0:8.1,0.8604
'0:0:8.2,0.8604
'0:0:8.3,0.8604
'0:0:8.4,0.8604
'0:0:8.5,0.8607
'0:0:8.6,0.8618
'0:0:8.7,0.8634
'0:0:8.8,0.8625
'0:0:8.9,0.8629
'0:0:9.0,0.8647
'0:0:9.1,0.8652
'0:0:9.2,0.8565
'0:0:9.3,0.8553
'0:0:9.4,0.8598
'0:0:9.5,0.8601
'0:0:9.6,0.8607
'0:0:9.7,0.8608
'0:0:9.8,0.8610
'0:0:9.9,0.8608
'0:0:10.0,0.8607
'0:0:10.1,0.8607
'0:0:10.2,0.8608
'0:0:10.3,0.8610
'0:0:10.4,0.8610
'0:0:10.5,0.8612
'0:0:10.6,0.8614
'0:0:10.7,0.8616
'0:0:10.8,0.8620
'0:0:10.9,0.8624
'0:0:11.0,0.8628
'0:0:11.1,0.8634
'0:0:11.2,0.8639
'0:0:11.3,0.8646
'0:0:11.4,0.8651
'0:0:11.5,0.8656
'0:0:11.6,0.8664
'0:0:11.7,0.8673
'0:0:11.8,0.8681
'0:0:11.9,0.8683
'0:0:12.0,0.8688
'0:0:12.1,0.8692
'0:0:12.2,0.8694
'0:0:12.3,0.8698
'0:0:12.4,0.8705
'0:0:12.5,0.8715
'0:0:12.6,0.8720
'0:0:12.7,0.8725
'0:0:12.8,0.8730
'0:0:12.9,0.8730
'0:0:13.0,0.8733
'0:0:13.1,0.8736
'0:0:13.2,0.8739
'0:0:13.3,0.8741
'0:0:13.4,0.8742
'0:0:13.5,0.8742
'0:0:13.6,0.8741
'0:0:13.7,0.8741
'0:0:13.8,0.8743
'0:0:13.9,0.8743
'0:0:14.0,0.8745
'0:0:14.1,0.8747
'0:0:14.2,0.8748
'0:0:14.3,0.8755
'0:0:14.4,0.8763
'0:0:14.5,0.8772
'0:0:14.6,0.8782
'0:0:14.7,0.8793
'0:0:14.8,0.8834
'0:0:14.9,0.8859
'0:0:15.0,0.8873
'0:0:15.1,0.8891
'0:0:15.2,0.8909
'0:0:15.3,0.8928
'0:0:15.4,0.8946
'0:0:15.5,0.8963
'0:0:15.6,0.8987
'0:0:15.7,0.9011
'0:0:15.8,0.9033
'0:0:15.9,0.9048
'0:0:16.0,0.9057
'0:0:16.1,0.9067
'0:0:16.2,0.9078
'0:0:16.3,0.9087
'0:0:16.4,0.9087
'0:0:16.5,0.9085
'0:0:16.6,0.9078
'0:0:16.7,0.9076
'0:0:16.8,0.9074
'0:0:16.9,0.9068
'0:0:17.0,0.9062
'0:0:17.1,0.9058
'0:0:17.2,0.9053
'0:0:17.3,0.9049
'0:0:17.4,0.9045
'0:0:17.5,0.9041
'0:0:17.6,0.9038
'0:0:17.7,0.9031
'0:0:17.8,0.9029
'0:0:17.9,0.9024
'0:0:18.0,0.9019
'0:0:18.1,0.9016
'0:0:18.2,0.9014
'0:0:18.3,0.9010
'0:0:18.4,0.9007
'0:0:18.5,0.9003
'0:0:18.6,0.9002
'0:0:18.7,0.8999
'0:0:18.8,0.8998
'0:0:18.9,0.8998
'0:0:19.0,0.8996
'0:0:19.1,0.8998
'0:0:19.2,0.8998
'0:0:19.3,0.8998
'0:0:19.4,0.8999
'0:0:19.5,0.9000
'0:0:19.6,0.9002
'0:0:19.7,0.9001
'0:0:19.8,0.9004
'0:0:19.9,0.9007
'0:0:20.0,0.9016
'0:0:20.1,0.9024
'0:0:20.2,0.9025
'0:0:20.3,0.9024
'0:0:20.4,0.9022
'0:0:20.5,0.9021
'0:0:20.6,0.9017
'0:0:20.7,0.9014
'0:0:20.8,0.9014
'0:0:20.9,0.9008
'0:0:21.0,0.9005
'0:0:21.1,0.9003
'0:0:21.2,0.9000
'0:0:21.3,0.8998
'0:0:21.4,0.8997
'0:0:21.5,0.8994
'0:0:21.6,0.8992
'0:0:21.7,0.8990
'0:0:21.8,0.8990
'0:0:21.9,0.8987
'0:0:22.0,0.8985
'0:0:22.1,0.8983
'0:0:22.2,0.8981
'0:0:22.3,0.8979
'0:0:22.4,0.8976
'0:0:22.5,0.8973
'0:0:22.6,0.8973
'0:0:22.7,0.8972
'0:0:22.8,0.8972
'0:0:22.9,0.8970
'0:0:23.0,0.8968
'0:0:23.1,0.8967
'0:0:23.2,0.8965
'0:0:23.3,0.8963
'0:0:23.4,0.8961
'0:0:23.5,0.8958
'0:0:23.6,0.8958
'0:0:23.7,0.8958
'0:0:23.8,0.8960
'0:0:23.9,0.8960
'0:0:24.0,0.8958
'0:0:24.1,0.8958
'0:0:24.2,0.8958
'0:0:24.3,0.8958
'0:0:24.4,0.8959
'0:0:24.5,0.8961
'0:0:24.6,0.8962
'0:0:24.7,0.8960
'0:0:24.8,0.8964
'0:0:24.9,0.8965
'0:0:25.0,0.8966
'0:0:25.1,0.8969
'0:0:25.2,0.8970
'0:0:25.3,0.8968
'0:0:25.4,0.8968
'0:0:25.5,0.8965
'0:0:25.6,0.8964
'0:0:25.7,0.8973
'0:0:25.8,0.8994
'0:0:25.9,0.8993
'0:0:26.0,0.8990
'0:0:26.1,0.8989
'0:0:26.2,0.8988
'0:0:26.3,0.8987
'0:0:26.4,0.8986
'0:0:26.5,0.8986
'0:0:26.6,0.8985
'0:0:26.7,0.8985
'0:0:26.8,0.8988
'0:0:26.9,0.8989
'0:0:27.0,0.8990
'0:0:27.1,0.8992
'0:0:27.2,0.8993
'0:0:27.3,0.8995
'0:0:27.4,0.8996
'0:0:27.5,0.8998
'0:0:27.6,0.8998
'0:0:27.7,0.8999
'0:0:27.8,0.9004
'0:0:27.9,0.9004
'0:0:28.0,0.9004
'0:0:28.1,0.9007
'0:0:28.2,0.9007
'0:0:28.3,0.9004
'0:0:28.4,0.9001
'0:0:28.5,0.8999
'0:0:28.6,0.8997
'0:0:28.7,0.8994
'0:0:28.8,0.8993
'0:0:28.9,0.8990
'0:0:29.0,0.8987
'0:0:29.1,0.8987
'0:0:29.2,0.8985
'0:0:29.3,0.8983
'0:0:29.4,0.8981
'0:0:29.5,0.8979
'0:0:29.6,0.8979
'0:0:29.7,0.8979
'0:0:29.8,0.8980
'0:0:29.9,0.8978
'0:0:30.0,0.8975
'0:0:30.1,0.8974
'0:0:30.2,0.8973
'0:0:30.3,0.8972
'0:0:30.4,0.8971
'0:0:30.5,0.8969
'0:0:30.6,0.8966
'0:0:30.7,0.8964
'0:0:30.8,0.8964
'0:0:30.9,0.8962
'0:0:31.0,0.8960
'0:0:31.1,0.8960
