Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.7948
'0:0:0.1,1.7935
'0:0:0.2,1.7926
'0:0:0.3,1.7907
'0:0:0.4,1.7890
'0:0:0.5,1.7872
'0:0:0.6,1.7856
'0:0:0.7,1.7845
'0:0:0.8,1.7837
'0:0:0.9,1.7827
'0:0:1.0,1.7824
'0:0:1.1,1.7816
'0:0:1.2,1.7805
'0:0:1.3,1.7803
'0:0:1.4,1.7811
'0:0:1.5,1.7807
'0:0:1.6,1.7817
'0:0:1.7,1.7904
'0:0:1.8,1.8022
'0:0:1.9,1.8134
'0:0:2.0,1.8369
'0:0:2.1,1.8469
'0:0:2.2,1.8296
'0:0:2.3,1.8187
'0:0:2.4,1.8265
'0:0:2.5,1.8414
'0:0:2.6,1.8505
'0:0:2.7,1.8601
'0:0:2.8,1.8693
'0:0:2.9,1.8796
'0:0:3.0,1.8875
'0:0:3.1,1.8933
'0:0:3.2,1.8985
'0:0:3.3,1.8992
'0:0:3.4,1.8985
'0:0:3.5,1.8953
'0:0:3.6,1.8935
'0:0:3.7,1.8949
'0:0:3.8,1.8999
'0:0:3.9,1.9081
'0:0:4.0,1.9186
'0:0:4.1,1.9296
'0:0:4.2,1.9416
'0:0:4.3,1.9540
'0:0:4.4,1.9647
'0:0:4.5,1.9733
'0:0:4.6,1.9795
'0:0:4.7,1.9857
'0:0:4.8,1.9926
'0:0:4.9,1.9990
'0:0:5.0,2.0038
'0:0:5.1,2.0143
'0:0:5.2,2.0305
'0:0:5.3,2.0333
'0:0:5.4,2.0331
'0:0:5.5,2.0394
'0:0:5.6,2.0410
'0:0:5.7,2.0444
'0:0:5.8,2.0459
'0:0:5.9,2.0439
'0:0:6.0,2.0405
'0:0:6.1,2.0362
'0:0:6.2,2.0310
'0:0:6.3,2.0268
'0:0:6.4,2.0229
'0:0:6.5,2.0177
'0:0:6.6,2.0120
'0:0:6.7,2.0072
'0:0:6.8,2.0044
'0:0:6.9,2.0017
'0:0:7.0,1.9972
'0:0:7.1,1.9932
'0:0:7.2,1.9918
'0:0:7.3,1.9914
'0:0:7.4,1.9898
'0:0:7.5,1.9900
'0:0:7.6,1.9918
'0:0:7.7,1.9956
'0:0:7.8,2.0011
'0:0:7.9,2.0077
'0:0:8.0,2.0172
'0:0:8.1,2.0269
'0:0:8.2,2.0367
'0:0:8.3,2.0459
'0:0:8.4,2.0555
'0:0:8.5,2.0642
'0:0:8.6,2.0702
'0:0:8.7,2.0748
'0:0:8.8,2.0787
'0:0:8.9,2.0803
'0:0:9.0,2.0807
'0:0:9.1,2.0817
'0:0:9.2,2.0808
'0:0:9.3,2.0788
'0:0:9.4,2.0757
'0:0:9.5,2.0708
'0:0:9.6,2.0659
'0:0:9.7,2.0604
'0:0:9.8,2.0551
'0:0:9.9,2.0500
'0:0:10.0,2.0456
'0:0:10.1,2.0408
'0:0:10.2,2.0366
'0:0:10.3,2.0328
'0:0:10.4,2.0297
'0:0:10.5,2.0274
'0:0:10.6,2.0263
'0:0:10.7,2.0278
'0:0:10.8,2.0385
'0:0:10.9,2.0513
'0:0:11.0,2.0707
'0:0:11.1,2.0982
'0:0:11.2,2.1347
'0:0:11.3,2.1436
'0:0:11.4,2.1282
'0:0:11.5,2.1472
'0:0:11.6,2.1721
'0:0:11.7,2.1890
'0:0:11.8,2.2069
'0:0:11.9,2.2222
'0:0:12.0,2.2416
'0:0:12.1,2.2583
'0:0:12.2,2.2668
'0:0:12.3,2.2706
'0:0:12.4,2.2755
'0:0:12.5,2.2794
'0:0:12.6,2.2797
'0:0:12.7,2.2795
'0:0:12.8,2.2825
'0:0:12.9,2.2867
'0:0:13.0,2.2925
'0:0:13.1,2.3019
'0:0:13.2,2.3133
'0:0:13.3,2.3252
'0:0:13.4,2.3373
'0:0:13.5,2.3464
'0:0:13.6,2.3536
'0:0:13.7,2.3585
'0:0:13.8,2.3634
'0:0:13.9,2.3685
'0:0:14.0,2.3749
'0:0:14.1,2.3833
'0:0:14.2,2.3892
'0:0:14.3,2.3877
'0:0:14.4,2.3860
'0:0:14.5,2.3839
'0:0:14.6,2.3761
'0:0:14.7,2.3647
'0:0:14.8,2.3523
'0:0:14.9,2.3401
'0:0:15.0,2.3283
'0:0:15.1,2.3174
'0:0:15.2,2.3100
'0:0:15.3,2.3024
'0:0:15.4,2.2971
'0:0:15.5,2.2925
'0:0:15.6,2.2839
'0:0:15.7,2.2759
'0:0:15.8,2.2697
'0:0:15.9,2.2675
'0:0:16.0,2.2714
'0:0:16.1,2.2841
'0:0:16.2,2.3063
'0:0:16.3,2.3371
'0:0:16.4,2.3732
'0:0:16.5,2.4122
'0:0:16.6,2.4511
'0:0:16.7,2.4883
'0:0:16.8,2.5175
'0:0:16.9,2.5369
'0:0:17.0,2.5534
'0:0:17.1,2.5688
'0:0:17.2,2.5804
'0:0:17.3,2.5928
'0:0:17.4,2.6068
'0:0:17.5,2.6166
'0:0:17.6,2.6244
'0:0:17.7,2.6280
'0:0:17.8,2.6280
'0:0:17.9,2.6269
'0:0:18.0,2.6242
'0:0:18.1,2.6145
'0:0:18.2,2.5994
'0:0:18.3,2.5870
'0:0:18.4,2.5773
'0:0:18.5,2.5655
'0:0:18.6,2.5532
'0:0:18.7,2.5387
'0:0:18.8,2.5258
'0:0:18.9,2.5159
'0:0:19.0,2.5088
'0:0:19.1,2.5024
'0:0:19.2,2.4962
'0:0:19.3,2.4898
'0:0:19.4,2.4849
'0:0:19.5,2.4795
'0:0:19.6,2.4744
'0:0:19.7,2.4694
'0:0:19.8,2.4633
'0:0:19.9,2.4578
'0:0:20.0,2.4525
'0:0:20.1,2.4468
'0:0:20.2,2.4413
'0:0:20.3,2.4355
'0:0:20.4,2.4302
'0:0:20.5,2.4275
'0:0:20.6,2.4229
'0:0:20.7,2.4186
'0:0:20.8,2.4155
'0:0:20.9,2.4149
'0:0:21.0,2.4113
'0:0:21.1,2.4074
'0:0:21.2,2.4034
'0:0:21.3,2.4003
'0:0:21.4,2.3972
'0:0:21.5,2.3940
'0:0:21.6,2.3904
'0:0:21.7,2.3860
'0:0:21.8,2.3822
'0:0:21.9,2.3785
'0:0:22.0,2.3747
'0:0:22.1,2.3709
'0:0:22.2,2.3674
'0:0:22.3,2.3643
'0:0:22.4,2.3607
'0:0:22.5,2.3577
'0:0:22.6,2.3543
'0:0:22.7,2.3513
'0:0:22.8,2.3487
'0:0:22.9,2.3459
'0:0:23.0,2.3431
'0:0:23.1,2.3403
'0:0:23.2,2.3373
'0:0:23.3,2.3345
'0:0:23.4,2.3313
'0:0:23.5,2.3283
'0:0:23.6,2.3254
'0:0:23.7,2.3226
'0:0:23.8,2.3198
'0:0:23.9,2.3174
'0:0:24.0,2.3152
'0:0:24.1,2.3135
'0:0:24.2,2.3122
'0:0:24.3,2.3109
'0:0:24.4,2.3096
'0:0:24.5,2.3085
'0:0:24.6,2.3076
'0:0:24.7,2.3065
'0:0:24.8,2.3061
'0:0:24.9,2.3054
'0:0:25.0,2.3039
'0:0:25.1,2.3021
'0:0:25.2,2.3002
'0:0:25.3,2.2980
'0:0:25.4,2.2960
'0:0:25.5,2.2932
'0:0:25.6,2.2903
'0:0:25.7,2.2878
'0:0:25.8,2.2850
'0:0:25.9,2.2821
'0:0:26.0,2.2794
'0:0:26.1,2.2764
'0:0:26.2,2.2741
'0:0:26.3,2.2715
'0:0:26.4,2.2690
'0:0:26.5,2.2666
'0:0:26.6,2.2643
'0:0:26.7,2.2619
'0:0:26.8,2.2594
'0:0:26.9,2.2572
'0:0:27.0,2.2551
'0:0:27.1,2.2531
'0:0:27.2,2.2511
'0:0:27.3,2.2495
'0:0:27.4,2.2482
'0:0:27.5,2.2473
'0:0:27.6,2.2470
'0:0:27.7,2.2477
'0:0:27.8,2.2497
'0:0:27.9,2.2535
'0:0:28.0,2.2592
'0:0:28.1,2.2668
'0:0:28.2,2.2768
'0:0:28.3,2.2888
'0:0:28.4,2.3021
'0:0:28.5,2.3168
'0:0:28.6,2.3311
'0:0:28.7,2.3436
'0:0:28.8,2.3553
'0:0:28.9,2.3656
'0:0:29.0,2.3738
'0:0:29.1,2.3806
'0:0:29.2,2.3875
'0:0:29.3,2.3963
'0:0:29.4,2.4017
'0:0:29.5,2.4013
'0:0:29.6,2.3988
'0:0:29.7,2.3948
'0:0:29.8,2.3888
'0:0:29.9,2.3825
'0:0:30.0,2.3755
'0:0:30.1,2.3681
'0:0:30.2,2.3604
'0:0:30.3,2.3532
'0:0:30.4,2.3474
'0:0:30.5,2.3410
'0:0:30.6,2.3345
'0:0:30.7,2.3283
'0:0:30.8,2.3222
'0:0:30.9,2.3166
'0:0:31.0,2.3115
'0:0:31.1,2.3065
