Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,3.1378
'0:0:0.1,3.1360
'0:0:0.2,3.1352
'0:0:0.3,3.1337
'0:0:0.4,3.1326
'0:0:0.5,3.1311
'0:0:0.6,3.1298
'0:0:0.7,3.1293
'0:0:0.8,3.1291
'0:0:0.9,3.1278
'0:0:1.0,3.1257
'0:0:1.1,3.1252
'0:0:1.2,3.1245
'0:0:1.3,3.1235
'0:0:1.4,3.1229
'0:0:1.5,3.1214
'0:0:1.6,3.1206
'0:0:1.7,3.1194
'0:0:1.8,3.1181
'0:0:1.9,3.1168
'0:0:2.0,3.1156
'0:0:2.1,3.1143
'0:0:2.2,3.1133
'0:0:2.3,3.1125
'0:0:2.4,3.1110
'0:0:2.5,3.1102
'0:0:2.6,3.1095
'0:0:2.7,3.1095
'0:0:2.8,3.1097
'0:0:2.9,3.1097
'0:0:3.0,3.1092
'0:0:3.1,3.1084
'0:0:3.2,3.1079
'0:0:3.3,3.1067
'0:0:3.4,3.1062
'0:0:3.5,3.1057
'0:0:3.6,3.1051
'0:0:3.7,3.1046
'0:0:3.8,3.1034
'0:0:3.9,3.1024
'0:0:4.0,3.1016
'0:0:4.1,3.1006
'0:0:4.2,3.1001
'0:0:4.3,3.0993
'0:0:4.4,3.0991
'0:0:4.5,3.0996
'0:0:4.6,3.1003
'0:0:4.7,3.1003
'0:0:4.8,3.1003
'0:0:4.9,3.0993
'0:0:5.0,3.0983
'0:0:5.1,3.0973
'0:0:5.2,3.0978
'0:0:5.3,3.0981
'0:0:5.4,3.0973
'0:0:5.5,3.0968
'0:0:5.6,3.0963
'0:0:5.7,3.0950
'0:0:5.8,3.0943
'0:0:5.9,3.0935
'0:0:6.0,3.0933
'0:0:6.1,3.0928
'0:0:6.2,3.0925
'0:0:6.3,3.0928
'0:0:6.4,3.0925
'0:0:6.5,3.0928
'0:0:6.6,3.0925
'0:0:6.7,3.0925
'0:0:6.8,3.0930
'0:0:6.9,3.0928
'0:0:7.0,3.0920
'0:0:7.1,3.0907
'0:0:7.2,3.0895
'0:0:7.3,3.0887
'0:0:7.4,3.0877
'0:0:7.5,3.0867
'0:0:7.6,3.0857
'0:0:7.7,3.0850
'0:0:7.8,3.0845
'0:0:7.9,3.0834
'0:0:8.0,3.0822
'0:0:8.1,3.0817
'0:0:8.2,3.0812
'0:0:8.3,3.0802
'0:0:8.4,3.0794
'0:0:8.5,3.0782
'0:0:8.6,3.0774
'0:0:8.7,3.0767
'0:0:8.8,3.0764
'0:0:8.9,3.0754
'0:0:9.0,3.0744
'0:0:9.1,3.0737
'0:0:9.2,3.0732
'0:0:9.3,3.0722
'0:0:9.4,3.0714
'0:0:9.5,3.0704
'0:0:9.6,3.0697
'0:0:9.7,3.0689
'0:0:9.8,3.0682
'0:0:9.9,3.0674
'0:0:10.0,3.0667
'0:0:10.1,3.0654
'0:0:10.2,3.0647
'0:0:10.3,3.0637
'0:0:10.4,3.0622
'0:0:10.5,3.0612
'0:0:10.6,3.0604
'0:0:10.7,3.0592
'0:0:10.8,3.0584
'0:0:10.9,3.0577
'0:0:11.0,3.0569
'0:0:11.1,3.0564
'0:0:11.2,3.0554
'0:0:11.3,3.0547
'0:0:11.4,3.0540
'0:0:11.5,3.0537
'0:0:11.6,3.0535
'0:0:11.7,3.0530
'0:0:11.8,3.0522
'0:0:11.9,3.0507
'0:0:12.0,3.0497
'0:0:12.1,3.0490
'0:0:12.2,3.0480
'0:0:12.3,3.0468
'0:0:12.4,3.0455
'0:0:12.5,3.0448
'0:0:12.6,3.0438
'0:0:12.7,3.0428
'0:0:12.8,3.0420
'0:0:12.9,3.0413
'0:0:13.0,3.0403
'0:0:13.1,3.0393
'0:0:13.2,3.0386
'0:0:13.3,3.0381
'0:0:13.4,3.0378
'0:0:13.5,3.0373
'0:0:13.6,3.0369
'0:0:13.7,3.0364
'0:0:13.8,3.0361
'0:0:13.9,3.0356
'0:0:14.0,3.0354
'0:0:14.1,3.0354
'0:0:14.2,3.0351
'0:0:14.3,3.0346
'0:0:14.4,3.0344
'0:0:14.5,3.0341
'0:0:14.6,3.0336
'0:0:14.7,3.0329
'0:0:14.8,3.0324
'0:0:14.9,3.0314
'0:0:15.0,3.0307
'0:0:15.1,3.0299
'0:0:15.2,3.0295
'0:0:15.3,3.0292
'0:0:15.4,3.0285
'0:0:15.5,3.0270
'0:0:15.6,3.0258
'0:0:15.7,3.0248
'0:0:15.8,3.0233
'0:0:15.9,3.0223
'0:0:16.0,3.0218
'0:0:16.1,3.0221
'0:0:16.2,3.0228
'0:0:16.3,3.0218
'0:0:16.4,3.0189
'0:0:16.5,3.0132
'0:0:16.6,2.9932
'0:0:16.7,2.9470
'0:0:16.8,2.8840
'0:0:16.9,2.8849
'0:0:17.0,2.9159
'0:0:17.1,2.9391
'0:0:17.2,2.9479
'0:0:17.3,2.9575
'0:0:17.4,2.9638
'0:0:17.5,2.9650
'0:0:17.6,2.9640
'0:0:17.7,2.9642
'0:0:17.8,2.9642
'0:0:17.9,2.9640
'0:0:18.0,2.9638
'0:0:18.1,2.9633
'0:0:18.2,2.9628
'0:0:18.3,2.9618
'0:0:18.4,2.9614
'0:0:18.5,2.9609
'0:0:18.6,2.9606
'0:0:18.7,2.9611
'0:0:18.8,2.9618
'0:0:18.9,2.9621
'0:0:19.0,2.9623
'0:0:19.1,2.9618
'0:0:19.2,2.9616
'0:0:19.3,2.9616
'0:0:19.4,2.9614
'0:0:19.5,2.9616
'0:0:19.6,2.9609
'0:0:19.7,2.9606
'0:0:19.8,2.9604
'0:0:19.9,2.9602
'0:0:20.0,2.9599
'0:0:20.1,2.9594
'0:0:20.2,2.9585
'0:0:20.3,2.9575
'0:0:20.4,2.9566
'0:0:20.5,2.9558
'0:0:20.6,2.9549
'0:0:20.7,2.9539
'0:0:20.8,2.9532
'0:0:20.9,2.9525
'0:0:21.0,2.9518
'0:0:21.1,2.9506
'0:0:21.2,2.9494
'0:0:21.3,2.9484
'0:0:21.4,2.9477
'0:0:21.5,2.9470
'0:0:21.6,2.9458
'0:0:21.7,2.9451
'0:0:21.8,2.9441
'0:0:21.9,2.9434
'0:0:22.0,2.9427
'0:0:22.1,2.9415
'0:0:22.2,2.9408
'0:0:22.3,2.9401
'0:0:22.4,2.9391
'0:0:22.5,2.9379
'0:0:22.6,2.9372
'0:0:22.7,2.9365
'0:0:22.8,2.9353
'0:0:22.9,2.9315
'0:0:23.0,2.9175
'0:0:23.1,2.8894
'0:0:23.2,2.8894
'0:0:23.3,2.9055
'0:0:23.4,2.9145
'0:0:23.5,2.9244
'0:0:23.6,2.9353
'0:0:23.7,2.9410
'0:0:23.8,2.9475
'0:0:23.9,2.9506
'0:0:24.0,2.9513
'0:0:24.1,2.9518
'0:0:24.2,2.9525
'0:0:24.3,2.9530
'0:0:24.4,2.9530
'0:0:24.5,2.9530
'0:0:24.6,2.9537
'0:0:24.7,2.9534
'0:0:24.8,2.9532
'0:0:24.9,2.9534
'0:0:25.0,2.9539
'0:0:25.1,2.9546
'0:0:25.2,2.9551
'0:0:25.3,2.9561
'0:0:25.4,2.9575
'0:0:25.5,2.9587
'0:0:25.6,2.9597
'0:0:25.7,2.9614
'0:0:25.8,2.9638
'0:0:25.9,2.9669
'0:0:26.0,2.9700
'0:0:26.1,2.9731
'0:0:26.2,2.9768
'0:0:26.3,2.9811
'0:0:26.4,2.9857
'0:0:26.5,2.9920
'0:0:26.6,2.9981
'0:0:26.7,3.0027
'0:0:26.8,3.0071
'0:0:26.9,3.0120
'0:0:27.0,3.0169
'0:0:27.1,3.0216
'0:0:27.2,3.0267
'0:0:27.3,3.0312
'0:0:27.4,3.0339
'0:0:27.5,3.0359
'0:0:27.6,3.0373
'0:0:27.7,3.0386
'0:0:27.8,3.0401
'0:0:27.9,3.0413
'0:0:28.0,3.0418
'0:0:28.1,3.0423
'0:0:28.2,3.0428
'0:0:28.3,3.0438
'0:0:28.4,3.0450
'0:0:28.5,3.0453
'0:0:28.6,3.0455
'0:0:28.7,3.0463
'0:0:28.8,3.0465
'0:0:28.9,3.0463
'0:0:29.0,3.0455
'0:0:29.1,3.0448
'0:0:29.2,3.0435
'0:0:29.3,3.0423
'0:0:29.4,3.0413
'0:0:29.5,3.0413
'0:0:29.6,3.0408
'0:0:29.7,3.0406
'0:0:29.8,3.0393
'0:0:29.9,3.0386
'0:0:30.0,3.0376
'0:0:30.1,3.0371
'0:0:30.2,3.0359
'0:0:30.3,3.0346
'0:0:30.4,3.0336
'0:0:30.5,3.0331
'0:0:30.6,3.0331
'0:0:30.7,3.0341
'0:0:30.8,3.0366
'0:0:30.9,3.0398
'0:0:31.0,3.0433
'0:0:31.1,3.0472
