Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,6.3175
'0:0:0.1,6.3072
'0:0:0.2,6.3021
'0:0:0.3,6.3047
'0:0:0.4,6.3124
'0:0:0.5,6.3169
'0:0:0.6,6.3137
'0:0:0.7,6.2824
'0:0:0.8,6.2926
'0:0:0.9,6.3060
'0:0:1.0,6.3549
'0:0:1.1,6.3848
'0:0:1.2,6.3848
'0:0:1.3,6.3743
'0:0:1.4,6.3717
'0:0:1.5,6.3796
'0:0:1.6,6.3867
'0:0:1.7,6.4221
'0:0:1.8,6.4950
'0:0:1.9,6.4116
'0:0:2.0,6.3919
'0:0:2.1,6.3893
'0:0:2.2,6.4063
'0:0:2.3,6.4412
'0:0:2.4,6.4690
'0:0:2.5,6.4663
'0:0:2.6,6.4385
'0:0:2.7,6.4617
'0:0:2.8,6.5023
'0:0:2.9,6.5151
'0:0:3.0,6.4896
'0:0:3.1,6.4756
'0:0:3.2,6.4677
'0:0:3.3,6.4643
'0:0:3.4,6.4643
'0:0:3.5,6.4910
'0:0:3.6,6.5447
'0:0:3.7,6.5732
'0:0:3.8,6.5807
'0:0:3.9,6.5698
'0:0:4.0,6.5359
'0:0:4.1,6.5814
'0:0:4.2,6.5603
'0:0:4.3,6.5077
'0:0:4.4,6.3809
'0:0:4.5,6.3201
'0:0:4.6,6.3400
'0:0:4.7,6.3854
'0:0:4.8,6.4346
'0:0:4.9,6.4524
'0:0:5.0,6.4339
'0:0:5.1,6.4333
'0:0:5.2,6.4498
'0:0:5.3,6.4790
'0:0:5.4,6.5117
'0:0:5.5,6.5070
'0:0:5.6,6.3919
'0:0:5.7,6.3478
'0:0:5.8,6.3194
'0:0:5.9,6.2639
'0:0:6.0,6.1588
'0:0:6.1,6.2849
'0:0:6.2,6.3349
'0:0:6.3,6.3789
'0:0:6.4,6.5285
'0:0:6.5,6.6528
'0:0:6.6,7.0197
'0:0:6.7,6.9883
'0:0:6.8,6.7360
'0:0:6.9,6.6080
'0:0:7.0,6.5440
'0:0:7.1,6.7586
'0:0:7.2,7.0002
'0:0:7.3,7.0573
'0:0:7.4,7.0392
'0:0:7.5,7.0392
'0:0:7.6,7.0227
'0:0:7.7,7.0129
'0:0:7.8,7.0077
'0:0:7.9,7.0137
'0:0:8.0,7.0392
'0:0:8.1,7.0702
'0:0:8.2,7.0930
'0:0:8.3,7.1121
'0:0:8.4,7.1029
'0:0:8.5,7.1129
'0:0:8.6,7.2487
'0:0:8.7,7.2954
'0:0:8.8,7.2819
'0:0:8.9,7.2748
'0:0:9.0,7.2621
'0:0:9.1,7.2479
'0:0:9.2,7.2322
'0:0:9.3,7.2173
'0:0:9.4,7.2040
'0:0:9.5,7.1931
'0:0:9.6,7.1822
'0:0:9.7,7.1737
'0:0:9.8,7.1667
'0:0:9.9,7.1675
'0:0:10.0,7.1970
'0:0:10.1,7.2338
'0:0:10.2,7.2495
'0:0:10.3,7.2534
'0:0:10.4,7.2542
'0:0:10.5,7.2503
'0:0:10.6,7.2424
'0:0:10.7,7.2369
'0:0:10.8,7.2330
'0:0:10.9,7.2306
'0:0:11.0,7.2259
'0:0:11.1,7.2165
'0:0:11.2,7.2079
'0:0:11.3,7.2001
'0:0:11.4,7.1908
'0:0:11.5,7.1838
'0:0:11.6,7.1768
'0:0:11.7,7.1691
'0:0:11.8,7.1613
'0:0:11.9,7.1544
'0:0:12.0,7.1443
'0:0:12.1,7.1320
'0:0:12.2,7.1182
'0:0:12.3,7.1022
'0:0:12.4,7.0877
'0:0:12.5,7.0786
'0:0:12.6,7.0717
'0:0:12.7,7.0657
'0:0:12.8,7.0588
'0:0:12.9,7.0520
'0:0:13.0,7.0468
'0:0:13.1,7.0392
'0:0:13.2,7.0317
'0:0:13.3,7.0264
'0:0:13.4,7.0219
'0:0:13.5,7.0174
'0:0:13.6,7.0099
'0:0:13.7,7.0032
'0:0:13.8,6.9972
'0:0:13.9,6.9950
'0:0:14.0,6.9935
'0:0:14.1,6.9935
'0:0:14.2,6.9987
'0:0:14.3,7.0032
'0:0:14.4,6.9845
'0:0:14.5,6.9209
'0:0:14.6,6.8365
'0:0:14.7,6.7985
'0:0:14.8,6.7685
'0:0:14.9,6.7177
'0:0:15.0,6.5923
'0:0:15.1,6.3420
'0:0:15.2,6.2715
'0:0:15.3,6.3724
'0:0:15.4,6.5488
'0:0:15.5,6.4135
'0:0:15.6,6.2198
'0:0:15.7,6.2868
'0:0:15.8,6.4208
'0:0:15.9,6.5332
'0:0:16.0,6.5454
'0:0:16.1,6.7149
'0:0:16.2,6.5712
'0:0:16.3,6.3802
'0:0:16.4,6.2836
'0:0:16.5,6.3822
'0:0:16.6,6.4836
'0:0:16.7,6.6729
'0:0:16.8,6.7806
'0:0:16.9,6.8157
'0:0:17.0,6.7985
'0:0:17.1,6.7899
'0:0:17.2,6.7501
'0:0:17.3,6.7050
'0:0:17.4,6.6973
'0:0:17.5,6.7064
'0:0:17.6,6.7212
'0:0:17.7,6.7395
'0:0:17.8,6.7572
'0:0:17.9,6.7714
'0:0:18.0,6.7764
'0:0:18.1,6.7813
'0:0:18.2,6.8257
'0:0:18.3,6.8618
'0:0:18.4,6.8575
'0:0:18.5,6.8474
'0:0:18.6,6.8322
'0:0:18.7,6.8250
'0:0:18.8,6.8308
'0:0:18.9,6.9593
'0:0:19.0,7.0159
'0:0:19.1,7.0002
'0:0:19.2,6.9608
'0:0:19.3,6.9556
'0:0:19.4,6.9630
'0:0:19.5,6.9467
'0:0:19.6,6.9254
'0:0:19.7,6.9209
'0:0:19.8,6.9158
'0:0:19.9,6.9114
'0:0:20.0,6.9012
'0:0:20.1,6.8895
'0:0:20.2,6.8662
'0:0:20.3,6.8322
'0:0:20.4,6.8071
'0:0:20.5,6.8056
'0:0:20.6,6.7942
'0:0:20.7,6.7543
'0:0:20.8,6.7107
'0:0:20.9,6.6848
'0:0:21.0,6.6750
'0:0:21.1,6.6583
'0:0:21.2,6.6729
'0:0:21.3,6.6834
'0:0:21.4,6.6570
'0:0:21.5,6.6218
'0:0:21.6,6.6039
'0:0:21.7,6.6190
'0:0:21.8,6.6135
'0:0:21.9,6.5875
'0:0:22.0,6.5712
'0:0:22.1,6.5800
'0:0:22.2,6.5875
'0:0:22.3,6.5841
'0:0:22.4,6.5814
'0:0:22.5,6.5759
'0:0:22.6,6.5684
'0:0:22.7,6.5664
'0:0:22.8,6.5644
'0:0:22.9,6.5589
'0:0:23.0,6.5644
'0:0:23.1,6.5637
'0:0:23.2,6.6108
'0:0:23.3,6.6410
'0:0:23.4,6.6383
'0:0:23.5,6.6348
'0:0:23.6,6.6293
'0:0:23.7,6.6231
'0:0:23.8,6.6183
'0:0:23.9,6.6066
'0:0:24.0,6.5882
'0:0:24.1,6.5752
'0:0:24.2,6.5712
'0:0:24.3,6.5705
'0:0:24.4,6.5650
'0:0:24.5,6.5562
'0:0:24.6,6.5508
'0:0:24.7,6.5528
'0:0:24.8,6.5474
'0:0:24.9,6.5359
'0:0:25.0,6.5299
'0:0:25.1,6.5258
'0:0:25.2,6.5191
'0:0:25.3,6.5171
'0:0:25.4,6.5110
'0:0:25.5,6.5023
'0:0:25.6,6.4970
'0:0:25.7,6.4963
'0:0:25.8,6.4956
'0:0:25.9,6.4950
'0:0:26.0,6.4923
'0:0:26.1,6.4883
'0:0:26.2,6.4856
'0:0:26.3,6.4823
'0:0:26.4,6.4770
'0:0:26.5,6.4730
'0:0:26.6,6.4710
'0:0:26.7,6.4690
'0:0:26.8,6.4670
'0:0:26.9,6.4657
'0:0:27.0,6.4624
'0:0:27.1,6.4597
'0:0:27.2,6.4597
'0:0:27.3,6.4590
'0:0:27.4,6.4557
'0:0:27.5,6.4524
'0:0:27.6,6.4491
'0:0:27.7,6.4498
'0:0:27.8,6.4524
'0:0:27.9,6.4524
'0:0:28.0,6.4537
'0:0:28.1,6.4551
'0:0:28.2,6.4551
'0:0:28.3,6.4544
'0:0:28.4,6.4511
'0:0:28.5,6.4498
'0:0:28.6,6.4491
'0:0:28.7,6.4458
'0:0:28.8,6.4432
'0:0:28.9,6.4412
'0:0:29.0,6.4392
'0:0:29.1,6.4366
'0:0:29.2,6.4359
'0:0:29.3,6.4339
'0:0:29.4,6.4286
'0:0:29.5,6.4260
'0:0:29.6,6.4240
'0:0:29.7,6.4214
'0:0:29.8,6.4188
'0:0:29.9,6.4188
'0:0:30.0,6.4168
'0:0:30.1,6.4142
'0:0:30.2,6.4122
'0:0:30.3,6.4096
'0:0:30.4,6.4024
'0:0:30.5,6.3985
'0:0:30.6,6.3959
'0:0:30.7,6.3926
'0:0:30.8,6.3893
'0:0:30.9,6.3861
'0:0:31.0,6.3835
'0:0:31.1,6.3802
