Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,3.1571
'0:0:0.1,3.1540
'0:0:0.2,3.1529
'0:0:0.3,3.1511
'0:0:0.4,3.1496
'0:0:0.5,3.1478
'0:0:0.6,3.1460
'0:0:0.7,3.1442
'0:0:0.8,3.1429
'0:0:0.9,3.1419
'0:0:1.0,3.1419
'0:0:1.1,3.1434
'0:0:1.2,3.1452
'0:0:1.3,3.1473
'0:0:1.4,3.1491
'0:0:1.5,3.1511
'0:0:1.6,3.1532
'0:0:1.7,3.1542
'0:0:1.8,3.1553
'0:0:1.9,3.1553
'0:0:2.0,3.1555
'0:0:2.1,3.1555
'0:0:2.2,3.1547
'0:0:2.3,3.1540
'0:0:2.4,3.1524
'0:0:2.5,3.1511
'0:0:2.6,3.1501
'0:0:2.7,3.1493
'0:0:2.8,3.1478
'0:0:2.9,3.1462
'0:0:3.0,3.1447
'0:0:3.1,3.1421
'0:0:3.2,3.1411
'0:0:3.3,3.1385
'0:0:3.4,3.1370
'0:0:3.5,3.1339
'0:0:3.6,3.1314
'0:0:3.7,3.1291
'0:0:3.8,3.1270
'0:0:3.9,3.1255
'0:0:4.0,3.1245
'0:0:4.1,3.1227
'0:0:4.2,3.1224
'0:0:4.3,3.1227
'0:0:4.4,3.1224
'0:0:4.5,3.1214
'0:0:4.6,3.1206
'0:0:4.7,3.1204
'0:0:4.8,3.1201
'0:0:4.9,3.1199
'0:0:5.0,3.1194
'0:0:5.1,3.1209
'0:0:5.2,3.1245
'0:0:5.3,3.1293
'0:0:5.4,3.1362
'0:0:5.5,3.1444
'0:0:5.6,3.1527
'0:0:5.7,3.1615
'0:0:5.8,3.1705
'0:0:5.9,3.1801
'0:0:6.0,3.1893
'0:0:6.1,3.1990
'0:0:6.2,3.2079
'0:0:6.3,3.2155
'0:0:6.4,3.2229
'0:0:6.5,3.2298
'0:0:6.6,3.2359
'0:0:6.7,3.2410
'0:0:6.8,3.2463
'0:0:6.9,3.2498
'0:0:7.0,3.2522
'0:0:7.1,3.2548
'0:0:7.2,3.2562
'0:0:7.3,3.2570
'0:0:7.4,3.2589
'0:0:7.5,3.2597
'0:0:7.6,3.2613
'0:0:7.7,3.2642
'0:0:7.8,3.2685
'0:0:7.9,3.2731
'0:0:8.0,3.2798
'0:0:8.1,3.2874
'0:0:8.2,3.2953
'0:0:8.3,3.3037
'0:0:8.4,3.3127
'0:0:8.5,3.3206
'0:0:8.6,3.3280
'0:0:8.7,3.3360
'0:0:8.8,3.3423
'0:0:8.9,3.3481
'0:0:9.0,3.3553
'0:0:9.1,3.3612
'0:0:9.2,3.3664
'0:0:9.3,3.3684
'0:0:9.4,3.3687
'0:0:9.5,3.3695
'0:0:9.6,3.3692
'0:0:9.7,3.3684
'0:0:9.8,3.3667
'0:0:9.9,3.3637
'0:0:10.0,3.3600
'0:0:10.1,3.3573
'0:0:10.2,3.3545
'0:0:10.3,3.3506
'0:0:10.4,3.3467
'0:0:10.5,3.3423
'0:0:10.6,3.3376
'0:0:10.7,3.3332
'0:0:10.8,3.3288
'0:0:10.9,3.3250
'0:0:11.0,3.3220
'0:0:11.1,3.3203
'0:0:11.2,3.3198
'0:0:11.3,3.3223
'0:0:11.4,3.3277
'0:0:11.5,3.3354
'0:0:11.6,3.3454
'0:0:11.7,3.3542
'0:0:11.8,3.3623
'0:0:11.9,3.3684
'0:0:12.0,3.3748
'0:0:12.1,3.3798
'0:0:12.2,3.3846
'0:0:12.3,3.3885
'0:0:12.4,3.3905
'0:0:12.5,3.3933
'0:0:12.6,3.3958
'0:0:12.7,3.3981
'0:0:12.8,3.4006
'0:0:12.9,3.4023
'0:0:13.0,3.4014
'0:0:13.1,3.4009
'0:0:13.2,3.4000
'0:0:13.3,3.3986
'0:0:13.4,3.3967
'0:0:13.5,3.3952
'0:0:13.6,3.3952
'0:0:13.7,3.3952
'0:0:13.8,3.3967
'0:0:13.9,3.3975
'0:0:14.0,3.3981
'0:0:14.1,3.3992
'0:0:14.2,3.3995
'0:0:14.3,3.3995
'0:0:14.4,3.3989
'0:0:14.5,3.3986
'0:0:14.6,3.3986
'0:0:14.7,3.3964
'0:0:14.8,3.3947
'0:0:14.9,3.3927
'0:0:15.0,3.3916
'0:0:15.1,3.3927
'0:0:15.2,3.3952
'0:0:15.3,3.3998
'0:0:15.4,3.4040
'0:0:15.5,3.4105
'0:0:15.6,3.4175
'0:0:15.7,3.4235
'0:0:15.8,3.4286
'0:0:15.9,3.4329
'0:0:16.0,3.4369
'0:0:16.1,3.4403
'0:0:16.2,3.4440
'0:0:16.3,3.4477
'0:0:16.4,3.4483
'0:0:16.5,3.4475
'0:0:16.6,3.4466
'0:0:16.7,3.4452
'0:0:16.8,3.4440
'0:0:16.9,3.4417
'0:0:17.0,3.4392
'0:0:17.1,3.4346
'0:0:17.2,3.4309
'0:0:17.3,3.4263
'0:0:17.4,3.4224
'0:0:17.5,3.4181
'0:0:17.6,3.4139
'0:0:17.7,3.4105
'0:0:17.8,3.4062
'0:0:17.9,3.4026
'0:0:18.0,3.3998
'0:0:18.1,3.3978
'0:0:18.2,3.3961
'0:0:18.3,3.3947
'0:0:18.4,3.3941
'0:0:18.5,3.3941
'0:0:18.6,3.3941
'0:0:18.7,3.3938
'0:0:18.8,3.3922
'0:0:18.9,3.3905
'0:0:19.0,3.3891
'0:0:19.1,3.3871
'0:0:19.2,3.3849
'0:0:19.3,3.3826
'0:0:19.4,3.3809
'0:0:19.5,3.3782
'0:0:19.6,3.3759
'0:0:19.7,3.3734
'0:0:19.8,3.3717
'0:0:19.9,3.3701
'0:0:20.0,3.3709
'0:0:20.1,3.3726
'0:0:20.2,3.3751
'0:0:20.3,3.3787
'0:0:20.4,3.3823
'0:0:20.5,3.3854
'0:0:20.6,3.3885
'0:0:20.7,3.3905
'0:0:20.8,3.3924
'0:0:20.9,3.3930
'0:0:21.0,3.3944
'0:0:21.1,3.3958
'0:0:21.2,3.3955
'0:0:21.3,3.3938
'0:0:21.4,3.3913
'0:0:21.5,3.3891
'0:0:21.6,3.3877
'0:0:21.7,3.3882
'0:0:21.8,3.3908
'0:0:21.9,3.3961
'0:0:22.0,3.4034
'0:0:22.1,3.4116
'0:0:22.2,3.4201
'0:0:22.3,3.4275
'0:0:22.4,3.4335
'0:0:22.5,3.4394
'0:0:22.6,3.4443
'0:0:22.7,3.4480
'0:0:22.8,3.4503
'0:0:22.9,3.4515
'0:0:23.0,3.4517
'0:0:23.1,3.4512
'0:0:23.2,3.4500
'0:0:23.3,3.4489
'0:0:23.4,3.4472
'0:0:23.5,3.4452
'0:0:23.6,3.4443
'0:0:23.7,3.4434
'0:0:23.8,3.4426
'0:0:23.9,3.4409
'0:0:24.0,3.4403
'0:0:24.1,3.4394
'0:0:24.2,3.4372
'0:0:24.3,3.4343
'0:0:24.4,3.4309
'0:0:24.5,3.4272
'0:0:24.6,3.4235
'0:0:24.7,3.4201
'0:0:24.8,3.4167
'0:0:24.9,3.4124
'0:0:25.0,3.4091
'0:0:25.1,3.4057
'0:0:25.2,3.4003
'0:0:25.3,3.3964
'0:0:25.4,3.3930
'0:0:25.5,3.3896
'0:0:25.6,3.3860
'0:0:25.7,3.3823
'0:0:25.8,3.3790
'0:0:25.9,3.3759
'0:0:26.0,3.3734
'0:0:26.1,3.3717
'0:0:26.2,3.3720
'0:0:26.3,3.3751
'0:0:26.4,3.3795
'0:0:26.5,3.3868
'0:0:26.6,3.3961
'0:0:26.7,3.4068
'0:0:26.8,3.4164
'0:0:26.9,3.4258
'0:0:27.0,3.4337
'0:0:27.1,3.4409
'0:0:27.2,3.4460
'0:0:27.3,3.4503
'0:0:27.4,3.4529
'0:0:27.5,3.4532
'0:0:27.6,3.4529
'0:0:27.7,3.4532
'0:0:27.8,3.4526
'0:0:27.9,3.4509
'0:0:28.0,3.4512
'0:0:28.1,3.4489
'0:0:28.2,3.4460
'0:0:28.3,3.4434
'0:0:28.4,3.4392
'0:0:28.5,3.4352
'0:0:28.6,3.4309
'0:0:28.7,3.4258
'0:0:28.8,3.4215
'0:0:28.9,3.4167
'0:0:29.0,3.4124
'0:0:29.1,3.4082
'0:0:29.2,3.4026
'0:0:29.3,3.3981
'0:0:29.4,3.3944
'0:0:29.5,3.3905
'0:0:29.6,3.3871
'0:0:29.7,3.3835
'0:0:29.8,3.3801
'0:0:29.9,3.3765
'0:0:30.0,3.3737
'0:0:30.1,3.3712
'0:0:30.2,3.3681
'0:0:30.3,3.3648
'0:0:30.4,3.3620
'0:0:30.5,3.3589
'0:0:30.6,3.3556
'0:0:30.7,3.3523
'0:0:30.8,3.3492
'0:0:30.9,3.3459
'0:0:31.0,3.3429
'0:0:31.1,3.3387
