Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.9460
'0:0:0.1,1.9444
'0:0:0.2,1.9438
'0:0:0.3,1.9428
'0:0:0.4,1.9419
'0:0:0.5,1.9408
'0:0:0.6,1.9400
'0:0:0.7,1.9392
'0:0:0.8,1.9386
'0:0:0.9,1.9377
'0:0:1.0,1.9374
'0:0:1.1,1.9361
'0:0:1.2,1.9350
'0:0:1.3,1.9338
'0:0:1.4,1.9325
'0:0:1.5,1.9313
'0:0:1.6,1.9302
'0:0:1.7,1.9290
'0:0:1.8,1.9279
'0:0:1.9,1.9263
'0:0:2.0,1.9254
'0:0:2.1,1.9240
'0:0:2.2,1.9229
'0:0:2.3,1.9217
'0:0:2.4,1.9206
'0:0:2.5,1.9192
'0:0:2.6,1.9184
'0:0:2.7,1.9173
'0:0:2.8,1.9167
'0:0:2.9,1.9161
'0:0:3.0,1.9158
'0:0:3.1,1.9147
'0:0:3.2,1.9141
'0:0:3.3,1.9133
'0:0:3.4,1.9127
'0:0:3.5,1.9119
'0:0:3.6,1.9112
'0:0:3.7,1.9101
'0:0:3.8,1.9091
'0:0:3.9,1.9078
'0:0:4.0,1.9070
'0:0:4.1,1.9058
'0:0:4.2,1.9047
'0:0:4.3,1.9035
'0:0:4.4,1.9024
'0:0:4.5,1.9013
'0:0:4.6,1.9004
'0:0:4.7,1.8995
'0:0:4.8,1.8985
'0:0:4.9,1.8976
'0:0:5.0,1.8972
'0:0:5.1,1.8966
'0:0:5.2,1.8962
'0:0:5.3,1.8962
'0:0:5.4,1.8964
'0:0:5.5,1.8967
'0:0:5.6,1.8975
'0:0:5.7,1.8982
'0:0:5.8,1.8990
'0:0:5.9,1.8990
'0:0:6.0,1.8993
'0:0:6.1,1.8992
'0:0:6.2,1.8992
'0:0:6.3,1.8990
'0:0:6.4,1.8984
'0:0:6.5,1.8979
'0:0:6.6,1.8973
'0:0:6.7,1.8969
'0:0:6.8,1.8962
'0:0:6.9,1.8956
'0:0:7.0,1.8950
'0:0:7.1,1.8956
'0:0:7.2,1.8985
'0:0:7.3,1.9030
'0:0:7.4,1.9095
'0:0:7.5,1.9255
'0:0:7.6,1.9360
'0:0:7.7,1.9286
'0:0:7.8,1.9347
'0:0:7.9,1.9417
'0:0:8.0,1.9535
'0:0:8.1,1.9674
'0:0:8.2,1.9823
'0:0:8.3,1.9962
'0:0:8.4,2.0107
'0:0:8.5,2.0243
'0:0:8.6,2.0395
'0:0:8.7,2.0563
'0:0:8.8,2.0710
'0:0:8.9,2.0840
'0:0:9.0,2.0939
'0:0:9.1,2.1014
'0:0:9.2,2.1100
'0:0:9.3,2.1224
'0:0:9.4,2.1318
'0:0:9.5,2.1331
'0:0:9.6,2.1338
'0:0:9.7,2.1328
'0:0:9.8,2.1343
'0:0:9.9,2.1405
'0:0:10.0,2.1510
'0:0:10.1,2.1636
'0:0:10.2,2.1825
'0:0:10.3,2.2055
'0:0:10.4,2.2318
'0:0:10.5,2.2599
'0:0:10.6,2.2982
'0:0:10.7,2.3391
'0:0:10.8,2.3921
'0:0:10.9,2.4333
'0:0:11.0,2.4797
'0:0:11.1,2.5276
'0:0:11.2,2.5694
'0:0:11.3,2.6042
'0:0:11.4,2.6349
'0:0:11.5,2.6728
'0:0:11.6,2.7052
'0:0:11.7,2.7383
'0:0:11.8,2.7593
'0:0:11.9,2.7711
'0:0:12.0,2.7967
'0:0:12.1,2.8216
'0:0:12.2,2.8410
'0:0:12.3,2.8619
'0:0:12.4,2.8849
'0:0:12.5,2.8964
'0:0:12.6,2.9076
'0:0:12.7,2.9268
'0:0:12.8,2.9496
'0:0:12.9,2.9765
'0:0:13.0,3.0010
'0:0:13.1,3.0199
'0:0:13.2,3.0468
'0:0:13.3,3.0664
'0:0:13.4,3.0794
'0:0:13.5,3.0918
'0:0:13.6,3.0993
'0:0:13.7,3.1161
'0:0:13.8,3.1206
'0:0:13.9,3.1158
'0:0:14.0,3.1084
'0:0:14.1,3.0965
'0:0:14.2,3.0834
'0:0:14.3,3.0699
'0:0:14.4,3.0629
'0:0:14.5,3.0564
'0:0:14.6,3.0364
'0:0:14.7,3.0228
'0:0:14.8,3.0110
'0:0:14.9,2.9998
'0:0:15.0,2.9896
'0:0:15.1,2.9773
'0:0:15.2,2.9722
'0:0:15.3,2.9719
'0:0:15.4,2.9765
'0:0:15.5,2.9835
'0:0:15.6,2.9889
'0:0:15.7,2.9891
'0:0:15.8,2.9891
'0:0:15.9,2.9911
'0:0:16.0,2.9881
'0:0:16.1,2.9814
'0:0:16.2,2.9741
'0:0:16.3,2.9645
'0:0:16.4,2.9537
'0:0:16.5,2.9417
'0:0:16.6,2.9298
'0:0:16.7,2.9201
'0:0:16.8,2.9112
'0:0:16.9,2.8997
'0:0:17.0,2.8880
'0:0:17.1,2.8761
'0:0:17.2,2.8654
'0:0:17.3,2.8552
'0:0:17.4,2.8453
'0:0:17.5,2.8350
'0:0:17.6,2.8261
'0:0:17.7,2.8163
'0:0:17.8,2.8068
'0:0:17.9,2.7982
'0:0:18.0,2.7886
'0:0:18.1,2.7787
'0:0:18.2,2.7695
'0:0:18.3,2.7600
'0:0:18.4,2.7509
'0:0:18.5,2.7420
'0:0:18.6,2.7339
'0:0:18.7,2.7262
'0:0:18.8,2.7192
'0:0:18.9,2.7113
'0:0:19.0,2.7048
'0:0:19.1,2.6983
'0:0:19.2,2.6920
'0:0:19.3,2.6857
'0:0:19.4,2.6795
'0:0:19.5,2.6735
'0:0:19.6,2.6681
'0:0:19.7,2.6625
'0:0:19.8,2.6572
'0:0:19.9,2.6517
'0:0:20.0,2.6468
'0:0:20.1,2.6417
'0:0:20.2,2.6370
'0:0:20.3,2.6320
'0:0:20.4,2.6271
'0:0:20.5,2.6221
'0:0:20.6,2.6172
'0:0:20.7,2.6124
'0:0:20.8,2.6078
'0:0:20.9,2.6034
'0:0:21.0,2.5997
'0:0:21.1,2.5953
'0:0:21.2,2.5909
'0:0:21.3,2.5866
'0:0:21.4,2.5826
'0:0:21.5,2.5785
'0:0:21.6,2.5742
'0:0:21.7,2.5698
'0:0:21.8,2.5657
'0:0:21.9,2.5620
'0:0:22.0,2.5594
'0:0:22.1,2.5587
'0:0:22.2,2.5608
'0:0:22.3,2.5647
'0:0:22.4,2.5715
'0:0:22.5,2.5816
'0:0:22.6,2.5938
'0:0:22.7,2.6072
'0:0:22.8,2.6218
'0:0:22.9,2.6368
'0:0:23.0,2.6506
'0:0:23.1,2.6608
'0:0:23.2,2.6698
'0:0:23.3,2.6765
'0:0:23.4,2.6814
'0:0:23.5,2.6840
'0:0:23.6,2.6851
'0:0:23.7,2.6855
'0:0:23.8,2.6838
'0:0:23.9,2.6786
'0:0:24.0,2.6743
'0:0:24.1,2.6683
'0:0:24.2,2.6619
'0:0:24.3,2.6559
'0:0:24.4,2.6510
'0:0:24.5,2.6493
'0:0:24.6,2.6506
'0:0:24.7,2.6568
'0:0:24.8,2.6675
'0:0:24.9,2.6814
'0:0:25.0,2.6981
'0:0:25.1,2.7172
'0:0:25.2,2.7367
'0:0:25.3,2.7542
'0:0:25.4,2.7693
'0:0:25.5,2.7836
'0:0:25.6,2.7955
'0:0:25.7,2.8023
'0:0:25.8,2.8048
'0:0:25.9,2.8025
'0:0:26.0,2.7967
'0:0:26.1,2.7865
'0:0:26.2,2.7744
'0:0:26.3,2.7604
'0:0:26.4,2.7467
'0:0:26.5,2.7352
'0:0:26.6,2.7244
'0:0:26.7,2.7120
'0:0:26.8,2.6989
'0:0:26.9,2.6877
'0:0:27.0,2.6778
'0:0:27.1,2.6688
'0:0:27.2,2.6602
'0:0:27.3,2.6510
'0:0:27.4,2.6417
'0:0:27.5,2.6328
'0:0:27.6,2.6242
'0:0:27.7,2.6158
'0:0:27.8,2.6076
'0:0:27.9,2.6003
'0:0:28.0,2.5959
'0:0:28.1,2.5905
'0:0:28.2,2.5847
'0:0:28.3,2.5789
'0:0:28.4,2.5742
'0:0:28.5,2.5719
'0:0:28.6,2.5690
'0:0:28.7,2.5659
'0:0:28.8,2.5637
'0:0:28.9,2.5616
'0:0:29.0,2.5612
'0:0:29.1,2.5612
'0:0:29.2,2.5630
'0:0:29.3,2.5659
'0:0:29.4,2.5694
'0:0:29.5,2.5731
'0:0:29.6,2.5766
'0:0:29.7,2.5797
'0:0:29.8,2.5822
'0:0:29.9,2.5843
'0:0:30.0,2.5859
'0:0:30.1,2.5849
'0:0:30.2,2.5837
'0:0:30.3,2.5818
'0:0:30.4,2.5797
'0:0:30.5,2.5770
'0:0:30.6,2.5746
'0:0:30.7,2.5719
'0:0:30.8,2.5686
'0:0:30.9,2.5657
'0:0:31.0,2.5639
'0:0:31.1,2.5608
