Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,3.5738
'0:0:0.1,3.5714
'0:0:0.2,3.5705
'0:0:0.3,3.5682
'0:0:0.4,3.5661
'0:0:0.5,3.5643
'0:0:0.6,3.5625
'0:0:0.7,3.5607
'0:0:0.8,3.5598
'0:0:0.9,3.5580
'0:0:1.0,3.5563
'0:0:1.1,3.5545
'0:0:1.2,3.5524
'0:0:1.3,3.5503
'0:0:1.4,3.5479
'0:0:1.5,3.5459
'0:0:1.6,3.5438
'0:0:1.7,3.5420
'0:0:1.8,3.5402
'0:0:1.9,3.5382
'0:0:2.0,3.5367
'0:0:2.1,3.5346
'0:0:2.2,3.5329
'0:0:2.3,3.5308
'0:0:2.4,3.5287
'0:0:2.5,3.5270
'0:0:2.6,3.5252
'0:0:2.7,3.5234
'0:0:2.8,3.5220
'0:0:2.9,3.5205
'0:0:3.0,3.5187
'0:0:3.1,3.5176
'0:0:3.2,3.5149
'0:0:3.3,3.5129
'0:0:3.4,3.5108
'0:0:3.5,3.5088
'0:0:3.6,3.5067
'0:0:3.7,3.5050
'0:0:3.8,3.5041
'0:0:3.9,3.5024
'0:0:4.0,3.5009
'0:0:4.1,3.4992
'0:0:4.2,3.4974
'0:0:4.3,3.4954
'0:0:4.4,3.4939
'0:0:4.5,3.4913
'0:0:4.6,3.4901
'0:0:4.7,3.4881
'0:0:4.8,3.4864
'0:0:4.9,3.4846
'0:0:5.0,3.4826
'0:0:5.1,3.4803
'0:0:5.2,3.4791
'0:0:5.3,3.4791
'0:0:5.4,3.4768
'0:0:5.5,3.4751
'0:0:5.6,3.4762
'0:0:5.7,3.4782
'0:0:5.8,3.4794
'0:0:5.9,3.4785
'0:0:6.0,3.4782
'0:0:6.1,3.4780
'0:0:6.2,3.4797
'0:0:6.3,3.4806
'0:0:6.4,3.4797
'0:0:6.5,3.4780
'0:0:6.6,3.4777
'0:0:6.7,3.4762
'0:0:6.8,3.4745
'0:0:6.9,3.4725
'0:0:7.0,3.4710
'0:0:7.1,3.4699
'0:0:7.2,3.4684
'0:0:7.3,3.4676
'0:0:7.4,3.4673
'0:0:7.5,3.4664
'0:0:7.6,3.4658
'0:0:7.7,3.4650
'0:0:7.8,3.4635
'0:0:7.9,3.4624
'0:0:8.0,3.4618
'0:0:8.1,3.4604
'0:0:8.2,3.4592
'0:0:8.3,3.4581
'0:0:8.4,3.4569
'0:0:8.5,3.4561
'0:0:8.6,3.4555
'0:0:8.7,3.4543
'0:0:8.8,3.4538
'0:0:8.9,3.4526
'0:0:9.0,3.4517
'0:0:9.1,3.4506
'0:0:9.2,3.4497
'0:0:9.3,3.4483
'0:0:9.4,3.4477
'0:0:9.5,3.4463
'0:0:9.6,3.4452
'0:0:9.7,3.4440
'0:0:9.8,3.4429
'0:0:9.9,3.4414
'0:0:10.0,3.4397
'0:0:10.1,3.4383
'0:0:10.2,3.4374
'0:0:10.3,3.4360
'0:0:10.4,3.4349
'0:0:10.5,3.4329
'0:0:10.6,3.4317
'0:0:10.7,3.4306
'0:0:10.8,3.4295
'0:0:10.9,3.4280
'0:0:11.0,3.4272
'0:0:11.1,3.4261
'0:0:11.2,3.4255
'0:0:11.3,3.4244
'0:0:11.4,3.4232
'0:0:11.5,3.4212
'0:0:11.6,3.4201
'0:0:11.7,3.4190
'0:0:11.8,3.4178
'0:0:11.9,3.4164
'0:0:12.0,3.4150
'0:0:12.1,3.4133
'0:0:12.2,3.4122
'0:0:12.3,3.4108
'0:0:12.4,3.4096
'0:0:12.5,3.4088
'0:0:12.6,3.4085
'0:0:12.7,3.4076
'0:0:12.8,3.4071
'0:0:12.9,3.4065
'0:0:13.0,3.4057
'0:0:13.1,3.4045
'0:0:13.2,3.4034
'0:0:13.3,3.4023
'0:0:13.4,3.4020
'0:0:13.5,3.4012
'0:0:13.6,3.3983
'0:0:13.7,3.3944
'0:0:13.8,3.3947
'0:0:13.9,3.3941
'0:0:14.0,3.3933
'0:0:14.1,3.3919
'0:0:14.2,3.3908
'0:0:14.3,3.3899
'0:0:14.4,3.3891
'0:0:14.5,3.3871
'0:0:14.6,3.3860
'0:0:14.7,3.3865
'0:0:14.8,3.3871
'0:0:14.9,3.3941
'0:0:15.0,3.3983
'0:0:15.1,3.3986
'0:0:15.2,3.3981
'0:0:15.3,3.3975
'0:0:15.4,3.3975
'0:0:15.5,3.3972
'0:0:15.6,3.3958
'0:0:15.7,3.3950
'0:0:15.8,3.3941
'0:0:15.9,3.3933
'0:0:16.0,3.3922
'0:0:16.1,3.3908
'0:0:16.2,3.3902
'0:0:16.3,3.3894
'0:0:16.4,3.3899
'0:0:16.5,3.3905
'0:0:16.6,3.3924
'0:0:16.7,3.3955
'0:0:16.8,3.3986
'0:0:16.9,3.4031
'0:0:17.0,3.4096
'0:0:17.1,3.4164
'0:0:17.2,3.4246
'0:0:17.3,3.4340
'0:0:17.4,3.4446
'0:0:17.5,3.4543
'0:0:17.6,3.4647
'0:0:17.7,3.4762
'0:0:17.8,3.4869
'0:0:17.9,3.4968
'0:0:18.0,3.5082
'0:0:18.1,3.5211
'0:0:18.2,3.5361
'0:0:18.3,3.5503
'0:0:18.4,3.5670
'0:0:18.5,3.5867
'0:0:18.6,3.5885
'0:0:18.7,3.5655
'0:0:18.8,3.5548
'0:0:18.9,3.5903
'0:0:19.0,3.6266
'0:0:19.1,3.6569
'0:0:19.2,3.6928
'0:0:19.3,3.7146
'0:0:19.4,3.7392
'0:0:19.5,3.7643
'0:0:19.6,3.7850
'0:0:19.7,3.8027
'0:0:19.8,3.8144
'0:0:19.9,3.8212
'0:0:20.0,3.8290
'0:0:20.1,3.8463
'0:0:20.2,3.8815
'0:0:20.3,3.9011
'0:0:20.4,3.9097
'0:0:20.5,3.9214
'0:0:20.6,3.9302
'0:0:20.7,3.9335
'0:0:20.8,3.9376
'0:0:20.9,3.9399
'0:0:21.0,3.9430
'0:0:21.1,3.9447
'0:0:21.2,3.9440
'0:0:21.3,3.9436
'0:0:21.4,3.9440
'0:0:21.5,3.9423
'0:0:21.6,3.9403
'0:0:21.7,3.9379
'0:0:21.8,3.9342
'0:0:21.9,3.9308
'0:0:22.0,3.9278
'0:0:22.1,3.9248
'0:0:22.2,3.9218
'0:0:22.3,3.9184
'0:0:22.4,3.9157
'0:0:22.5,3.9127
'0:0:22.6,3.9097
'0:0:22.7,3.9067
'0:0:22.8,3.9034
'0:0:22.9,3.9007
'0:0:23.0,3.8971
'0:0:23.1,3.8937
'0:0:23.2,3.8911
'0:0:23.3,3.8878
'0:0:23.4,3.8851
'0:0:23.5,3.8815
'0:0:23.6,3.8792
'0:0:23.7,3.8762
'0:0:23.8,3.8742
'0:0:23.9,3.8719
'0:0:24.0,3.8699
'0:0:24.1,3.8666
'0:0:24.2,3.8643
'0:0:24.3,3.8617
'0:0:24.4,3.8600
'0:0:24.5,3.8574
'0:0:24.6,3.8564
'0:0:24.7,3.8545
'0:0:24.8,3.8518
'0:0:24.9,3.8495
'0:0:25.0,3.8469
'0:0:25.1,3.8443
'0:0:25.2,3.8414
'0:0:25.3,3.8391
'0:0:25.4,3.8378
'0:0:25.5,3.8361
'0:0:25.6,3.8348
'0:0:25.7,3.8339
'0:0:25.8,3.8335
'0:0:25.9,3.8329
'0:0:26.0,3.8319
'0:0:26.1,3.8303
'0:0:26.2,3.8290
'0:0:26.3,3.8277
'0:0:26.4,3.8267
'0:0:26.5,3.8260
'0:0:26.6,3.8247
'0:0:26.7,3.8225
'0:0:26.8,3.8202
'0:0:26.9,3.8186
'0:0:27.0,3.8166
'0:0:27.1,3.8144
'0:0:27.2,3.8127
'0:0:27.3,3.8108
'0:0:27.4,3.8092
'0:0:27.5,3.8072
'0:0:27.6,3.8053
'0:0:27.7,3.8037
'0:0:27.8,3.8027
'0:0:27.9,3.8014
'0:0:28.0,3.8008
'0:0:28.1,3.7998
'0:0:28.2,3.8001
'0:0:28.3,3.8008
'0:0:28.4,3.8021
'0:0:28.5,3.8024
'0:0:28.6,3.8030
'0:0:28.7,3.8034
'0:0:28.8,3.8040
'0:0:28.9,3.8043
'0:0:29.0,3.8037
'0:0:29.1,3.8034
'0:0:29.2,3.8027
'0:0:29.3,3.8014
'0:0:29.4,3.7995
'0:0:29.5,3.7976
'0:0:29.6,3.7960
'0:0:29.7,3.7943
'0:0:29.8,3.7927
'0:0:29.9,3.7908
'0:0:30.0,3.7889
'0:0:30.1,3.7876
'0:0:30.2,3.7863
'0:0:30.3,3.7850
'0:0:30.4,3.7844
'0:0:30.5,3.7828
'0:0:30.6,3.7815
'0:0:30.7,3.7789
'0:0:30.8,3.7770
'0:0:30.9,3.7754
'0:0:31.0,3.7735
'0:0:31.1,3.7719
