Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,5.8186
'0:0:0.1,5.8022
'0:0:0.2,5.7948
'0:0:0.3,5.7988
'0:0:0.4,5.7711
'0:0:0.5,5.7852
'0:0:0.6,5.7880
'0:0:0.7,5.7869
'0:0:0.8,5.7869
'0:0:0.9,5.7818
'0:0:1.0,5.7812
'0:0:1.1,5.7807
'0:0:1.2,5.7756
'0:0:1.3,5.7671
'0:0:1.4,5.7593
'0:0:1.5,5.7615
'0:0:1.6,5.7632
'0:0:1.7,5.7688
'0:0:1.8,5.7716
'0:0:1.9,5.7514
'0:0:2.0,5.7447
'0:0:2.1,5.7593
'0:0:2.2,5.7486
'0:0:2.3,5.7302
'0:0:2.4,5.7068
'0:0:2.5,5.7246
'0:0:2.6,5.7341
'0:0:2.7,5.7352
'0:0:2.8,5.7385
'0:0:2.9,5.7486
'0:0:3.0,5.7318
'0:0:3.1,5.7252
'0:0:3.2,5.7174
'0:0:3.3,5.7168
'0:0:3.4,5.7024
'0:0:3.5,5.6946
'0:0:3.6,5.6897
'0:0:3.7,5.6836
'0:0:3.8,5.6836
'0:0:3.9,5.6836
'0:0:4.0,5.6908
'0:0:4.1,5.6985
'0:0:4.2,5.6946
'0:0:4.3,5.6958
'0:0:4.4,5.6853
'0:0:4.5,5.6792
'0:0:4.6,5.6770
'0:0:4.7,5.6578
'0:0:4.8,5.6490
'0:0:4.9,5.6425
'0:0:5.0,5.6430
'0:0:5.1,5.6420
'0:0:5.2,5.6441
'0:0:5.3,5.6507
'0:0:5.4,5.6562
'0:0:5.5,5.6534
'0:0:5.6,5.6191
'0:0:5.7,5.4613
'0:0:5.8,5.1966
'0:0:5.9,5.0034
'0:0:6.0,4.9145
'0:0:6.1,4.8282
'0:0:6.2,4.7949
'0:0:6.3,4.9919
'0:0:6.4,5.1608
'0:0:6.5,5.1054
'0:0:6.6,5.0606
'0:0:6.7,5.0742
'0:0:6.8,5.1215
'0:0:6.9,5.1368
'0:0:7.0,5.1125
'0:0:7.1,5.0803
'0:0:7.2,5.0452
'0:0:7.3,5.0433
'0:0:7.4,4.9827
'0:0:7.5,4.9280
'0:0:7.6,4.8970
'0:0:7.7,4.8573
'0:0:7.8,4.8903
'0:0:7.9,4.9376
'0:0:8.0,5.0358
'0:0:8.1,5.1512
'0:0:8.2,5.1187
'0:0:8.3,5.1087
'0:0:8.4,5.0954
'0:0:8.5,5.1177
'0:0:8.6,5.2510
'0:0:8.7,5.4675
'0:0:8.8,5.5921
'0:0:8.9,5.6343
'0:0:9.0,5.6688
'0:0:9.1,5.7024
'0:0:9.2,5.7291
'0:0:9.3,5.7520
'0:0:9.4,5.7525
'0:0:9.5,5.7525
'0:0:9.6,5.7565
'0:0:9.7,5.7565
'0:0:9.8,5.7576
'0:0:9.9,5.7559
'0:0:10.0,5.7425
'0:0:10.1,5.7079
'0:0:10.2,5.5037
'0:0:10.3,5.3753
'0:0:10.4,5.3839
'0:0:10.5,5.3819
'0:0:10.6,5.3666
'0:0:10.7,5.3590
'0:0:10.8,5.3428
'0:0:10.9,5.3377
'0:0:11.0,5.3332
'0:0:11.1,5.3307
'0:0:11.2,5.3267
'0:0:11.3,5.3221
'0:0:11.4,5.3221
'0:0:11.5,5.3307
'0:0:11.6,5.3443
'0:0:11.7,5.3580
'0:0:11.8,5.3691
'0:0:11.9,5.3717
'0:0:12.0,5.3783
'0:0:12.1,5.3865
'0:0:12.2,5.4029
'0:0:12.3,5.4302
'0:0:12.4,5.4327
'0:0:12.5,5.4426
'0:0:12.6,5.4927
'0:0:12.7,5.5317
'0:0:12.8,5.5397
'0:0:12.9,5.5524
'0:0:13.0,5.5711
'0:0:13.1,5.5760
'0:0:13.2,5.5685
'0:0:13.3,5.5455
'0:0:13.4,5.5301
'0:0:13.5,5.5153
'0:0:13.6,5.5026
'0:0:13.7,5.4937
'0:0:13.8,5.4686
'0:0:13.9,5.4670
'0:0:14.0,5.4827
'0:0:14.1,5.5032
'0:0:14.2,5.5158
'0:0:14.3,5.5285
'0:0:14.4,5.5365
'0:0:14.5,5.5540
'0:0:14.6,5.5599
'0:0:14.7,5.5588
'0:0:14.8,5.5567
'0:0:14.9,5.5588
'0:0:15.0,5.5594
'0:0:15.1,5.5578
'0:0:15.2,5.5562
'0:0:15.3,5.5572
'0:0:15.4,5.5535
'0:0:15.5,5.5503
'0:0:15.6,5.5482
'0:0:15.7,5.5450
'0:0:15.8,5.5413
'0:0:15.9,5.5375
'0:0:16.0,5.5344
'0:0:16.1,5.5312
'0:0:16.2,5.5280
'0:0:16.3,5.5269
'0:0:16.4,5.5269
'0:0:16.5,5.5301
'0:0:16.6,5.5360
'0:0:16.7,5.5423
'0:0:16.8,5.5514
'0:0:16.9,5.5626
'0:0:17.0,5.5749
'0:0:17.1,5.5889
'0:0:17.2,5.6067
'0:0:17.3,5.6300
'0:0:17.4,5.6534
'0:0:17.5,5.6803
'0:0:17.6,5.7113
'0:0:17.7,5.7469
'0:0:17.8,5.7829
'0:0:17.9,5.8306
'0:0:18.0,5.8992
'0:0:18.1,5.9513
'0:0:18.2,5.9796
'0:0:18.3,5.9980
'0:0:18.4,5.9784
'0:0:18.5,5.9471
'0:0:18.6,5.9536
'0:0:18.7,6.0081
'0:0:18.8,6.0291
'0:0:18.9,6.0315
'0:0:19.0,6.0291
'0:0:19.1,6.0171
'0:0:19.2,5.9932
'0:0:19.3,5.9719
'0:0:19.4,5.9619
'0:0:19.5,5.9589
'0:0:19.6,5.9566
'0:0:19.7,5.9554
'0:0:19.8,5.9571
'0:0:19.9,5.9595
'0:0:20.0,5.9619
'0:0:20.1,5.9636
'0:0:20.2,5.9660
'0:0:20.3,5.9684
'0:0:20.4,5.9695
'0:0:20.5,5.9701
'0:0:20.6,5.9684
'0:0:20.7,5.9684
'0:0:20.8,5.9684
'0:0:20.9,5.9684
'0:0:21.0,5.9695
'0:0:21.1,5.9689
'0:0:21.2,5.9648
'0:0:21.3,5.9619
'0:0:21.4,5.9548
'0:0:21.5,5.9477
'0:0:21.6,5.9413
'0:0:21.7,5.9336
'0:0:21.8,5.9284
'0:0:21.9,5.9249
'0:0:22.0,5.9196
'0:0:22.1,5.9143
'0:0:22.2,5.9097
'0:0:22.3,5.9091
'0:0:22.4,5.9050
'0:0:22.5,5.9015
'0:0:22.6,5.9010
'0:0:22.7,5.8992
'0:0:22.8,5.8934
'0:0:22.9,5.8876
'0:0:23.0,5.8847
'0:0:23.1,5.8812
'0:0:23.2,5.8766
'0:0:23.3,5.8772
'0:0:23.4,5.8743
'0:0:23.5,5.8720
'0:0:23.6,5.8668
'0:0:23.7,5.8622
'0:0:23.8,5.8593
'0:0:23.9,5.8547
'0:0:24.0,5.8490
'0:0:24.1,5.8449
'0:0:24.2,5.8404
'0:0:24.3,5.8358
'0:0:24.4,5.8306
'0:0:24.5,5.8261
'0:0:24.6,5.8209
'0:0:24.7,5.8175
'0:0:24.8,5.8130
'0:0:24.9,5.8101
'0:0:25.0,5.8061
'0:0:25.1,5.8016
'0:0:25.2,5.7988
'0:0:25.3,5.7988
'0:0:25.4,5.7965
'0:0:25.5,5.7948
'0:0:25.6,5.7937
'0:0:25.7,5.7920
'0:0:25.8,5.7903
'0:0:25.9,5.7886
'0:0:26.0,5.7869
'0:0:26.1,5.7846
'0:0:26.2,5.7840
'0:0:26.3,5.7891
'0:0:26.4,5.7937
'0:0:26.5,5.7971
'0:0:26.6,5.8061
'0:0:26.7,5.7959
'0:0:26.8,5.7807
'0:0:26.9,5.7869
'0:0:27.0,5.8033
'0:0:27.1,5.8164
'0:0:27.2,5.8266
'0:0:27.3,5.8312
'0:0:27.4,5.8318
'0:0:27.5,5.8341
'0:0:27.6,5.8358
'0:0:27.7,5.8364
'0:0:27.8,5.8329
'0:0:27.9,5.8283
'0:0:28.0,5.8215
'0:0:28.1,5.8152
'0:0:28.2,5.8090
'0:0:28.3,5.8044
'0:0:28.4,5.7999
'0:0:28.5,5.7931
'0:0:28.6,5.7869
'0:0:28.7,5.7818
'0:0:28.8,5.7761
'0:0:28.9,5.7711
'0:0:29.0,5.7666
'0:0:29.1,5.7626
'0:0:29.2,5.7587
'0:0:29.3,5.7570
'0:0:29.4,5.7548
'0:0:29.5,5.7531
'0:0:29.6,5.7514
'0:0:29.7,5.7497
'0:0:29.8,5.7503
'0:0:29.9,5.7536
'0:0:30.0,5.7570
'0:0:30.1,5.7609
'0:0:30.2,5.7649
'0:0:30.3,5.7705
'0:0:30.4,5.7733
'0:0:30.5,5.7767
'0:0:30.6,5.7795
'0:0:30.7,5.7818
'0:0:30.8,5.7840
'0:0:30.9,5.7886
'0:0:31.0,5.7931
'0:0:31.1,5.7982
