Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.6929
'0:0:0.1,2.7170
'0:0:0.2,2.7462
'0:0:0.3,2.7546
'0:0:0.4,2.7930
'0:0:0.5,2.8506
'0:0:0.6,2.8824
'0:0:0.7,2.9060
'0:0:0.8,2.9417
'0:0:0.9,2.9669
'0:0:1.0,2.9826
'0:0:1.1,2.9959
'0:0:1.2,3.0018
'0:0:1.3,3.0076
'0:0:1.4,3.0154
'0:0:1.5,3.0235
'0:0:1.6,3.0314
'0:0:1.7,3.0388
'0:0:1.8,3.0430
'0:0:1.9,3.0490
'0:0:2.0,3.0554
'0:0:2.1,3.0614
'0:0:2.2,3.0697
'0:0:2.3,3.0787
'0:0:2.4,3.0885
'0:0:2.5,3.0993
'0:0:2.6,3.1115
'0:0:2.7,3.1260
'0:0:2.8,3.1393
'0:0:2.9,3.1509
'0:0:3.0,3.1651
'0:0:3.1,3.1820
'0:0:3.2,3.1932
'0:0:3.3,3.2013
'0:0:3.4,3.2082
'0:0:3.5,3.2139
'0:0:3.6,3.2208
'0:0:3.7,3.2298
'0:0:3.8,3.2589
'0:0:3.9,3.2490
'0:0:4.0,3.2264
'0:0:4.1,3.2325
'0:0:4.2,3.2466
'0:0:4.3,3.2500
'0:0:4.4,3.2447
'0:0:4.5,3.2418
'0:0:4.6,3.2372
'0:0:4.7,3.2354
'0:0:4.8,3.2410
'0:0:4.9,3.2495
'0:0:5.0,3.2460
'0:0:5.1,3.2455
'0:0:5.2,3.2450
'0:0:5.3,3.2391
'0:0:5.4,3.2359
'0:0:5.5,3.2359
'0:0:5.6,3.2354
'0:0:5.7,3.2367
'0:0:5.8,3.2362
'0:0:5.9,3.2333
'0:0:6.0,3.2306
'0:0:6.1,3.2311
'0:0:6.2,3.2317
'0:0:6.3,3.2280
'0:0:6.4,3.2237
'0:0:6.5,3.2200
'0:0:6.6,3.2171
'0:0:6.7,3.2161
'0:0:6.8,3.2192
'0:0:6.9,3.1703
'0:0:7.0,3.0892
'0:0:7.1,3.0433
'0:0:7.2,2.9872
'0:0:7.3,2.9201
'0:0:7.4,2.8636
'0:0:7.5,2.8213
'0:0:7.6,2.7962
'0:0:7.7,2.8211
'0:0:7.8,2.9499
'0:0:7.9,2.9773
'0:0:8.0,2.9794
'0:0:8.1,2.9860
'0:0:8.2,2.9906
'0:0:8.3,2.9971
'0:0:8.4,3.0319
'0:0:8.5,3.1547
'0:0:8.6,3.2250
'0:0:8.7,3.2426
'0:0:8.8,3.2426
'0:0:8.9,3.2415
'0:0:9.0,3.2420
'0:0:9.1,3.2418
'0:0:9.2,3.2466
'0:0:9.3,3.2535
'0:0:9.4,3.2460
'0:0:9.5,3.2447
'0:0:9.6,3.2428
'0:0:9.7,3.2428
'0:0:9.8,3.2426
'0:0:9.9,3.2495
'0:0:10.0,3.2458
'0:0:10.1,3.2442
'0:0:10.2,3.2468
'0:0:10.3,3.2484
'0:0:10.4,3.2656
'0:0:10.5,3.2656
'0:0:10.6,3.2572
'0:0:10.7,3.2546
'0:0:10.8,3.2610
'0:0:10.9,3.2874
'0:0:11.0,3.2793
'0:0:11.1,3.2717
'0:0:11.2,3.2605
'0:0:11.3,3.2869
'0:0:11.4,3.3083
'0:0:11.5,3.2904
'0:0:11.6,3.2793
'0:0:11.7,3.2842
'0:0:11.8,3.2925
'0:0:11.9,3.3042
'0:0:12.0,3.2928
'0:0:12.1,3.3042
'0:0:12.2,3.3102
'0:0:12.3,3.3160
'0:0:12.4,3.3291
'0:0:12.5,3.3407
'0:0:12.6,3.3528
'0:0:12.7,3.3559
'0:0:12.8,3.3581
'0:0:12.9,3.3653
'0:0:13.0,3.3715
'0:0:13.1,3.3673
'0:0:13.2,3.3678
'0:0:13.3,3.3678
'0:0:13.4,3.3734
'0:0:13.5,3.3812
'0:0:13.6,3.3745
'0:0:13.7,3.3715
'0:0:13.8,3.3670
'0:0:13.9,3.3628
'0:0:14.0,3.3600
'0:0:14.1,3.3567
'0:0:14.2,3.3542
'0:0:14.3,3.3531
'0:0:14.4,3.3531
'0:0:14.5,3.3553
'0:0:14.6,3.3592
'0:0:14.7,3.3631
'0:0:14.8,3.3667
'0:0:14.9,3.3695
'0:0:15.0,3.3723
'0:0:15.1,3.3745
'0:0:15.2,3.3762
'0:0:15.3,3.3773
'0:0:15.4,3.3784
'0:0:15.5,3.3795
'0:0:15.6,3.3793
'0:0:15.7,3.3773
'0:0:15.8,3.3770
'0:0:15.9,3.3765
'0:0:16.0,3.3762
'0:0:16.1,3.3742
'0:0:16.2,3.3706
'0:0:16.3,3.3662
'0:0:16.4,3.3614
'0:0:16.5,3.3564
'0:0:16.6,3.3512
'0:0:16.7,3.3456
'0:0:16.8,3.3398
'0:0:16.9,3.3352
'0:0:17.0,3.3316
'0:0:17.1,3.3283
'0:0:17.2,3.3247
'0:0:17.3,3.3223
'0:0:17.4,3.3179
'0:0:17.5,3.3143
'0:0:17.6,3.3116
'0:0:17.7,3.3105
'0:0:17.8,3.3089
'0:0:17.9,3.3072
'0:0:18.0,3.3059
'0:0:18.1,3.3053
'0:0:18.2,3.3048
'0:0:18.3,3.3034
'0:0:18.4,3.3012
'0:0:18.5,3.2985
'0:0:18.6,3.2955
'0:0:18.7,3.2931
'0:0:18.8,3.2906
'0:0:18.9,3.2920
'0:0:19.0,3.2890
'0:0:19.1,3.2858
'0:0:19.2,3.2831
'0:0:19.3,3.2801
'0:0:19.4,3.2777
'0:0:19.5,3.2742
'0:0:19.6,3.2715
'0:0:19.7,3.2691
'0:0:19.8,3.2680
'0:0:19.9,3.2682
'0:0:20.0,3.2712
'0:0:20.1,3.2763
'0:0:20.2,3.2833
'0:0:20.3,3.2925
'0:0:20.4,3.3034
'0:0:20.5,3.3132
'0:0:20.6,3.3214
'0:0:20.7,3.3291
'0:0:20.8,3.3354
'0:0:20.9,3.3401
'0:0:21.0,3.3418
'0:0:21.1,3.3379
'0:0:21.2,3.3396
'0:0:21.3,3.3423
'0:0:21.4,3.3454
'0:0:21.5,3.3451
'0:0:21.6,3.3434
'0:0:21.7,3.3404
'0:0:21.8,3.3365
'0:0:21.9,3.3338
'0:0:22.0,3.3297
'0:0:22.1,3.3280
'0:0:22.2,3.3288
'0:0:22.3,3.3330
'0:0:22.4,3.3385
'0:0:22.5,3.3459
'0:0:22.6,3.3550
'0:0:22.7,3.3662
'0:0:22.8,3.3765
'0:0:22.9,3.3849
'0:0:23.0,3.3927
'0:0:23.1,3.4017
'0:0:23.2,3.4113
'0:0:23.3,3.4198
'0:0:23.4,3.4286
'0:0:23.5,3.4380
'0:0:23.6,3.4492
'0:0:23.7,3.4601
'0:0:23.8,3.4696
'0:0:23.9,3.4826
'0:0:24.0,3.4922
'0:0:24.1,3.4913
'0:0:24.2,3.4925
'0:0:24.3,3.4936
'0:0:24.4,3.4936
'0:0:24.5,3.4986
'0:0:24.6,3.4997
'0:0:24.7,3.4968
'0:0:24.8,3.4930
'0:0:24.9,3.4896
'0:0:25.0,3.4852
'0:0:25.1,3.4823
'0:0:25.2,3.4829
'0:0:25.3,3.4829
'0:0:25.4,3.4832
'0:0:25.5,3.4852
'0:0:25.6,3.4904
'0:0:25.7,3.4989
'0:0:25.8,3.5073
'0:0:25.9,3.5164
'0:0:26.0,3.5237
'0:0:26.1,3.5293
'0:0:26.2,3.5352
'0:0:26.3,3.5402
'0:0:26.4,3.5429
'0:0:26.5,3.5438
'0:0:26.6,3.5435
'0:0:26.7,3.5423
'0:0:26.8,3.5426
'0:0:26.9,3.5426
'0:0:27.0,3.5397
'0:0:27.1,3.5361
'0:0:27.2,3.5323
'0:0:27.3,3.5273
'0:0:27.4,3.5226
'0:0:27.5,3.5179
'0:0:27.6,3.5126
'0:0:27.7,3.5062
'0:0:27.8,3.5000
'0:0:27.9,3.4945
'0:0:28.0,3.4898
'0:0:28.1,3.4852
'0:0:28.2,3.4806
'0:0:28.3,3.4748
'0:0:28.4,3.4713
'0:0:28.5,3.4661
'0:0:28.6,3.4598
'0:0:28.7,3.4555
'0:0:28.8,3.4512
'0:0:28.9,3.4457
'0:0:29.0,3.4392
'0:0:29.1,3.4329
'0:0:29.2,3.4269
'0:0:29.3,3.4209
'0:0:29.4,3.4158
'0:0:29.5,3.4105
'0:0:29.6,3.4043
'0:0:29.7,3.3992
'0:0:29.8,3.3947
'0:0:29.9,3.3910
'0:0:30.0,3.3885
'0:0:30.1,3.3871
'0:0:30.2,3.3860
'0:0:30.3,3.3854
'0:0:30.4,3.3857
'0:0:30.5,3.3854
'0:0:30.6,3.3888
'0:0:30.7,3.3938
'0:0:30.8,3.3992
'0:0:30.9,3.4065
'0:0:31.0,3.4139
'0:0:31.1,3.4198
