Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.3037
'0:0:0.1,2.3019
'0:0:0.2,2.3010
'0:0:0.3,2.2993
'0:0:0.4,2.2978
'0:0:0.5,2.2965
'0:0:0.6,2.2951
'0:0:0.7,2.2942
'0:0:0.8,2.2927
'0:0:0.9,2.2910
'0:0:1.0,2.2894
'0:0:1.1,2.2881
'0:0:1.2,2.2863
'0:0:1.3,2.2848
'0:0:1.4,2.2834
'0:0:1.5,2.2823
'0:0:1.6,2.2806
'0:0:1.7,2.2795
'0:0:1.8,2.2781
'0:0:1.9,2.2774
'0:0:2.0,2.2770
'0:0:2.1,2.2759
'0:0:2.2,2.2746
'0:0:2.3,2.2732
'0:0:2.4,2.2717
'0:0:2.5,2.2703
'0:0:2.6,2.2683
'0:0:2.7,2.2666
'0:0:2.8,2.2650
'0:0:2.9,2.2634
'0:0:3.0,2.2618
'0:0:3.1,2.2599
'0:0:3.2,2.2583
'0:0:3.3,2.2565
'0:0:3.4,2.2553
'0:0:3.5,2.2536
'0:0:3.6,2.2522
'0:0:3.7,2.2508
'0:0:3.8,2.2493
'0:0:3.9,2.2481
'0:0:4.0,2.2464
'0:0:4.1,2.2452
'0:0:4.2,2.2439
'0:0:4.3,2.2425
'0:0:4.4,2.2418
'0:0:4.5,2.2412
'0:0:4.6,2.2402
'0:0:4.7,2.2389
'0:0:4.8,2.2371
'0:0:4.9,2.2355
'0:0:5.0,2.2369
'0:0:5.1,2.2380
'0:0:5.2,2.2355
'0:0:5.3,2.2334
'0:0:5.4,2.2316
'0:0:5.5,2.2291
'0:0:5.6,2.2270
'0:0:5.7,2.2246
'0:0:5.8,2.2223
'0:0:5.9,2.2200
'0:0:6.0,2.2181
'0:0:6.1,2.2158
'0:0:6.2,2.2138
'0:0:6.3,2.2122
'0:0:6.4,2.2106
'0:0:6.5,2.2090
'0:0:6.6,2.2078
'0:0:6.7,2.2059
'0:0:6.8,2.2043
'0:0:6.9,2.2023
'0:0:7.0,2.2006
'0:0:7.1,2.1997
'0:0:7.2,2.1981
'0:0:7.3,2.1965
'0:0:7.4,2.1944
'0:0:7.5,2.1921
'0:0:7.6,2.1902
'0:0:7.7,2.1881
'0:0:7.8,2.1858
'0:0:7.9,2.1839
'0:0:8.0,2.1822
'0:0:8.1,2.1801
'0:0:8.2,2.1778
'0:0:8.3,2.1757
'0:0:8.4,2.1735
'0:0:8.5,2.1712
'0:0:8.6,2.1693
'0:0:8.7,2.1672
'0:0:8.8,2.1650
'0:0:8.9,2.1631
'0:0:9.0,2.1608
'0:0:9.1,2.1589
'0:0:9.2,2.1568
'0:0:9.3,2.1549
'0:0:9.4,2.1532
'0:0:9.5,2.1515
'0:0:9.6,2.1498
'0:0:9.7,2.1474
'0:0:9.8,2.1455
'0:0:9.9,2.1438
'0:0:10.0,2.1419
'0:0:10.1,2.1400
'0:0:10.2,2.1384
'0:0:10.3,2.1366
'0:0:10.4,2.1350
'0:0:10.5,2.1328
'0:0:10.6,2.1304
'0:0:10.7,2.1270
'0:0:10.8,2.1246
'0:0:10.9,2.1241
'0:0:11.0,2.1238
'0:0:11.1,2.1314
'0:0:11.2,2.1284
'0:0:11.3,2.1272
'0:0:11.4,2.1289
'0:0:11.5,2.1202
'0:0:11.6,2.1116
'0:0:11.7,2.1067
'0:0:11.8,2.1040
'0:0:11.9,2.0966
'0:0:12.0,2.1029
'0:0:12.1,2.1014
'0:0:12.2,2.1021
'0:0:12.3,2.1031
'0:0:12.4,2.1009
'0:0:12.5,2.1004
'0:0:12.6,2.1031
'0:0:12.7,2.1121
'0:0:12.8,2.1153
'0:0:12.9,2.1105
'0:0:13.0,2.1146
'0:0:13.1,2.1214
'0:0:13.2,2.1396
'0:0:13.3,2.1451
'0:0:13.4,2.1524
'0:0:13.5,2.1625
'0:0:13.6,2.1860
'0:0:13.7,2.2145
'0:0:13.8,2.2289
'0:0:13.9,2.2291
'0:0:14.0,2.2420
'0:0:14.1,2.2560
'0:0:14.2,2.2590
'0:0:14.3,2.2632
'0:0:14.4,2.2737
'0:0:14.5,2.2854
'0:0:14.6,2.2912
'0:0:14.7,2.2967
'0:0:14.8,2.3037
'0:0:14.9,2.3092
'0:0:15.0,2.3129
'0:0:15.1,2.3168
'0:0:15.2,2.3168
'0:0:15.3,2.3159
'0:0:15.4,2.3157
'0:0:15.5,2.3140
'0:0:15.6,2.3107
'0:0:15.7,2.3067
'0:0:15.8,2.3032
'0:0:15.9,2.3035
'0:0:16.0,2.2969
'0:0:16.1,2.2945
'0:0:16.2,2.2958
'0:0:16.3,2.2914
'0:0:16.4,2.2887
'0:0:16.5,2.2863
'0:0:16.6,2.2859
'0:0:16.7,2.2883
'0:0:16.8,2.2918
'0:0:16.9,2.2958
'0:0:17.0,2.3000
'0:0:17.1,2.3041
'0:0:17.2,2.3078
'0:0:17.3,2.3113
'0:0:17.4,2.3133
'0:0:17.5,2.3140
'0:0:17.6,2.3148
'0:0:17.7,2.3153
'0:0:17.8,2.3166
'0:0:17.9,2.3213
'0:0:18.0,2.3218
'0:0:18.1,2.3229
'0:0:18.2,2.3233
'0:0:18.3,2.3220
'0:0:18.4,2.3209
'0:0:18.5,2.3194
'0:0:18.6,2.3179
'0:0:18.7,2.3163
'0:0:18.8,2.3146
'0:0:18.9,2.3135
'0:0:19.0,2.3135
'0:0:19.1,2.3139
'0:0:19.2,2.3120
'0:0:19.3,2.3100
'0:0:19.4,2.3083
'0:0:19.5,2.3054
'0:0:19.6,2.3026
'0:0:19.7,2.3000
'0:0:19.8,2.2976
'0:0:19.9,2.2951
'0:0:20.0,2.2929
'0:0:20.1,2.2901
'0:0:20.2,2.2872
'0:0:20.3,2.2843
'0:0:20.4,2.2819
'0:0:20.5,2.2794
'0:0:20.6,2.2772
'0:0:20.7,2.2750
'0:0:20.8,2.2728
'0:0:20.9,2.2706
'0:0:21.0,2.2685
'0:0:21.1,2.2663
'0:0:21.2,2.2645
'0:0:21.3,2.2627
'0:0:21.4,2.2616
'0:0:21.5,2.2598
'0:0:21.6,2.2581
'0:0:21.7,2.2565
'0:0:21.8,2.2551
'0:0:21.9,2.2538
'0:0:22.0,2.2533
'0:0:22.1,2.2583
'0:0:22.2,2.2578
'0:0:22.3,2.2558
'0:0:22.4,2.2536
'0:0:22.5,2.2513
'0:0:22.6,2.2488
'0:0:22.7,2.2466
'0:0:22.8,2.2439
'0:0:22.9,2.2407
'0:0:23.0,2.2380
'0:0:23.1,2.2355
'0:0:23.2,2.2339
'0:0:23.3,2.2330
'0:0:23.4,2.2327
'0:0:23.5,2.2325
'0:0:23.6,2.2328
'0:0:23.7,2.2334
'0:0:23.8,2.2346
'0:0:23.9,2.2359
'0:0:24.0,2.2373
'0:0:24.1,2.2386
'0:0:24.2,2.2396
'0:0:24.3,2.2411
'0:0:24.4,2.2421
'0:0:24.5,2.2429
'0:0:24.6,2.2445
'0:0:24.7,2.2463
'0:0:24.8,2.2488
'0:0:24.9,2.2517
'0:0:25.0,2.2544
'0:0:25.1,2.2569
'0:0:25.2,2.2599
'0:0:25.3,2.2636
'0:0:25.4,2.2685
'0:0:25.5,2.2715
'0:0:25.6,2.2744
'0:0:25.7,2.2768
'0:0:25.8,2.2764
'0:0:25.9,2.2752
'0:0:26.0,2.2746
'0:0:26.1,2.2754
'0:0:26.2,2.2768
'0:0:26.3,2.2781
'0:0:26.4,2.2784
'0:0:26.5,2.2790
'0:0:26.6,2.2794
'0:0:26.7,2.2792
'0:0:26.8,2.2794
'0:0:26.9,2.2797
'0:0:27.0,2.2801
'0:0:27.1,2.2799
'0:0:27.2,2.2788
'0:0:27.3,2.2764
'0:0:27.4,2.2743
'0:0:27.5,2.2717
'0:0:27.6,2.2694
'0:0:27.7,2.2701
'0:0:27.8,2.2699
'0:0:27.9,2.2674
'0:0:28.0,2.2645
'0:0:28.1,2.2618
'0:0:28.2,2.2583
'0:0:28.3,2.2553
'0:0:28.4,2.2526
'0:0:28.5,2.2504
'0:0:28.6,2.2486
'0:0:28.7,2.2472
'0:0:28.8,2.2461
'0:0:28.9,2.2461
'0:0:29.0,2.2445
'0:0:29.1,2.2436
'0:0:29.2,2.2425
'0:0:29.3,2.2412
'0:0:29.4,2.2402
'0:0:29.5,2.2389
'0:0:29.6,2.2373
'0:0:29.7,2.2357
'0:0:29.8,2.2344
'0:0:29.9,2.2332
'0:0:30.0,2.2318
'0:0:30.1,2.2311
'0:0:30.2,2.2294
'0:0:30.3,2.2278
'0:0:30.4,2.2262
'0:0:30.5,2.2246
'0:0:30.6,2.2227
'0:0:30.7,2.2207
'0:0:30.8,2.2184
'0:0:30.9,2.2161
'0:0:31.0,2.2140
'0:0:31.1,2.2122
