Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.7526
'0:0:0.1,2.7504
'0:0:0.2,2.7475
'0:0:0.3,2.7440
'0:0:0.4,2.7403
'0:0:0.5,2.7378
'0:0:0.6,2.7354
'0:0:0.7,2.7306
'0:0:0.8,2.7253
'0:0:0.9,2.7209
'0:0:1.0,2.7155
'0:0:1.1,2.7091
'0:0:1.2,2.7026
'0:0:1.3,2.6959
'0:0:1.4,2.6849
'0:0:1.5,2.6758
'0:0:1.6,2.6688
'0:0:1.7,2.6628
'0:0:1.8,2.6519
'0:0:1.9,2.6406
'0:0:2.0,2.6326
'0:0:2.1,2.6391
'0:0:2.2,2.6536
'0:0:2.3,2.6559
'0:0:2.4,2.6568
'0:0:2.5,2.6519
'0:0:2.6,2.6466
'0:0:2.7,2.6447
'0:0:2.8,2.6387
'0:0:2.9,2.6336
'0:0:3.0,2.6275
'0:0:3.1,2.6233
'0:0:3.2,2.6191
'0:0:3.3,2.6149
'0:0:3.4,2.6111
'0:0:3.5,2.6076
'0:0:3.6,2.6036
'0:0:3.7,2.6007
'0:0:3.8,2.6005
'0:0:3.9,2.5999
'0:0:4.0,2.5988
'0:0:4.1,2.5978
'0:0:4.2,2.5959
'0:0:4.3,2.5932
'0:0:4.4,2.5930
'0:0:4.5,2.5909
'0:0:4.6,2.5878
'0:0:4.7,2.5851
'0:0:4.8,2.5826
'0:0:4.9,2.5781
'0:0:5.0,2.5737
'0:0:5.1,2.5700
'0:0:5.2,2.5665
'0:0:5.3,2.5641
'0:0:5.4,2.5620
'0:0:5.5,2.5602
'0:0:5.6,2.5567
'0:0:5.7,2.5530
'0:0:5.8,2.5495
'0:0:5.9,2.5463
'0:0:6.0,2.5434
'0:0:6.1,2.5406
'0:0:6.2,2.5375
'0:0:6.3,2.5347
'0:0:6.4,2.5322
'0:0:6.5,2.5290
'0:0:6.6,2.5258
'0:0:6.7,2.5221
'0:0:6.8,2.5187
'0:0:6.9,2.5151
'0:0:7.0,2.5121
'0:0:7.1,2.5084
'0:0:7.2,2.5040
'0:0:7.3,2.4986
'0:0:7.4,2.4861
'0:0:7.5,2.4779
'0:0:7.6,2.4619
'0:0:7.7,2.4386
'0:0:7.8,2.4221
'0:0:7.9,2.4097
'0:0:8.0,2.4026
'0:0:8.1,2.4097
'0:0:8.2,2.4215
'0:0:8.3,2.4300
'0:0:8.4,2.4480
'0:0:8.5,2.4625
'0:0:8.6,2.4712
'0:0:8.7,2.4775
'0:0:8.8,2.4781
'0:0:8.9,2.4363
'0:0:9.0,2.3041
'0:0:9.1,2.2779
'0:0:9.2,2.3468
'0:0:9.3,2.4300
'0:0:9.4,2.4906
'0:0:9.5,2.4922
'0:0:9.6,2.4653
'0:0:9.7,2.4680
'0:0:9.8,2.4986
'0:0:9.9,2.5333
'0:0:10.0,2.5600
'0:0:10.1,2.5999
'0:0:10.2,2.6451
'0:0:10.3,2.6784
'0:0:10.4,2.6972
'0:0:10.5,2.7172
'0:0:10.6,2.7356
'0:0:10.7,2.7504
'0:0:10.8,2.7473
'0:0:10.9,2.8057
'0:0:11.0,2.7949
'0:0:11.1,2.7881
'0:0:11.2,2.7467
'0:0:11.3,2.7238
'0:0:11.4,2.8127
'0:0:11.5,2.7022
'0:0:11.6,2.7398
'0:0:11.7,2.8129
'0:0:11.8,2.8458
'0:0:11.9,2.7747
'0:0:12.0,2.6705
'0:0:12.1,2.6872
'0:0:12.2,2.6806
'0:0:12.3,2.8481
'0:0:12.4,3.0101
'0:0:12.5,3.0460
'0:0:12.6,3.1074
'0:0:12.7,3.1783
'0:0:12.8,3.2032
'0:0:12.9,3.2092
'0:0:13.0,3.2139
'0:0:13.1,3.2272
'0:0:13.2,3.2303
'0:0:13.3,3.2333
'0:0:13.4,3.2423
'0:0:13.5,3.2495
'0:0:13.6,3.2460
'0:0:13.7,3.2707
'0:0:13.8,3.2936
'0:0:13.9,3.2335
'0:0:14.0,3.2402
'0:0:14.1,3.2583
'0:0:14.2,3.2301
'0:0:14.3,3.2399
'0:0:14.4,3.2455
'0:0:14.5,3.2474
'0:0:14.6,3.2490
'0:0:14.7,3.2500
'0:0:14.8,3.2522
'0:0:14.9,3.2543
'0:0:15.0,3.2562
'0:0:15.1,3.2607
'0:0:15.2,3.2637
'0:0:15.3,3.2653
'0:0:15.4,3.2691
'0:0:15.5,3.2712
'0:0:15.6,3.2731
'0:0:15.7,3.2750
'0:0:15.8,3.2769
'0:0:15.9,3.2793
'0:0:16.0,3.2842
'0:0:16.1,3.2820
'0:0:16.2,3.2793
'0:0:16.3,3.2761
'0:0:16.4,3.2726
'0:0:16.5,3.2712
'0:0:16.6,3.2672
'0:0:16.7,3.2618
'0:0:16.8,3.2559
'0:0:16.9,3.2506
'0:0:17.0,3.2452
'0:0:17.1,3.2410
'0:0:17.2,3.2372
'0:0:17.3,3.2330
'0:0:17.4,3.2295
'0:0:17.5,3.2266
'0:0:17.6,3.2253
'0:0:17.7,3.2250
'0:0:17.8,3.2250
'0:0:17.9,3.2287
'0:0:18.0,3.2359
'0:0:18.1,3.2375
'0:0:18.2,3.2362
'0:0:18.3,3.2346
'0:0:18.4,3.2311
'0:0:18.5,3.2282
'0:0:18.6,3.2250
'0:0:18.7,3.2216
'0:0:18.8,3.2190
'0:0:18.9,3.2168
'0:0:19.0,3.2142
'0:0:19.1,3.2121
'0:0:19.2,3.2108
'0:0:19.3,3.2113
'0:0:19.4,3.2121
'0:0:19.5,3.2158
'0:0:19.6,3.2227
'0:0:19.7,3.2346
'0:0:19.8,3.2506
'0:0:19.9,3.2709
'0:0:20.0,3.2953
'0:0:20.1,3.3225
'0:0:20.2,3.3514
'0:0:20.3,3.3793
'0:0:20.4,3.4003
'0:0:20.5,3.4057
'0:0:20.6,3.4346
'0:0:20.7,3.4540
'0:0:20.8,3.4621
'0:0:20.9,3.4678
'0:0:21.0,3.4722
'0:0:21.1,3.4730
'0:0:21.2,3.4690
'0:0:21.3,3.4604
'0:0:21.4,3.4512
'0:0:21.5,3.4497
'0:0:21.6,3.4460
'0:0:21.7,3.4397
'0:0:21.8,3.4352
'0:0:21.9,3.4232
'0:0:22.0,3.4099
'0:0:22.1,3.4060
'0:0:22.2,3.4000
'0:0:22.3,3.3975
'0:0:22.4,3.4127
'0:0:22.5,3.4335
'0:0:22.6,3.4621
'0:0:22.7,3.5018
'0:0:22.8,3.5370
'0:0:22.9,3.5211
'0:0:23.0,3.4124
'0:0:23.1,3.3600
'0:0:23.2,3.3231
'0:0:23.3,3.2879
'0:0:23.4,3.2383
'0:0:23.5,3.2999
'0:0:23.6,3.4133
'0:0:23.7,3.4832
'0:0:23.8,3.5176
'0:0:23.9,3.5352
'0:0:24.0,3.5220
'0:0:24.1,3.4965
'0:0:24.2,3.4788
'0:0:24.3,3.4771
'0:0:24.4,3.4983
'0:0:24.5,3.5338
'0:0:24.6,3.5634
'0:0:24.7,3.5939
'0:0:24.8,3.6245
'0:0:24.9,3.6502
'0:0:25.0,3.6739
'0:0:25.1,3.6869
'0:0:25.2,3.6993
'0:0:25.3,3.7118
'0:0:25.4,3.7181
'0:0:25.5,3.7206
'0:0:25.6,3.7193
'0:0:25.7,3.7200
'0:0:25.8,3.7178
'0:0:25.9,3.7112
'0:0:26.0,3.7021
'0:0:26.1,3.6912
'0:0:26.2,3.6779
'0:0:26.3,3.6634
'0:0:26.4,3.6483
'0:0:26.5,3.6355
'0:0:26.6,3.6187
'0:0:26.7,3.6012
'0:0:26.8,3.5840
'0:0:26.9,3.5676
'0:0:27.0,3.5533
'0:0:27.1,3.5385
'0:0:27.2,3.5223
'0:0:27.3,3.5076
'0:0:27.4,3.4930
'0:0:27.5,3.4797
'0:0:27.6,3.4670
'0:0:27.7,3.4555
'0:0:27.8,3.4452
'0:0:27.9,3.4357
'0:0:28.0,3.4278
'0:0:28.1,3.4204
'0:0:28.2,3.4130
'0:0:28.3,3.4062
'0:0:28.4,3.3989
'0:0:28.5,3.3927
'0:0:28.6,3.3874
'0:0:28.7,3.3823
'0:0:28.8,3.3779
'0:0:28.9,3.3731
'0:0:29.0,3.3684
'0:0:29.1,3.3634
'0:0:29.2,3.3578
'0:0:29.3,3.3528
'0:0:29.4,3.3470
'0:0:29.5,3.3418
'0:0:29.6,3.3371
'0:0:29.7,3.3321
'0:0:29.8,3.3277
'0:0:29.9,3.3228
'0:0:30.0,3.3184
'0:0:30.1,3.3135
'0:0:30.2,3.3083
'0:0:30.3,3.3042
'0:0:30.4,3.2999
'0:0:30.5,3.2958
'0:0:30.6,3.2923
'0:0:30.7,3.2882
'0:0:30.8,3.2847
'0:0:30.9,3.2812
'0:0:31.0,3.2782
'0:0:31.1,3.2752
