Experiment name:,NeuLog experiment
Duration:, 5 0
Rate:, 10 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.5678
'0:0:0.1,2.5637
'0:0:0.2,2.5606
'0:0:0.3,2.5559
'0:0:0.4,2.5512
'0:0:0.5,2.5495
'0:0:0.6,2.5740
'0:0:0.7,2.5828
'0:0:0.8,2.5824
'0:0:0.9,2.5820
'0:0:1.0,2.5820
'0:0:1.1,2.5826
'0:0:1.2,2.5835
'0:0:1.3,2.5845
'0:0:1.4,2.5859
'0:0:1.5,2.5864
'0:0:1.6,2.5849
'0:0:1.7,2.5820
'0:0:1.8,2.5787
'0:0:1.9,2.5737
'0:0:2.0,2.5742
'0:0:2.1,2.5748
'0:0:2.2,2.5754
'0:0:2.3,2.5764
'0:0:2.4,2.5766
'0:0:2.5,2.5781
'0:0:2.6,2.5768
'0:0:2.7,2.5618
'0:0:2.8,2.4647
'0:0:2.9,2.3350
'0:0:3.0,2.3006
'0:0:3.1,2.2967
'0:0:3.2,2.3519
'0:0:3.3,2.3959
'0:0:3.4,2.4992
'0:0:3.5,2.5524
'0:0:3.6,2.5663
'0:0:3.7,2.5624
'0:0:3.8,2.5495
'0:0:3.9,2.5393
'0:0:4.0,2.5410
'0:0:4.1,2.5355
'0:0:4.2,2.5475
'0:0:4.3,2.5508
'0:0:4.4,2.5530
'0:0:4.5,2.5551
'0:0:4.6,2.5587
'0:0:4.7,2.5628
'0:0:4.8,2.5719
'0:0:4.9,2.5752
'0:0:5.0,2.5781
'0:0:5.1,2.5804
'0:0:5.2,2.5833
'0:0:5.3,2.5864
'0:0:5.4,2.5891
'0:0:5.5,2.5899
'0:0:5.6,2.5913
'0:0:5.7,2.5928
'0:0:5.8,2.5936
'0:0:5.9,2.5936
'0:0:6.0,2.5947
'0:0:6.1,2.5949
'0:0:6.2,2.5938
'0:0:6.3,2.5922
'0:0:6.4,2.5909
'0:0:6.5,2.5911
'0:0:6.6,2.5897
'0:0:6.7,2.5870
'0:0:6.8,2.5851
'0:0:6.9,2.5835
'0:0:7.0,2.5814
'0:0:7.1,2.5793
'0:0:7.2,2.5766
'0:0:7.3,2.5735
'0:0:7.4,2.5711
'0:0:7.5,2.5690
'0:0:7.6,2.5674
'0:0:7.7,2.5692
'0:0:7.8,2.5744
'0:0:7.9,2.5764
'0:0:8.0,2.5764
'0:0:8.1,2.5742
'0:0:8.2,2.5341
'0:0:8.3,2.5044
'0:0:8.4,2.4811
'0:0:8.5,2.3115
'0:0:8.6,2.0327
'0:0:8.7,2.3412
'0:0:8.8,2.5822
'0:0:8.9,2.6645
'0:0:9.0,2.7544
'0:0:9.1,2.5141
'0:0:9.2,2.1726
'0:0:9.3,1.9394
'0:0:9.4,1.8525
'0:0:9.5,1.9784
'0:0:9.6,2.6216
'0:0:9.7,2.8735
'0:0:9.8,2.9945
'0:0:9.9,3.0981
'0:0:10.0,3.1286
'0:0:10.1,3.1011
'0:0:10.2,2.9874
'0:0:10.3,2.9568
'0:0:10.4,2.9432
'0:0:10.5,2.9477
'0:0:10.6,2.9554
'0:0:10.7,2.9614
'0:0:10.8,2.9760
'0:0:10.9,3.0196
'0:0:11.0,3.0709
'0:0:11.1,3.1077
'0:0:11.2,3.1273
'0:0:11.3,3.1337
'0:0:11.4,3.1342
'0:0:11.5,3.1301
'0:0:11.6,3.1214
'0:0:11.7,3.1332
'0:0:11.8,3.1545
'0:0:11.9,3.1527
'0:0:12.0,3.0549
'0:0:12.1,2.8120
'0:0:12.2,2.6195
'0:0:12.3,2.4722
'0:0:12.4,2.2599
'0:0:12.5,2.1939
'0:0:12.6,2.2300
'0:0:12.7,2.3241
'0:0:12.8,2.4238
'0:0:12.9,2.3852
'0:0:13.0,2.3517
'0:0:13.1,2.3416
'0:0:13.2,2.3418
'0:0:13.3,2.3399
'0:0:13.4,2.3397
'0:0:13.5,2.3363
'0:0:13.6,2.3285
'0:0:13.7,2.3129
'0:0:13.8,2.3085
'0:0:13.9,2.3202
'0:0:14.0,2.3035
'0:0:14.1,2.2500
'0:0:14.2,2.2421
'0:0:14.3,2.2491
'0:0:14.4,2.2589
'0:0:14.5,2.2681
'0:0:14.6,2.2719
'0:0:14.7,2.3459
'0:0:14.8,2.4507
'0:0:14.9,2.5155
'0:0:15.0,2.5779
'0:0:15.1,2.6385
'0:0:15.2,2.6711
'0:0:15.3,2.6724
'0:0:15.4,2.6668
'0:0:15.5,2.6615
'0:0:15.6,2.6566
'0:0:15.7,2.6202
'0:0:15.8,2.4541
'0:0:15.9,2.2942
'0:0:16.0,2.1542
'0:0:16.1,1.9364
'0:0:16.2,1.8290
'0:0:16.3,1.7512
'0:0:16.4,1.7771
'0:0:16.5,1.8477
'0:0:16.6,1.8472
'0:0:16.7,1.8113
'0:0:16.8,1.8384
'0:0:16.9,2.6965
'0:0:17.0,3.0900
'0:0:17.1,3.1568
'0:0:17.2,3.0943
'0:0:17.3,2.9522
'0:0:17.4,2.8817
'0:0:17.5,2.8896
'0:0:17.6,2.9107
'0:0:17.7,2.9178
'0:0:17.8,2.9263
'0:0:17.9,2.9327
'0:0:18.0,2.9341
'0:0:18.1,2.9356
'0:0:18.2,2.9382
'0:0:18.3,2.9261
'0:0:18.4,2.9253
'0:0:18.5,2.9344
'0:0:18.6,2.9746
'0:0:18.7,3.0194
'0:0:18.8,3.0334
'0:0:18.9,3.0490
'0:0:19.0,3.1034
'0:0:19.1,3.1473
'0:0:19.2,3.1576
'0:0:19.3,3.1393
'0:0:19.4,3.1457
'0:0:19.5,3.1576
'0:0:19.6,3.1622
'0:0:19.7,3.1532
'0:0:19.8,3.1414
'0:0:19.9,3.0022
'0:0:20.0,2.7924
'0:0:20.1,2.7602
'0:0:20.2,2.7859
'0:0:20.3,2.6801
'0:0:20.4,2.5791
'0:0:20.5,2.3969
'0:0:20.6,2.3324
'0:0:20.7,2.3285
'0:0:20.8,2.3363
'0:0:20.9,2.3476
'0:0:21.0,2.3653
'0:0:21.1,2.4213
'0:0:21.2,2.6200
'0:0:21.3,2.9301
'0:0:21.4,3.1217
'0:0:21.5,3.1006
'0:0:21.6,3.0044
'0:0:21.7,2.9724
'0:0:21.8,2.9609
'0:0:21.9,2.9678
'0:0:22.0,2.9833
'0:0:22.1,2.9729
'0:0:22.2,2.9275
'0:0:22.3,2.8163
'0:0:22.4,2.7533
'0:0:22.5,2.6853
'0:0:22.6,2.6517
'0:0:22.7,2.6440
'0:0:22.8,2.6493
'0:0:22.9,2.6491
'0:0:23.0,2.6529
'0:0:23.1,2.6666
'0:0:23.2,2.6791
'0:0:23.3,2.7011
'0:0:23.4,2.7301
'0:0:23.5,2.7515
'0:0:23.6,2.7673
'0:0:23.7,2.7653
'0:0:23.8,2.7633
'0:0:23.9,2.7628
'0:0:24.0,2.7600
'0:0:24.1,2.7684
'0:0:24.2,2.7818
'0:0:24.3,2.7820
'0:0:24.4,2.7807
'0:0:24.5,2.7856
'0:0:24.6,2.7823
'0:0:24.7,2.7785
'0:0:24.8,2.7635
'0:0:24.9,2.7247
'0:0:25.0,2.5864
'0:0:25.1,2.3382
'0:0:25.2,2.3509
'0:0:25.3,2.2554
'0:0:25.4,2.2204
'0:0:25.5,2.2986
'0:0:25.6,2.2763
'0:0:25.7,2.2022
'0:0:25.8,2.1589
'0:0:25.9,2.0662
'0:0:26.0,1.8242
'0:0:26.1,1.7840
'0:0:26.2,2.1553
'0:0:26.3,2.4755
'0:0:26.4,2.5731
'0:0:26.5,2.5424
'0:0:26.6,2.5052
'0:0:26.7,2.5024
'0:0:26.8,2.5058
'0:0:26.9,2.5096
'0:0:27.0,2.5123
'0:0:27.1,2.5145
'0:0:27.2,2.5161
'0:0:27.3,2.5185
'0:0:27.4,2.5195
'0:0:27.5,2.5179
'0:0:27.6,2.5088
'0:0:27.7,2.4894
'0:0:27.8,2.4682
'0:0:27.9,2.4511
'0:0:28.0,2.4306
'0:0:28.1,2.4093
'0:0:28.2,2.4118
'0:0:28.3,2.4805
'0:0:28.4,2.5369
'0:0:28.5,2.5546
'0:0:28.6,2.5797
'0:0:28.7,2.5702
'0:0:28.8,2.5624
'0:0:28.9,2.5506
'0:0:29.0,2.5326
'0:0:29.1,2.5187
'0:0:29.2,2.4779
'0:0:29.3,2.4785
'0:0:29.4,2.5062
'0:0:29.5,2.5420
'0:0:29.6,2.5820
'0:0:29.7,2.6668
'0:0:29.8,2.6974
'0:0:29.9,2.6961
'0:0:30.0,2.6767
'0:0:30.1,2.6791
'0:0:30.2,2.6814
'0:0:30.3,2.6776
'0:0:30.4,2.6493
'0:0:30.5,2.5978
'0:0:30.6,2.5493
'0:0:30.7,2.5412
'0:0:30.8,2.5391
'0:0:30.9,2.5387
'0:0:31.0,2.5504
'0:0:31.1,2.5694
