Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.2004
'0:0:0.2,1.1992
'0:0:0.4,1.1978
'0:0:0.6,1.1958
'0:0:0.8,1.1949
'0:0:1.0,1.1940
'0:0:1.2,1.1928
'0:0:1.4,1.1913
'0:0:1.6,1.1907
'0:0:1.8,1.1891
'0:0:2.0,1.1881
'0:0:2.2,1.1873
'0:0:2.4,1.1870
'0:0:2.6,1.1856
'0:0:2.8,1.1841
'0:0:3.0,1.1828
'0:0:3.2,1.1817
'0:0:3.4,1.1802
'0:0:3.6,1.1787
'0:0:3.8,1.1773
'0:0:4.0,1.1762
'0:0:4.2,1.1744
'0:0:4.4,1.1725
'0:0:4.6,1.1712
'0:0:4.8,1.1700
'0:0:5.0,1.1684
'0:0:5.2,1.1668
'0:0:5.4,1.1657
'0:0:5.6,1.1645
'0:0:5.8,1.1635
'0:0:6.0,1.1620
'0:0:6.2,1.1611
'0:0:6.4,1.1595
'0:0:6.6,1.1584
'0:0:6.8,1.1568
'0:0:7.0,1.1556
'0:0:7.2,1.1543
'0:0:7.4,1.1528
'0:0:7.6,1.1518
'0:0:7.8,1.1502
'0:0:8.0,1.1482
'0:0:8.2,1.1467
'0:0:8.4,1.1454
'0:0:8.6,1.1440
'0:0:8.8,1.1427
'0:0:9.0,1.1415
'0:0:9.2,1.1405
'0:0:9.4,1.1392
'0:0:9.6,1.1381
'0:0:9.8,1.1367
'0:0:10.0,1.1352
'0:0:10.2,1.1339
'0:0:10.4,1.1329
'0:0:10.6,1.1314
'0:0:10.8,1.1293
'0:0:11.0,1.1283
'0:0:11.2,1.1274
'0:0:11.4,1.1261
'0:0:11.6,1.1253
'0:0:11.8,1.1241
'0:0:12.0,1.1232
'0:0:12.2,1.1218
'0:0:12.4,1.1203
'0:0:12.6,1.1189
'0:0:12.8,1.1176
'0:0:13.0,1.1160
'0:0:13.2,1.1144
'0:0:13.4,1.1131
'0:0:13.6,1.1121
'0:0:13.8,1.1108
'0:0:14.0,1.1100
'0:0:14.2,1.1088
'0:0:14.4,1.1079
'0:0:14.6,1.1069
'0:0:14.8,1.1060
'0:0:15.0,1.1044
'0:0:15.2,1.1034
'0:0:15.4,1.1023
'0:0:15.6,1.1013
'0:0:15.8,1.1002
'0:0:16.0,1.0989
'0:0:16.2,1.0981
'0:0:16.4,1.0977
'0:0:16.6,1.0975
'0:0:16.8,1.0964
'0:0:17.0,1.0968
'0:0:17.2,1.0972
'0:0:17.4,1.0982
'0:0:17.6,1.0985
'0:0:17.8,1.0980
'0:0:18.0,1.0971
'0:0:18.2,1.0961
'0:0:18.4,1.0951
'0:0:18.6,1.0939
'0:0:18.8,1.0932
'0:0:19.0,1.0928
'0:0:19.2,1.0931
'0:0:19.4,1.0929
'0:0:19.6,1.0930
'0:0:19.8,1.0931
'0:0:20.0,1.0925
'0:0:20.2,1.0920
'0:0:20.4,1.0912
'0:0:20.6,1.0902
'0:0:20.8,1.0891
'0:0:21.0,1.0879
'0:0:21.2,1.0859
'0:0:21.4,1.0843
'0:0:21.6,1.0828
'0:0:21.8,1.0811
'0:0:22.0,1.0793
'0:0:22.2,1.0773
'0:0:22.4,1.0756
'0:0:22.6,1.0741
'0:0:22.8,1.0730
'0:0:23.0,1.0714
'0:0:23.2,1.0701
'0:0:23.4,1.0691
'0:0:23.6,1.0679
'0:0:23.8,1.0662
'0:0:24.0,1.0648
'0:0:24.2,1.0635
'0:0:24.4,1.0624
'0:0:24.6,1.0613
'0:0:24.8,1.0601
'0:0:25.0,1.0589
'0:0:25.2,1.0578
'0:0:25.4,1.0570
'0:0:25.6,1.0560
'0:0:25.8,1.0551
'0:0:26.0,1.0541
'0:0:26.2,1.0532
'0:0:26.4,1.0520
'0:0:26.6,1.0509
'0:0:26.8,1.0498
'0:0:27.0,1.0491
'0:0:27.2,1.0473
'0:0:27.4,1.0460
'0:0:27.6,1.0450
'0:0:27.8,1.0436
'0:0:28.0,1.0428
'0:0:28.2,1.0420
'0:0:28.4,1.0409
'0:0:28.6,1.0399
'0:0:28.8,1.0389
'0:0:29.0,1.0376
'0:0:29.2,1.0366
'0:0:29.4,1.0360
'0:0:29.6,1.0353
'0:0:29.8,1.0345
'0:0:30.0,1.0336
'0:0:30.2,1.0326
'0:0:30.4,1.0318
'0:0:30.6,1.0311
'0:0:30.8,1.0299
'0:0:31.0,1.0291
'0:0:31.2,1.0281
'0:0:31.4,1.0273
'0:0:31.6,1.0262
'0:0:31.8,1.0255
'0:0:32.0,1.0246
'0:0:32.2,1.0237
'0:0:32.4,1.0229
'0:0:32.6,1.0223
'0:0:32.8,1.0221
'0:0:33.0,1.0218
'0:0:33.2,1.0216
'0:0:33.4,1.0213
'0:0:33.6,1.0211
'0:0:33.8,1.0207
'0:0:34.0,1.0207
'0:0:34.2,1.0203
'0:0:34.4,1.0197
'0:0:34.6,1.0197
'0:0:34.8,1.0200
'0:0:35.0,1.0202
'0:0:35.2,1.0207
'0:0:35.4,1.0216
'0:0:35.6,1.0231
'0:0:35.8,1.0248
'0:0:36.0,1.0269
'0:0:36.2,1.0285
'0:0:36.4,1.0301
'0:0:36.6,1.0311
'0:0:36.8,1.0316
'0:0:37.0,1.0317
'0:0:37.2,1.0310
'0:0:37.4,1.0315
'0:0:37.6,1.0329
'0:0:37.8,1.0341
'0:0:38.0,1.0336
'0:0:38.2,1.0330
'0:0:38.4,1.0318
'0:0:38.6,1.0302
'0:0:38.8,1.0290
'0:0:39.0,1.0281
'0:0:39.2,1.0270
'0:0:39.4,1.0259
'0:0:39.6,1.0247
'0:0:39.8,1.0235
'0:0:40.0,1.0225
'0:0:40.2,1.0210
'0:0:40.4,1.0198
'0:0:40.6,1.0185
'0:0:40.8,1.0174
'0:0:41.0,1.0165
'0:0:41.2,1.0156
'0:0:41.4,1.0147
'0:0:41.6,1.0140
'0:0:41.8,1.0132
'0:0:42.0,1.0123
'0:0:42.2,1.0114
'0:0:42.4,1.0106
'0:0:42.6,1.0101
'0:0:42.8,1.0098
'0:0:43.0,1.0103
'0:0:43.2,1.0109
'0:0:43.4,1.0117
'0:0:43.6,1.0122
'0:0:43.8,1.0126
'0:0:44.0,1.0130
'0:0:44.2,1.0129
'0:0:44.4,1.0123
'0:0:44.6,1.0118
'0:0:44.8,1.0112
'0:0:45.0,1.0107
'0:0:45.2,1.0099
'0:0:45.4,1.0090
'0:0:45.6,1.0081
'0:0:45.8,1.0075
'0:0:46.0,1.0067
'0:0:46.2,1.0057
'0:0:46.4,1.0048
'0:0:46.6,1.0040
'0:0:46.8,1.0030
'0:0:47.0,1.0020
'0:0:47.2,1.0010
'0:0:47.4,0.9999
'0:0:47.6,0.9992
'0:0:47.8,0.9991
'0:0:48.0,0.9995
'0:0:48.2,1.0006
'0:0:48.4,1.0020
'0:0:48.6,1.0046
'0:0:48.8,1.0065
'0:0:49.0,1.0072
'0:0:49.2,1.0076
'0:0:49.4,1.0079
'0:0:49.6,1.0077
'0:0:49.8,1.0071
'0:0:50.0,1.0062
'0:0:50.2,1.0054
'0:0:50.4,1.0043
'0:0:50.6,1.0034
'0:0:50.8,1.0030
'0:0:51.0,1.0025
'0:0:51.2,1.0013
'0:0:51.4,1.0000
'0:0:51.6,0.9989
'0:0:51.8,0.9978
'0:0:52.0,0.9971
'0:0:52.2,0.9960
'0:0:52.4,0.9952
'0:0:52.6,0.9941
'0:0:52.8,0.9931
'0:0:53.0,0.9927
'0:0:53.2,0.9918
'0:0:53.4,0.9913
'0:0:53.6,0.9907
'0:0:53.8,0.9901
'0:0:54.0,0.9891
'0:0:54.2,0.9881
'0:0:54.4,0.9876
'0:0:54.6,0.9868
'0:0:54.8,0.9856
'0:0:55.0,0.9846
'0:0:55.2,0.9837
'0:0:55.4,0.9828
'0:0:55.6,0.9821
'0:0:55.8,0.9812
'0:0:56.0,0.9806
'0:0:56.2,0.9802
'0:0:56.4,0.9793
'0:0:56.6,0.9788
'0:0:56.8,0.9782
'0:0:57.0,0.9779
'0:0:57.2,0.9774
'0:0:57.4,0.9769
'0:0:57.6,0.9764
'0:0:57.8,0.9759
'0:0:58.0,0.9753
'0:0:58.2,0.9750
'0:0:58.4,0.9746
'0:0:58.6,0.9741
'0:0:58.8,0.9740
'0:0:59.0,0.9732
'0:0:59.2,0.9726
'0:0:59.4,0.9720
'0:0:59.6,0.9713
'0:0:59.8,0.9705
'0:1:0.0,0.9704
'0:1:0.2,0.9700
'0:1:0.4,0.9691
'0:1:0.6,0.9687
'0:1:0.8,0.9682
'0:1:1.0,0.9674
'0:1:1.2,0.9664
'0:1:1.4,0.9659
'0:1:1.6,0.9653
'0:1:1.8,0.9644
'0:1:2.0,0.9637
'0:1:2.2,0.9632
'0:1:2.4,0.9623
'0:1:2.6,0.9616
'0:1:2.8,0.9610
'0:1:3.0,0.9601
'0:1:3.2,0.9597
'0:1:3.4,0.9591
'0:1:3.6,0.9587
'0:1:3.8,0.9580
'0:1:4.0,0.9574
'0:1:4.2,0.9572
'0:1:4.4,0.9568
'0:1:4.6,0.9561
'0:1:4.8,0.9551
'0:1:5.0,0.9547
'0:1:5.2,0.9544
'0:1:5.4,0.9539
'0:1:5.6,0.9534
'0:1:5.8,0.9529
'0:1:6.0,0.9517
'0:1:6.2,0.9511
'0:1:6.4,0.9505
'0:1:6.6,0.9501
'0:1:6.8,0.9495
'0:1:7.0,0.9492
'0:1:7.2,0.9490
'0:1:7.4,0.9485
'0:1:7.6,0.9479
'0:1:7.8,0.9474
'0:1:8.0,0.9467
'0:1:8.2,0.9462
'0:1:8.4,0.9455
'0:1:8.6,0.9451
'0:1:8.8,0.9444
'0:1:9.0,0.9439
'0:1:9.2,0.9429
'0:1:9.4,0.9423
'0:1:9.6,0.9416
'0:1:9.8,0.9409
'0:1:10.0,0.9408
'0:1:10.2,0.9400
'0:1:10.4,0.9394
'0:1:10.6,0.9388
'0:1:10.8,0.9384
'0:1:11.0,0.9376
'0:1:11.2,0.9360
'0:1:11.4,0.9348
'0:1:11.6,0.9320
'0:1:11.8,0.9475
'0:1:12.0,0.9312
'0:1:12.2,0.9237
'0:1:12.4,0.9323
'0:1:12.6,0.9620
'0:1:12.8,0.8908
'0:1:13.0,0.9305
'0:1:13.2,0.9519
'0:1:13.4,0.9269
'0:1:13.6,0.9497
'0:1:13.8,0.9597
'0:1:14.0,0.9776
'0:1:14.2,0.9766
'0:1:14.4,0.9923
'0:1:14.6,1.0080
'0:1:14.8,1.0081
'0:1:15.0,1.0198
'0:1:15.2,1.0321
'0:1:15.4,1.0224
'0:1:15.6,1.0312
'0:1:15.8,1.0425
'0:1:16.0,1.0330
'0:1:16.2,1.0332
'0:1:16.4,1.0415
'0:1:16.6,1.0383
'0:1:16.8,1.0296
'0:1:17.0,1.0302
'0:1:17.2,1.0350
'0:1:17.4,1.0172
'0:1:17.6,1.0250
'0:1:17.8,1.0383
'0:1:18.0,1.0178
'0:1:18.2,1.0259
'0:1:18.4,1.0263
'0:1:18.6,1.0290
'0:1:18.8,1.0241
'0:1:19.0,1.0257
'0:1:19.2,1.0332
'0:1:19.4,1.0207
'0:1:19.6,1.0237
'0:1:19.8,1.0339
'0:1:20.0,1.0264
'0:1:20.2,1.0203
'0:1:20.4,1.0229
'0:1:20.6,1.0242
'0:1:20.8,1.0225
'0:1:21.0,1.0233
'0:1:21.2,1.0255
'0:1:21.4,1.0193
'0:1:21.6,1.0211
'0:1:21.8,1.0287
'0:1:22.0,1.0209
'0:1:22.2,1.0215
'0:1:22.4,1.0203
'0:1:22.6,1.0207
'0:1:22.8,1.0209
'0:1:23.0,1.0214
'0:1:23.2,1.0207
'0:1:23.4,1.0193
'0:1:23.6,1.0195
'0:1:23.8,1.0233
'0:1:24.0,1.0173
'0:1:24.2,1.0251
'0:1:24.4,1.0316
'0:1:24.6,1.0421
'0:1:24.8,1.0452
'0:1:25.0,1.0544
'0:1:25.2,1.0644
'0:1:25.4,1.0657
'0:1:25.6,1.0741
'0:1:25.8,1.0791
'0:1:26.0,1.0835
'0:1:26.2,1.0848
'0:1:26.4,1.0851
'0:1:26.6,1.0839
'0:1:26.8,1.0818
'0:1:27.0,1.0788
'0:1:27.2,1.0760
'0:1:27.4,1.0734
'0:1:27.6,1.0713
'0:1:27.8,1.0691
'0:1:28.0,1.0676
'0:1:28.2,1.0658
'0:1:28.4,1.0649
'0:1:28.6,1.0644
'0:1:28.8,1.0658
'0:1:29.0,1.0691
'0:1:29.2,1.0719
'0:1:29.4,1.0734
'0:1:29.6,1.0742
'0:1:29.8,1.0747
'0:1:30.0,1.0755
'0:1:30.2,1.0776
'0:1:30.4,1.0810
'0:1:30.6,1.0876
'0:1:30.8,1.0966
'0:1:31.0,1.1071
'0:1:31.2,1.1168
'0:1:31.4,1.1238
'0:1:31.6,1.1284
'0:1:31.8,1.1314
'0:1:32.0,1.1343
'0:1:32.2,1.1369
'0:1:32.4,1.1367
'0:1:32.6,1.1356
'0:1:32.8,1.1341
'0:1:33.0,1.1332
'0:1:33.2,1.1324
'0:1:33.4,1.1326
'0:1:33.6,1.1332
'0:1:33.8,1.1323
'0:1:34.0,1.1308
'0:1:34.2,1.1307
'0:1:34.4,1.1317
'0:1:34.6,1.1344
'0:1:34.8,1.1387
'0:1:35.0,1.1449
'0:1:35.2,1.1525
'0:1:35.4,1.1603
'0:1:35.6,1.1681
'0:1:35.8,1.1745
'0:1:36.0,1.1773
'0:1:36.2,1.1797
'0:1:36.4,1.1846
'0:1:36.6,1.1916
'0:1:36.8,1.1998
'0:1:37.0,1.2080
'0:1:37.2,1.2142
'0:1:37.4,1.2198
'0:1:37.6,1.2246
'0:1:37.8,1.2314
'0:1:38.0,1.2367
'0:1:38.2,1.2392
'0:1:38.4,1.2418
'0:1:38.6,1.2429
'0:1:38.8,1.2429
'0:1:39.0,1.2421
'0:1:39.2,1.2414
'0:1:39.4,1.2409
'0:1:39.6,1.2405
'0:1:39.8,1.2443
'0:1:40.0,1.2446
'0:1:40.2,1.2450
'0:1:40.4,1.2461
'0:1:40.6,1.2466
'0:1:40.8,1.2468
'0:1:41.0,1.2456
'0:1:41.2,1.2435
'0:1:41.4,1.2409
'0:1:41.6,1.2389
'0:1:41.8,1.2362
'0:1:42.0,1.2353
'0:1:42.2,1.2346
'0:1:42.4,1.2353
'0:1:42.6,1.2351
'0:1:42.8,1.2345
'0:1:43.0,1.2332
'0:1:43.2,1.2324
'0:1:43.4,1.2320
'0:1:43.6,1.2303
'0:1:43.8,1.2288
'0:1:44.0,1.2280
'0:1:44.2,1.2196
'0:1:44.4,1.1365
'0:1:44.6,1.1138
'0:1:44.8,1.1186
'0:1:45.0,1.0861
'0:1:45.2,1.0650
