Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.8680
'0:0:0.2,2.8656
'0:0:0.4,2.8636
'0:0:0.6,2.8622
'0:0:0.8,2.8605
'0:0:1.0,2.8592
'0:0:1.2,2.8575
'0:0:1.4,2.8559
'0:0:1.6,2.8552
'0:0:1.8,2.8539
'0:0:2.0,2.8527
'0:0:2.2,2.8509
'0:0:2.4,2.8481
'0:0:2.6,2.8465
'0:0:2.8,2.8447
'0:0:3.0,2.8426
'0:0:3.2,2.8408
'0:0:3.4,2.8375
'0:0:3.6,2.8357
'0:0:3.8,2.8334
'0:0:4.0,2.8325
'0:0:4.2,2.8321
'0:0:4.4,2.8307
'0:0:4.6,2.8282
'0:0:4.8,2.8257
'0:0:5.0,2.8241
'0:0:5.2,2.8227
'0:0:5.4,2.8216
'0:0:5.6,2.8193
'0:0:5.8,2.8168
'0:0:6.0,2.8143
'0:0:6.2,2.8120
'0:0:6.4,2.8100
'0:0:6.6,2.8089
'0:0:6.8,2.8077
'0:0:7.0,2.8057
'0:0:7.2,2.8043
'0:0:7.4,2.8030
'0:0:7.6,2.8032
'0:0:7.8,2.8018
'0:0:8.0,2.7998
'0:0:8.2,2.7969
'0:0:8.4,2.7937
'0:0:8.6,2.7912
'0:0:8.8,2.7883
'0:0:9.0,2.7852
'0:0:9.2,2.7823
'0:0:9.4,2.7794
'0:0:9.6,2.7773
'0:0:9.8,2.7751
'0:0:10.0,2.7735
'0:0:10.2,2.7713
'0:0:10.4,2.7695
'0:0:10.6,2.7693
'0:0:10.8,2.7684
'0:0:11.0,2.7677
'0:0:11.2,2.7664
'0:0:11.4,2.7644
'0:0:11.6,2.7631
'0:0:11.8,2.7620
'0:0:12.0,2.7606
'0:0:12.2,2.7582
'0:0:12.4,2.7564
'0:0:12.6,2.7549
'0:0:12.8,2.7533
'0:0:13.0,2.7515
'0:0:13.2,2.7489
'0:0:13.4,2.7467
'0:0:13.6,2.7442
'0:0:13.8,2.7427
'0:0:14.0,2.7409
'0:0:14.2,2.7403
'0:0:14.4,2.7389
'0:0:14.6,2.7389
'0:0:14.8,2.7396
'0:0:15.0,2.7400
'0:0:15.2,2.7400
'0:0:15.4,2.7396
'0:0:15.6,2.7378
'0:0:15.8,2.7363
'0:0:16.0,2.7341
'0:0:16.2,2.7326
'0:0:16.4,2.7308
'0:0:16.6,2.7293
'0:0:16.8,2.7264
'0:0:17.0,2.7247
'0:0:17.2,2.7231
'0:0:17.4,2.7220
'0:0:17.6,2.7203
'0:0:17.8,2.7185
'0:0:18.0,2.7166
'0:0:18.2,2.7150
'0:0:18.4,2.7133
'0:0:18.6,2.7113
'0:0:18.8,2.7089
'0:0:19.0,2.7070
'0:0:19.2,2.7052
'0:0:19.4,2.7041
'0:0:19.6,2.7026
'0:0:19.8,2.7020
'0:0:20.0,2.7018
'0:0:20.2,2.7018
'0:0:20.4,2.7015
'0:0:20.6,2.7020
'0:0:20.8,2.7013
'0:0:21.0,2.7000
'0:0:21.2,2.6989
'0:0:21.4,2.6976
'0:0:21.6,2.6961
'0:0:21.8,2.6952
'0:0:22.0,2.6929
'0:0:22.2,2.6911
'0:0:22.4,2.6901
'0:0:22.6,2.6892
'0:0:22.8,2.6905
'0:0:23.0,2.6959
'0:0:23.2,2.7031
'0:0:23.4,2.7122
'0:0:23.6,2.7207
'0:0:23.8,2.7260
'0:0:24.0,2.7286
'0:0:24.2,2.7288
'0:0:24.4,2.7266
'0:0:24.6,2.7238
'0:0:24.8,2.7196
'0:0:25.0,2.7144
'0:0:25.2,2.7083
'0:0:25.4,2.7026
'0:0:25.6,2.6981
'0:0:25.8,2.6942
'0:0:26.0,2.6907
'0:0:26.2,2.6875
'0:0:26.4,2.6829
'0:0:26.6,2.6806
'0:0:26.8,2.6784
'0:0:27.0,2.6765
'0:0:27.2,2.6745
'0:0:27.4,2.6715
'0:0:27.6,2.6694
'0:0:27.8,2.6677
'0:0:28.0,2.6664
'0:0:28.2,2.6651
'0:0:28.4,2.6643
'0:0:28.6,2.6628
'0:0:28.8,2.6611
'0:0:29.0,2.6600
'0:0:29.2,2.6591
'0:0:29.4,2.6576
'0:0:29.6,2.6557
'0:0:29.8,2.6532
'0:0:30.0,2.6508
'0:0:30.2,2.6487
'0:0:30.4,2.6466
'0:0:30.6,2.6444
'0:0:30.8,2.6415
'0:0:31.0,2.6396
'0:0:31.2,2.6375
'0:0:31.4,2.6360
'0:0:31.6,2.6343
'0:0:31.8,2.6324
'0:0:32.0,2.6298
'0:0:32.2,2.6282
'0:0:32.4,2.6267
'0:0:32.6,2.6258
'0:0:32.8,2.6256
'0:0:33.0,2.6233
'0:0:33.2,2.6227
'0:0:33.4,2.6221
'0:0:33.6,2.6237
'0:0:33.8,2.6269
'0:0:34.0,2.6292
'0:0:34.2,2.6303
'0:0:34.4,2.6307
'0:0:34.6,2.6315
'0:0:34.8,2.6315
'0:0:35.0,2.6305
'0:0:35.2,2.6294
'0:0:35.4,2.6269
'0:0:35.6,2.6254
'0:0:35.8,2.6248
'0:0:36.0,2.6250
'0:0:36.2,2.6267
'0:0:36.4,2.6292
'0:0:36.6,2.6320
'0:0:36.8,2.6336
'0:0:37.0,2.6336
'0:0:37.2,2.6322
'0:0:37.4,2.6296
'0:0:37.6,2.6273
'0:0:37.8,2.6254
'0:0:38.0,2.6227
'0:0:38.2,2.6204
'0:0:38.4,2.6179
'0:0:38.6,2.6158
'0:0:38.8,2.6132
'0:0:39.0,2.6101
'0:0:39.2,2.6053
'0:0:39.4,2.6015
'0:0:39.6,2.5988
'0:0:39.8,2.5961
'0:0:40.0,2.5965
'0:0:40.2,2.5997
'0:0:40.4,2.6097
'0:0:40.6,2.6280
'0:0:40.8,2.6457
'0:0:41.0,2.6613
'0:0:41.2,2.6739
'0:0:41.4,2.6806
'0:0:41.6,2.6872
'0:0:41.8,2.7024
'0:0:42.0,2.7297
'0:0:42.2,2.7657
'0:0:42.4,2.8034
'0:0:42.6,2.8366
'0:0:42.8,2.8573
'0:0:43.0,2.8696
'0:0:43.2,2.8744
'0:0:43.4,2.8703
'0:0:43.6,2.8617
'0:0:43.8,2.8483
'0:0:44.0,2.8327
'0:0:44.2,2.8175
'0:0:44.4,2.8032
'0:0:44.6,2.7921
'0:0:44.8,2.7856
'0:0:45.0,2.7827
'0:0:45.2,2.7845
'0:0:45.4,2.7973
'0:0:45.6,2.8100
'0:0:45.8,2.8197
'0:0:46.0,2.8252
'0:0:46.2,2.8266
'0:0:46.4,2.8263
'0:0:46.6,2.8182
'0:0:46.8,2.8070
'0:0:47.0,2.7971
'0:0:47.2,2.7859
'0:0:47.4,2.7749
'0:0:47.6,2.7653
'0:0:47.8,2.7580
'0:0:48.0,2.7533
'0:0:48.2,2.7513
'0:0:48.4,2.7593
'0:0:48.6,2.7820
'0:0:48.8,2.8141
'0:0:49.0,2.8449
'0:0:49.2,2.8714
'0:0:49.4,2.8915
'0:0:49.6,2.9055
'0:0:49.8,2.9114
'0:0:50.0,2.9081
'0:0:50.2,2.8978
'0:0:50.4,2.8847
'0:0:50.6,2.8712
'0:0:50.8,2.8582
'0:0:51.0,2.8419
'0:0:51.2,2.8289
'0:0:51.4,2.8209
'0:0:51.6,2.8159
'0:0:51.8,2.8195
'0:0:52.0,2.8332
'0:0:52.2,2.8575
'0:0:52.4,2.8835
'0:0:52.6,2.9020
'0:0:52.8,2.9114
'0:0:53.0,2.9131
'0:0:53.2,2.9083
'0:0:53.4,2.8994
'0:0:53.6,2.8882
'0:0:53.8,2.8735
'0:0:54.0,2.8585
'0:0:54.2,2.8451
'0:0:54.4,2.8325
'0:0:54.6,2.8218
'0:0:54.8,2.8104
'0:0:55.0,2.8012
'0:0:55.2,2.7930
'0:0:55.4,2.7863
'0:0:55.6,2.7807
'0:0:55.8,2.7744
'0:0:56.0,2.7689
'0:0:56.2,2.7646
'0:0:56.4,2.7608
'0:0:56.6,2.7575
'0:0:56.8,2.7526
'0:0:57.0,2.7489
'0:0:57.2,2.7458
'0:0:57.4,2.7429
'0:0:57.6,2.7407
'0:0:57.8,2.7370
'0:0:58.0,2.7343
'0:0:58.2,2.7315
'0:0:58.4,2.7288
'0:0:58.6,2.7260
'0:0:58.8,2.7231
'0:0:59.0,2.7207
'0:0:59.2,2.7190
'0:0:59.4,2.7170
'0:0:59.6,2.7144
'0:0:59.8,2.7118
'0:1:0.0,2.7100
'0:1:0.2,2.7087
'0:1:0.4,2.7068
'0:1:0.6,2.7035
'0:1:0.8,2.7015
'0:1:1.0,2.6996
'0:1:1.2,2.6983
'0:1:1.4,2.6957
'0:1:1.6,2.6935
'0:1:1.8,2.6916
'0:1:2.0,2.6903
'0:1:2.2,2.6885
'0:1:2.4,2.6862
'0:1:2.6,2.6851
'0:1:2.8,2.6849
'0:1:3.0,2.6851
'0:1:3.2,2.6853
'0:1:3.4,2.6842
'0:1:3.6,2.6834
'0:1:3.8,2.6821
'0:1:4.0,2.6808
'0:1:4.2,2.6786
'0:1:4.4,2.6752
'0:1:4.6,2.6730
'0:1:4.8,2.6711
'0:1:5.0,2.6694
'0:1:5.2,2.6673
'0:1:5.4,2.6647
'0:1:5.6,2.6628
'0:1:5.8,2.6617
'0:1:6.0,2.6608
'0:1:6.2,2.6585
'0:1:6.4,2.6568
'0:1:6.6,2.6570
'0:1:6.8,2.6598
'0:1:7.0,2.6643
'0:1:7.2,2.6739
'0:1:7.4,2.6883
'0:1:7.6,2.7072
'0:1:7.8,2.7315
'0:1:8.0,2.7551
'0:1:8.2,2.7747
'0:1:8.4,2.7919
'0:1:8.6,2.8248
'0:1:8.8,2.8765
'0:1:9.0,2.9263
'0:1:9.2,2.9549
'0:1:9.4,2.9674
'0:1:9.6,2.9782
'0:1:9.8,2.9823
'0:1:10.0,2.9707
'0:1:10.2,2.9522
'0:1:10.4,2.9296
'0:1:10.6,2.9100
'0:1:10.8,2.8922
'0:1:11.0,2.8779
'0:1:11.2,2.8673
'0:1:11.4,2.8589
'0:1:11.6,2.8506
'0:1:11.8,2.8378
'0:1:12.0,2.8295
'0:1:12.2,2.8141
'0:1:12.4,2.7982
'0:1:12.6,2.7856
'0:1:12.8,2.7733
'0:1:13.0,2.7626
'0:1:13.2,2.7542
'0:1:13.4,2.7471
'0:1:13.6,2.7438
'0:1:13.8,2.7467
'0:1:14.0,2.7591
'0:1:14.2,2.7769
'0:1:14.4,2.7976
'0:1:14.6,2.8232
'0:1:14.8,2.8490
'0:1:15.0,2.8700
'0:1:15.2,2.9058
'0:1:15.4,2.9782
'0:1:15.6,3.0769
'0:1:15.8,3.1581
'0:1:16.0,3.2110
'0:1:16.2,3.2516
'0:1:16.4,3.2852
'0:1:16.6,3.3157
'0:1:16.8,3.3297
'0:1:17.0,3.3209
'0:1:17.2,3.3059
'0:1:17.4,3.2869
'0:1:17.6,3.2658
'0:1:17.8,3.2434
'0:1:18.0,3.2105
'0:1:18.2,3.1757
'0:1:18.4,3.1457
'0:1:18.6,3.1181
'0:1:18.8,3.0885
'0:1:19.0,3.0704
'0:1:19.2,3.0448
'0:1:19.4,3.0221
'0:1:19.6,3.0084
'0:1:19.8,3.0005
'0:1:20.0,2.9937
'0:1:20.2,2.9869
'0:1:20.4,2.9833
'0:1:20.6,2.9802
'0:1:20.8,2.9789
'0:1:21.0,2.9782
'0:1:21.2,2.9765
'0:1:21.4,2.9748
'0:1:21.6,2.9729
'0:1:21.8,2.9712
'0:1:22.0,2.9664
'0:1:22.2,2.9626
'0:1:22.4,2.9616
'0:1:22.6,2.9710
'0:1:22.8,2.9906
'0:1:23.0,3.0081
'0:1:23.2,3.0181
'0:1:23.4,3.0221
'0:1:23.6,3.0260
'0:1:23.8,3.0285
'0:1:24.0,3.0327
'0:1:24.2,3.0383
'0:1:24.4,3.0448
'0:1:24.6,3.0480
'0:1:24.8,3.0470
'0:1:25.0,3.0448
'0:1:25.2,3.0401
'0:1:25.4,3.0331
'0:1:25.6,3.0253
'0:1:25.8,3.0184
'0:1:26.0,3.0118
'0:1:26.2,3.0071
'0:1:26.4,3.0022
'0:1:26.6,2.9971
'0:1:26.8,2.9923
'0:1:27.0,2.9877
'0:1:27.2,2.9831
'0:1:27.4,2.9799
'0:1:27.6,2.9809
'0:1:27.8,2.9850
'0:1:28.0,2.9915
'0:1:28.2,2.9979
'0:1:28.4,3.0018
'0:1:28.6,3.0059
'0:1:28.8,3.0059
'0:1:29.0,3.0032
'0:1:29.2,2.9993
'0:1:29.4,2.9940
'0:1:29.6,2.9898
'0:1:29.8,2.9850
'0:1:30.0,2.9802
'0:1:30.2,2.9768
'0:1:30.4,2.9741
'0:1:30.6,2.9729
'0:1:30.8,2.9727
'0:1:31.0,2.9736
'0:1:31.2,2.9741
'0:1:31.4,2.9736
'0:1:31.6,2.9729
'0:1:31.8,2.9715
'0:1:32.0,2.9700
'0:1:32.2,2.9705
'0:1:32.4,2.9799
'0:1:32.6,3.0106
'0:1:32.8,3.0520
'0:1:33.0,3.0983
'0:1:33.2,3.1298
'0:1:33.4,3.1444
'0:1:33.6,3.1527
'0:1:33.8,3.1542
'0:1:34.0,3.1403
'0:1:34.2,3.1184
'0:1:34.4,3.0963
'0:1:34.6,3.0767
'0:1:34.8,3.0572
'0:1:35.0,3.0420
'0:1:35.2,3.0309
'0:1:35.4,3.0218
'0:1:35.6,3.0150
'0:1:35.8,3.0081
'0:1:36.0,3.0001
'0:1:36.2,2.9930
'0:1:36.4,2.9886
'0:1:36.6,2.9852
'0:1:36.8,2.9804
'0:1:37.0,2.9758
'0:1:37.2,2.9741
'0:1:37.4,2.9736
'0:1:37.6,2.9722
'0:1:37.8,2.9691
'0:1:38.0,2.9669
'0:1:38.2,2.9642
'0:1:38.4,2.9621
'0:1:38.6,2.9590
'0:1:38.8,2.9554
'0:1:39.0,2.9534
'0:1:39.2,2.9520
'0:1:39.4,2.9511
'0:1:39.6,2.9525
'0:1:39.8,2.9539
'0:1:40.0,2.9566
'0:1:40.2,2.9638
'0:1:40.4,2.9806
'0:1:40.6,3.0059
'0:1:40.8,3.0272
'0:1:41.0,3.0406
'0:1:41.2,3.0468
'0:1:41.4,3.0490
'0:1:41.6,3.0460
'0:1:41.8,3.0383
'0:1:42.0,3.0292
'0:1:42.2,3.0204
'0:1:42.4,3.0123
'0:1:42.6,3.0123
'0:1:42.8,3.0201
'0:1:43.0,3.0319
'0:1:43.2,3.0376
'0:1:43.4,3.0408
'0:1:43.6,3.0416
'0:1:43.8,3.0411
'0:1:44.0,3.0334
'0:1:44.2,3.0228
'0:1:44.4,3.0113
'0:1:44.6,3.0001
'0:1:44.8,2.9894
'0:1:45.0,2.9828
'0:1:45.2,2.9758
