Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.5042
'0:0:0.2,2.4998
'0:0:0.4,2.4972
'0:0:0.6,2.4944
'0:0:0.8,2.4914
'0:0:1.0,2.4886
'0:0:1.2,2.4851
'0:0:1.4,2.4819
'0:0:1.6,2.4795
'0:0:1.8,2.4761
'0:0:2.0,2.4736
'0:0:2.2,2.4700
'0:0:2.4,2.4670
'0:0:2.6,2.4641
'0:0:2.8,2.4619
'0:0:3.0,2.4596
'0:0:3.2,2.4566
'0:0:3.4,2.4533
'0:0:3.6,2.4501
'0:0:3.8,2.4472
'0:0:4.0,2.4445
'0:0:4.2,2.4417
'0:0:4.4,2.4396
'0:0:4.6,2.4363
'0:0:4.8,2.4341
'0:0:5.0,2.4314
'0:0:5.2,2.4289
'0:0:5.4,2.4262
'0:0:5.6,2.4225
'0:0:5.8,2.4200
'0:0:6.0,2.4186
'0:0:6.2,2.4167
'0:0:6.4,2.4138
'0:0:6.6,2.4103
'0:0:6.8,2.4076
'0:0:7.0,2.4049
'0:0:7.2,2.4018
'0:0:7.4,2.3995
'0:0:7.6,2.3965
'0:0:7.8,2.3942
'0:0:8.0,2.3913
'0:0:8.2,2.3888
'0:0:8.4,2.3863
'0:0:8.6,2.3829
'0:0:8.8,2.3806
'0:0:9.0,2.3782
'0:0:9.2,2.3753
'0:0:9.4,2.3734
'0:0:9.6,2.3694
'0:0:9.8,2.3666
'0:0:10.0,2.3639
'0:0:10.2,2.3613
'0:0:10.4,2.3587
'0:0:10.6,2.3547
'0:0:10.8,2.3519
'0:0:11.0,2.3496
'0:0:11.2,2.3472
'0:0:11.4,2.3448
'0:0:11.6,2.3423
'0:0:11.8,2.3393
'0:0:12.0,2.3367
'0:0:12.2,2.3341
'0:0:12.4,2.3347
'0:0:12.6,2.3315
'0:0:12.8,2.3287
'0:0:13.0,2.3265
'0:0:13.2,2.3241
'0:0:13.4,2.3218
'0:0:13.6,2.3190
'0:0:13.8,2.3164
'0:0:14.0,2.3150
'0:0:14.2,2.3153
'0:0:14.4,2.3146
'0:0:14.6,2.3133
'0:0:14.8,2.3126
'0:0:15.0,2.3102
'0:0:15.2,2.3089
'0:0:15.4,2.3070
'0:0:15.6,2.3059
'0:0:15.8,2.3028
'0:0:16.0,2.3015
'0:0:16.2,2.2995
'0:0:16.4,2.2973
'0:0:16.6,2.2947
'0:0:16.8,2.2918
'0:0:17.0,2.2898
'0:0:17.2,2.2878
'0:0:17.4,2.2854
'0:0:17.6,2.2828
'0:0:17.8,2.2808
'0:0:18.0,2.2788
'0:0:18.2,2.2774
'0:0:18.4,2.2772
'0:0:18.6,2.2797
'0:0:18.8,2.2843
'0:0:19.0,2.2912
'0:0:19.2,2.3000
'0:0:19.4,2.3057
'0:0:19.6,2.3089
'0:0:19.8,2.3111
'0:0:20.0,2.3118
'0:0:20.2,2.3109
'0:0:20.4,2.3094
'0:0:20.6,2.3078
'0:0:20.8,2.3044
'0:0:21.0,2.3013
'0:0:21.2,2.2975
'0:0:21.4,2.2942
'0:0:21.6,2.2901
'0:0:21.8,2.2861
'0:0:22.0,2.2823
'0:0:22.2,2.2779
'0:0:22.4,2.2743
'0:0:22.6,2.2710
'0:0:22.8,2.2681
'0:0:23.0,2.2652
'0:0:23.2,2.2621
'0:0:23.4,2.2581
'0:0:23.6,2.2553
'0:0:23.8,2.2529
'0:0:24.0,2.2508
'0:0:24.2,2.2475
'0:0:24.4,2.2445
'0:0:24.6,2.2412
'0:0:24.8,2.2384
'0:0:25.0,2.2361
'0:0:25.2,2.2332
'0:0:25.4,2.2300
'0:0:25.6,2.2266
'0:0:25.8,2.2237
'0:0:26.0,2.2211
'0:0:26.2,2.2179
'0:0:26.4,2.2151
'0:0:26.6,2.2115
'0:0:26.8,2.2087
'0:0:27.0,2.2060
'0:0:27.2,2.2032
'0:0:27.4,2.2006
'0:0:27.6,2.1981
'0:0:27.8,2.1950
'0:0:28.0,2.1918
'0:0:28.2,2.1886
'0:0:28.4,2.1857
'0:0:28.6,2.1832
'0:0:28.8,2.1799
'0:0:29.0,2.1775
'0:0:29.2,2.1747
'0:0:29.4,2.1719
'0:0:29.6,2.1696
'0:0:29.8,2.1676
'0:0:30.0,2.1648
'0:0:30.2,2.1620
'0:0:30.4,2.1596
'0:0:30.6,2.1575
'0:0:30.8,2.1544
'0:0:31.0,2.1518
'0:0:31.2,2.1493
'0:0:31.4,2.1467
'0:0:31.6,2.1444
'0:0:31.8,2.1419
'0:0:32.0,2.1396
'0:0:32.2,2.1371
'0:0:32.4,2.1350
'0:0:32.6,2.1330
'0:0:32.8,2.1306
'0:0:33.0,2.1284
'0:0:33.2,2.1263
'0:0:33.4,2.1246
'0:0:33.6,2.1234
'0:0:33.8,2.1233
'0:0:34.0,2.1219
'0:0:34.2,2.1200
'0:0:34.4,2.1182
'0:0:34.6,2.1166
'0:0:34.8,2.1146
'0:0:35.0,2.1124
'0:0:35.2,2.1105
'0:0:35.4,2.1083
'0:0:35.6,2.1060
'0:0:35.8,2.1040
'0:0:36.0,2.1014
'0:0:36.2,2.0994
'0:0:36.4,2.0971
'0:0:36.6,2.0945
'0:0:36.8,2.0920
'0:0:37.0,2.0897
'0:0:37.2,2.0872
'0:0:37.4,2.0855
'0:0:37.6,2.0828
'0:0:37.8,2.0810
'0:0:38.0,2.0795
'0:0:38.2,2.0775
'0:0:38.4,2.0762
'0:0:38.6,2.0742
'0:0:38.8,2.0717
'0:0:39.0,2.0695
'0:0:39.2,2.0672
'0:0:39.4,2.0645
'0:0:39.6,2.0621
'0:0:39.8,2.0614
'0:0:40.0,2.0596
'0:0:40.2,2.0578
'0:0:40.4,2.0553
'0:0:40.6,2.0535
'0:0:40.8,2.0508
'0:0:41.0,2.0489
'0:0:41.2,2.0464
'0:0:41.4,2.0434
'0:0:41.6,2.0418
'0:0:41.8,2.0397
'0:0:42.0,2.0384
'0:0:42.2,2.0428
'0:0:42.4,2.0398
'0:0:42.6,2.0416
'0:0:42.8,2.0423
'0:0:43.0,2.0408
'0:0:43.2,2.0420
'0:0:43.4,2.0379
'0:0:43.6,2.0279
'0:0:43.8,2.0221
'0:0:44.0,2.0247
'0:0:44.2,2.0145
'0:0:44.4,2.0088
'0:0:44.6,2.0104
'0:0:44.8,2.0164
'0:0:45.0,2.0192
'0:0:45.2,2.0180
'0:0:45.4,2.0085
'0:0:45.6,2.0111
'0:0:45.8,2.0226
'0:0:46.0,2.0325
'0:0:46.2,2.0255
'0:0:46.4,2.0094
'0:0:46.6,2.0098
'0:0:46.8,1.9999
'0:0:47.0,1.9834
'0:0:47.2,1.9593
'0:0:47.4,1.9523
'0:0:47.6,1.9523
'0:0:47.8,1.9545
'0:0:48.0,1.9515
'0:0:48.2,1.9526
'0:0:48.4,1.9567
'0:0:48.6,1.9644
'0:0:48.8,1.9734
'0:0:49.0,1.9938
'0:0:49.2,2.0070
'0:0:49.4,2.0325
'0:0:49.6,2.0662
'0:0:49.8,2.1045
'0:0:50.0,2.1212
'0:0:50.2,2.1294
'0:0:50.4,2.1328
'0:0:50.6,2.1369
'0:0:50.8,2.1219
'0:0:51.0,2.1270
'0:0:51.2,2.1546
'0:0:51.4,2.1729
'0:0:51.6,2.1920
'0:0:51.8,2.2089
'0:0:52.0,2.2029
'0:0:52.2,2.1572
'0:0:52.4,2.1354
'0:0:52.6,2.1548
'0:0:52.8,2.1100
'0:0:53.0,2.1596
'0:0:53.2,2.1811
'0:0:53.4,2.1493
'0:0:53.6,2.1148
'0:0:53.8,2.0788
'0:0:54.0,2.0305
'0:0:54.2,1.9703
'0:0:54.4,1.9595
'0:0:54.6,1.9636
'0:0:54.8,1.9660
'0:0:55.0,1.9672
'0:0:55.2,1.9682
'0:0:55.4,1.9698
'0:0:55.6,1.9676
'0:0:55.8,1.9660
'0:0:56.0,1.9666
'0:0:56.2,1.9682
'0:0:56.4,1.9723
'0:0:56.6,1.9771
'0:0:56.8,1.9841
'0:0:57.0,1.9961
'0:0:57.2,2.0011
'0:0:57.4,2.0024
'0:0:57.6,2.0057
'0:0:57.8,2.0136
'0:0:58.0,2.0195
'0:0:58.2,2.0235
'0:0:58.4,2.0248
'0:0:58.6,2.0235
'0:0:58.8,2.0258
'0:0:59.0,2.0276
'0:0:59.2,2.0299
'0:0:59.4,2.0286
'0:0:59.6,2.0302
'0:0:59.8,2.0284
'0:1:0.0,2.0362
'0:1:0.2,2.0369
'0:1:0.4,2.0372
'0:1:0.6,2.0395
'0:1:0.8,2.0426
'0:1:1.0,2.0444
'0:1:1.2,2.0462
'0:1:1.4,2.0476
'0:1:1.6,2.0467
'0:1:1.8,2.0449
'0:1:2.0,2.0439
'0:1:2.2,2.0433
'0:1:2.4,2.0423
'0:1:2.6,2.0416
'0:1:2.8,2.0408
'0:1:3.0,2.0403
'0:1:3.2,2.0380
'0:1:3.4,2.0362
'0:1:3.6,2.0317
'0:1:3.8,2.0304
'0:1:4.0,2.0278
'0:1:4.2,2.0268
'0:1:4.4,2.0243
'0:1:4.6,2.0229
'0:1:4.8,2.0217
'0:1:5.0,2.0211
'0:1:5.2,2.0195
'0:1:5.4,2.0187
'0:1:5.6,2.0183
'0:1:5.8,2.0183
'0:1:6.0,2.0187
'0:1:6.2,2.0200
'0:1:6.4,2.0206
'0:1:6.6,2.0216
'0:1:6.8,2.0222
'0:1:7.0,2.0226
'0:1:7.2,2.0227
'0:1:7.4,2.0221
'0:1:7.6,2.0213
'0:1:7.8,2.0193
'0:1:8.0,2.0169
'0:1:8.2,2.0146
'0:1:8.4,2.0117
'0:1:8.6,2.0091
'0:1:8.8,2.0069
'0:1:9.0,2.0053
'0:1:9.2,2.0028
'0:1:9.4,2.0009
'0:1:9.6,1.9988
'0:1:9.8,1.9966
'0:1:10.0,1.9946
'0:1:10.2,1.9938
'0:1:10.4,1.9926
'0:1:10.6,1.9910
'0:1:10.8,1.9894
'0:1:11.0,1.9876
'0:1:11.2,1.9862
'0:1:11.4,1.9849
'0:1:11.6,1.9833
'0:1:11.8,1.9819
'0:1:12.0,1.9817
'0:1:12.2,1.9817
'0:1:12.4,1.9814
'0:1:12.6,1.9796
'0:1:12.8,1.9784
'0:1:13.0,1.9725
'0:1:13.2,1.9729
'0:1:13.4,1.9838
'0:1:13.6,1.9916
'0:1:13.8,1.9964
'0:1:14.0,1.9940
'0:1:14.2,1.9962
'0:1:14.4,2.0061
'0:1:14.6,2.0188
'0:1:14.8,2.0130
'0:1:15.0,2.0136
'0:1:15.2,2.0170
'0:1:15.4,2.0185
'0:1:15.6,2.0232
'0:1:15.8,2.0287
'0:1:16.0,2.0318
'0:1:16.2,2.0358
'0:1:16.4,2.0380
'0:1:16.6,2.0394
'0:1:16.8,2.0416
'0:1:17.0,2.0410
'0:1:17.2,2.0410
'0:1:17.4,2.0390
'0:1:17.6,2.0371
'0:1:17.8,2.0348
'0:1:18.0,2.0318
'0:1:18.2,2.0292
'0:1:18.4,2.0265
'0:1:18.6,2.0265
'0:1:18.8,2.0304
'0:1:19.0,2.0377
'0:1:19.2,2.0471
'0:1:19.4,2.0578
'0:1:19.6,2.0657
'0:1:19.8,2.0708
'0:1:20.0,2.0750
'0:1:20.2,2.0777
'0:1:20.4,2.0783
'0:1:20.6,2.0772
'0:1:20.8,2.0748
'0:1:21.0,2.0728
'0:1:21.2,2.0705
'0:1:21.4,2.0675
'0:1:21.6,2.0652
'0:1:21.8,2.0659
'0:1:22.0,2.0640
'0:1:22.2,2.0617
'0:1:22.4,2.0579
'0:1:22.6,2.0545
'0:1:22.8,2.0517
'0:1:23.0,2.0485
'0:1:23.2,2.0459
'0:1:23.4,2.0436
'0:1:23.6,2.0402
'0:1:23.8,2.0369
'0:1:24.0,2.0338
'0:1:24.2,2.0313
'0:1:24.4,2.0297
'0:1:24.6,2.0276
'0:1:24.8,2.0250
'0:1:25.0,2.0230
'0:1:25.2,2.0208
'0:1:25.4,2.0187
'0:1:25.6,2.0170
'0:1:25.8,2.0151
'0:1:26.0,2.0124
'0:1:26.2,2.0107
'0:1:26.4,2.0094
'0:1:26.6,2.0073
'0:1:26.8,2.0056
'0:1:27.0,2.0040
'0:1:27.2,2.0020
'0:1:27.4,2.0011
'0:1:27.6,1.9993
'0:1:27.8,1.9979
'0:1:28.0,1.9962
'0:1:28.2,1.9946
'0:1:28.4,1.9926
'0:1:28.6,1.9910
'0:1:28.8,1.9894
'0:1:29.0,1.9874
'0:1:29.2,1.9857
'0:1:29.4,1.9839
'0:1:29.6,1.9817
'0:1:29.8,1.9799
'0:1:30.0,1.9801
'0:1:30.2,1.9788
'0:1:30.4,1.9776
'0:1:30.6,1.9750
'0:1:30.8,1.9733
'0:1:31.0,1.9714
'0:1:31.2,1.9696
'0:1:31.4,1.9682
'0:1:31.6,1.9669
'0:1:31.8,1.9650
'0:1:32.0,1.9634
'0:1:32.2,1.9620
'0:1:32.4,1.9606
'0:1:32.6,1.9590
'0:1:32.8,1.9574
'0:1:33.0,1.9557
'0:1:33.2,1.9541
'0:1:33.4,1.9519
'0:1:33.6,1.9499
'0:1:33.8,1.9483
'0:1:34.0,1.9464
'0:1:34.2,1.9443
'0:1:34.4,1.9425
'0:1:34.6,1.9411
'0:1:34.8,1.9396
'0:1:35.0,1.9383
'0:1:35.2,1.9377
'0:1:35.4,1.9360
'0:1:35.6,1.9343
'0:1:35.8,1.9328
'0:1:36.0,1.9316
'0:1:36.2,1.9294
'0:1:36.4,1.9280
'0:1:36.6,1.9260
'0:1:36.8,1.9243
'0:1:37.0,1.9234
'0:1:37.2,1.9215
'0:1:37.4,1.9196
'0:1:37.6,1.9181
'0:1:37.8,1.9169
'0:1:38.0,1.9156
'0:1:38.2,1.9136
'0:1:38.4,1.9122
'0:1:38.6,1.9101
'0:1:38.8,1.9081
'0:1:39.0,1.9065
'0:1:39.2,1.9050
'0:1:39.4,1.9033
'0:1:39.6,1.9021
'0:1:39.8,1.9004
'0:1:40.0,1.8989
'0:1:40.2,1.8976
'0:1:40.4,1.8956
'0:1:40.6,1.8944
'0:1:40.8,1.8924
'0:1:41.0,1.8906
'0:1:41.2,1.8889
'0:1:41.4,1.8872
'0:1:41.6,1.8859
'0:1:41.8,1.8836
'0:1:42.0,1.8818
'0:1:42.2,1.8798
'0:1:42.4,1.8783
'0:1:42.6,1.8757
'0:1:42.8,1.8731
'0:1:43.0,1.8710
'0:1:43.2,1.8693
'0:1:43.4,1.8687
'0:1:43.6,1.8672
'0:1:43.8,1.8657
'0:1:44.0,1.8643
'0:1:44.2,1.8627
'0:1:44.4,1.8613
'0:1:44.6,1.8600
'0:1:44.8,1.8585
'0:1:45.0,1.8568
'0:1:45.2,1.8552
