Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,0.6335
'0:0:0.2,0.6338
'0:0:0.4,0.6336
'0:0:0.6,0.6335
'0:0:0.8,0.6332
'0:0:1.0,0.6334
'0:0:1.2,0.6339
'0:0:1.4,0.6334
'0:0:1.6,0.6333
'0:0:1.8,0.6331
'0:0:2.0,0.6327
'0:0:2.2,0.6324
'0:0:2.4,0.6322
'0:0:2.6,0.6330
'0:0:2.8,0.6329
'0:0:3.0,0.6324
'0:0:3.2,0.6324
'0:0:3.4,0.6319
'0:0:3.6,0.6317
'0:0:3.8,0.6314
'0:0:4.0,0.6312
'0:0:4.2,0.6310
'0:0:4.4,0.6308
'0:0:4.6,0.6306
'0:0:4.8,0.6305
'0:0:5.0,0.6304
'0:0:5.2,0.6302
'0:0:5.4,0.6296
'0:0:5.6,0.6295
'0:0:5.8,0.6294
'0:0:6.0,0.6291
'0:0:6.2,0.6287
'0:0:6.4,0.6284
'0:0:6.6,0.6281
'0:0:6.8,0.6276
'0:0:7.0,0.6274
'0:0:7.2,0.6271
'0:0:7.4,0.6267
'0:0:7.6,0.6264
'0:0:7.8,0.6259
'0:0:8.0,0.6254
'0:0:8.2,0.6249
'0:0:8.4,0.6245
'0:0:8.6,0.6241
'0:0:8.8,0.6234
'0:0:9.0,0.6229
'0:0:9.2,0.6224
'0:0:9.4,0.6221
'0:0:9.6,0.6216
'0:0:9.8,0.6210
'0:0:10.0,0.6205
'0:0:10.2,0.6201
'0:0:10.4,0.6195
'0:0:10.6,0.6191
'0:0:10.8,0.6184
'0:0:11.0,0.6178
'0:0:11.2,0.6174
'0:0:11.4,0.6166
'0:0:11.6,0.6162
'0:0:11.8,0.6158
'0:0:12.0,0.6156
'0:0:12.2,0.6153
'0:0:12.4,0.6150
'0:0:12.6,0.6148
'0:0:12.8,0.6148
'0:0:13.0,0.6146
'0:0:13.2,0.6147
'0:0:13.4,0.6146
'0:0:13.6,0.6145
'0:0:13.8,0.6142
'0:0:14.0,0.6136
'0:0:14.2,0.6131
'0:0:14.4,0.6124
'0:0:14.6,0.6120
'0:0:14.8,0.6114
'0:0:15.0,0.6109
'0:0:15.2,0.6104
'0:0:15.4,0.6100
'0:0:15.6,0.6094
'0:0:15.8,0.6088
'0:0:16.0,0.6083
'0:0:16.2,0.6077
'0:0:16.4,0.6074
'0:0:16.6,0.6069
'0:0:16.8,0.6064
'0:0:17.0,0.6058
'0:0:17.2,0.6054
'0:0:17.4,0.6049
'0:0:17.6,0.6043
'0:0:17.8,0.6048
'0:0:18.0,0.6054
'0:0:18.2,0.6054
'0:0:18.4,0.6043
'0:0:18.6,0.6063
'0:0:18.8,0.6060
'0:0:19.0,0.6069
'0:0:19.2,0.6050
'0:0:19.4,0.6045
'0:0:19.6,0.6029
'0:0:19.8,0.6028
'0:0:20.0,0.6026
'0:0:20.2,0.6017
'0:0:20.4,0.6013
'0:0:20.6,0.6004
'0:0:20.8,0.5996
'0:0:21.0,0.5988
'0:0:21.2,0.5981
'0:0:21.4,0.5975
'0:0:21.6,0.5967
'0:0:21.8,0.5959
'0:0:22.0,0.5955
'0:0:22.2,0.5946
'0:0:22.4,0.5938
'0:0:22.6,0.5933
'0:0:22.8,0.5926
'0:0:23.0,0.5918
'0:0:23.2,0.5911
'0:0:23.4,0.5912
'0:0:23.6,0.5907
'0:0:23.8,0.5898
'0:0:24.0,0.5882
'0:0:24.2,0.5876
'0:0:24.4,0.5873
'0:0:24.6,0.5867
'0:0:24.8,0.5861
'0:0:25.0,0.5852
'0:0:25.2,0.5847
'0:0:25.4,0.5846
'0:0:25.6,0.5842
'0:0:25.8,0.5835
'0:0:26.0,0.5828
'0:0:26.2,0.5821
'0:0:26.4,0.5816
'0:0:26.6,0.5809
'0:0:26.8,0.5801
'0:0:27.0,0.5796
'0:0:27.2,0.5792
'0:0:27.4,0.5784
'0:0:27.6,0.5779
'0:0:27.8,0.5772
'0:0:28.0,0.5767
'0:0:28.2,0.5762
'0:0:28.4,0.5757
'0:0:28.6,0.5751
'0:0:28.8,0.5749
'0:0:29.0,0.5745
'0:0:29.2,0.5740
'0:0:29.4,0.5733
'0:0:29.6,0.5728
'0:0:29.8,0.5722
'0:0:30.0,0.5719
'0:0:30.2,0.5715
'0:0:30.4,0.5709
'0:0:30.6,0.5702
'0:0:30.8,0.5697
'0:0:31.0,0.5691
'0:0:31.2,0.5686
'0:0:31.4,0.5680
'0:0:31.6,0.5674
'0:0:31.8,0.5670
'0:0:32.0,0.5670
'0:0:32.2,0.5664
'0:0:32.4,0.5653
'0:0:32.6,0.5648
'0:0:32.8,0.5613
'0:0:33.0,0.5580
'0:0:33.2,0.5550
'0:0:33.4,0.5531
'0:0:33.6,0.5573
'0:0:33.8,0.5592
'0:0:34.0,0.5477
'0:0:34.2,0.5203
'0:0:34.4,0.5281
'0:0:34.6,0.5310
'0:0:34.8,0.5282
'0:0:35.0,0.5275
'0:0:35.2,0.5221
'0:0:35.4,0.5098
'0:0:35.6,0.5131
'0:0:35.8,0.5130
'0:0:36.0,0.5132
'0:0:36.2,0.5097
'0:0:36.4,0.4979
'0:0:36.6,0.5062
'0:0:36.8,0.4890
'0:0:37.0,0.5015
'0:0:37.2,0.4919
'0:0:37.4,0.4189
'0:0:37.6,0.4347
'0:0:37.8,0.4345
'0:0:38.0,0.3992
'0:0:38.2,0.4644
'0:0:38.4,0.5481
'0:0:38.6,0.5539
'0:0:38.8,0.5515
'0:0:39.0,0.5501
'0:0:39.2,0.5474
'0:0:39.4,0.5562
'0:0:39.6,0.5428
'0:0:39.8,0.5390
'0:0:40.0,0.5401
'0:0:40.2,0.5542
'0:0:40.4,0.5768
'0:0:40.6,0.5734
'0:0:40.8,0.5664
'0:0:41.0,0.5632
'0:0:41.2,0.5477
'0:0:41.4,0.5510
'0:0:41.6,0.5581
'0:0:41.8,0.5690
'0:0:42.0,0.5771
'0:0:42.2,0.5818
'0:0:42.4,0.5849
'0:0:42.6,0.5865
'0:0:42.8,0.5881
'0:0:43.0,0.5900
'0:0:43.2,0.5916
'0:0:43.4,0.5933
'0:0:43.6,0.5952
'0:0:43.8,0.5974
'0:0:44.0,0.5990
'0:0:44.2,0.6000
'0:0:44.4,0.6007
'0:0:44.6,0.6014
'0:0:44.8,0.6018
'0:0:45.0,0.6021
'0:0:45.2,0.6026
'0:0:45.4,0.6029
'0:0:45.6,0.6032
'0:0:45.8,0.6036
'0:0:46.0,0.6042
'0:0:46.2,0.6065
'0:0:46.4,0.6068
'0:0:46.6,0.6074
'0:0:46.8,0.6076
'0:0:47.0,0.6077
'0:0:47.2,0.6077
'0:0:47.4,0.6075
'0:0:47.6,0.6074
'0:0:47.8,0.6074
'0:0:48.0,0.6075
'0:0:48.2,0.6077
'0:0:48.4,0.6077
'0:0:48.6,0.6076
'0:0:48.8,0.6075
'0:0:49.0,0.6074
'0:0:49.2,0.6074
'0:0:49.4,0.6075
'0:0:49.6,0.6077
'0:0:49.8,0.6084
'0:0:50.0,0.6090
'0:0:50.2,0.6100
'0:0:50.4,0.6106
'0:0:50.6,0.6128
'0:0:50.8,0.6157
'0:0:51.0,0.6180
'0:0:51.2,0.6219
'0:0:51.4,0.6270
'0:0:51.6,0.6306
'0:0:51.8,0.6335
'0:0:52.0,0.6366
'0:0:52.2,0.6380
'0:0:52.4,0.6399
'0:0:52.6,0.6421
'0:0:52.8,0.6423
'0:0:53.0,0.6421
'0:0:53.2,0.6415
'0:0:53.4,0.6409
'0:0:53.6,0.6403
'0:0:53.8,0.6400
'0:0:54.0,0.6401
'0:0:54.2,0.6403
'0:0:54.4,0.6399
'0:0:54.6,0.6400
'0:0:54.8,0.6405
'0:0:55.0,0.6405
'0:0:55.2,0.6404
'0:0:55.4,0.6404
'0:0:55.6,0.6400
'0:0:55.8,0.6400
'0:0:56.0,0.6396
'0:0:56.2,0.6395
'0:0:56.4,0.6393
'0:0:56.6,0.6390
'0:0:56.8,0.6385
'0:0:57.0,0.6383
'0:0:57.2,0.6379
'0:0:57.4,0.6375
'0:0:57.6,0.6373
'0:0:57.8,0.6375
'0:0:58.0,0.6376
'0:0:58.2,0.6375
'0:0:58.4,0.6374
'0:0:58.6,0.6369
'0:0:58.8,0.6361
'0:0:59.0,0.6358
'0:0:59.2,0.6352
'0:0:59.4,0.6347
'0:0:59.6,0.6344
'0:0:59.8,0.6341
'0:1:0.0,0.6334
'0:1:0.2,0.6328
'0:1:0.4,0.6321
'0:1:0.6,0.6317
'0:1:0.8,0.6309
'0:1:1.0,0.6302
'0:1:1.2,0.6298
'0:1:1.4,0.6293
'0:1:1.6,0.6288
'0:1:1.8,0.6281
'0:1:2.0,0.6275
'0:1:2.2,0.6280
'0:1:2.4,0.6278
'0:1:2.6,0.6270
'0:1:2.8,0.6268
'0:1:3.0,0.6260
'0:1:3.2,0.6257
'0:1:3.4,0.6255
'0:1:3.6,0.6264
'0:1:3.8,0.6255
'0:1:4.0,0.6224
'0:1:4.2,0.6156
'0:1:4.4,0.6015
'0:1:4.6,0.5993
'0:1:4.8,0.5916
'0:1:5.0,0.5877
'0:1:5.2,0.5852
'0:1:5.4,0.5825
'0:1:5.6,0.5788
'0:1:5.8,0.5854
'0:1:6.0,0.5873
'0:1:6.2,0.5838
'0:1:6.4,0.5860
'0:1:6.6,0.5871
'0:1:6.8,0.5867
'0:1:7.0,0.5839
'0:1:7.2,0.5798
'0:1:7.4,0.5741
'0:1:7.6,0.5784
'0:1:7.8,0.5728
'0:1:8.0,0.5888
'0:1:8.2,0.5996
'0:1:8.4,0.6050
'0:1:8.6,0.5957
'0:1:8.8,0.5906
'0:1:9.0,0.5981
'0:1:9.2,0.6072
'0:1:9.4,0.6086
'0:1:9.6,0.6097
'0:1:9.8,0.6105
'0:1:10.0,0.6112
'0:1:10.2,0.6133
'0:1:10.4,0.6143
'0:1:10.6,0.6156
'0:1:10.8,0.6165
'0:1:11.0,0.6182
'0:1:11.2,0.6184
'0:1:11.4,0.6182
'0:1:11.6,0.6181
'0:1:11.8,0.6181
'0:1:12.0,0.6189
'0:1:12.2,0.6194
'0:1:12.4,0.6195
'0:1:12.6,0.6195
'0:1:12.8,0.6195
'0:1:13.0,0.6192
'0:1:13.2,0.6195
'0:1:13.4,0.6194
'0:1:13.6,0.6196
'0:1:13.8,0.6194
'0:1:14.0,0.6194
'0:1:14.2,0.6198
'0:1:14.4,0.6198
'0:1:14.6,0.6195
'0:1:14.8,0.6196
'0:1:15.0,0.6207
'0:1:15.2,0.6216
'0:1:15.4,0.6215
'0:1:15.6,0.6219
'0:1:15.8,0.6232
'0:1:16.0,0.6266
'0:1:16.2,0.6167
'0:1:16.4,0.5965
'0:1:16.6,0.6137
'0:1:16.8,0.6219
'0:1:17.0,0.6323
'0:1:17.2,0.6338
'0:1:17.4,0.6347
'0:1:17.6,0.6340
'0:1:17.8,0.6335
'0:1:18.0,0.6331
'0:1:18.2,0.6327
'0:1:18.4,0.6322
'0:1:18.6,0.6317
'0:1:18.8,0.6319
'0:1:19.0,0.6320
'0:1:19.2,0.6318
'0:1:19.4,0.6317
'0:1:19.6,0.6317
'0:1:19.8,0.6320
'0:1:20.0,0.6327
'0:1:20.2,0.6337
'0:1:20.4,0.6333
'0:1:20.6,0.6328
'0:1:20.8,0.6320
'0:1:21.0,0.6314
'0:1:21.2,0.6310
'0:1:21.4,0.6302
'0:1:21.6,0.6299
'0:1:21.8,0.6291
'0:1:22.0,0.6290
'0:1:22.2,0.6289
'0:1:22.4,0.6287
'0:1:22.6,0.6284
'0:1:22.8,0.6279
'0:1:23.0,0.6278
'0:1:23.2,0.6275
'0:1:23.4,0.6270
'0:1:23.6,0.6265
'0:1:23.8,0.6258
'0:1:24.0,0.6251
'0:1:24.2,0.6243
'0:1:24.4,0.6239
'0:1:24.6,0.6235
'0:1:24.8,0.6228
'0:1:25.0,0.6222
'0:1:25.2,0.6217
'0:1:25.4,0.6212
'0:1:25.6,0.6207
'0:1:25.8,0.6204
'0:1:26.0,0.6199
'0:1:26.2,0.6197
'0:1:26.4,0.6196
'0:1:26.6,0.6190
'0:1:26.8,0.6184
'0:1:27.0,0.6178
'0:1:27.2,0.6172
'0:1:27.4,0.6165
'0:1:27.6,0.6160
'0:1:27.8,0.6155
'0:1:28.0,0.6146
'0:1:28.2,0.6140
'0:1:28.4,0.6133
'0:1:28.6,0.6126
'0:1:28.8,0.6121
'0:1:29.0,0.6114
'0:1:29.2,0.6109
'0:1:29.4,0.6104
'0:1:29.6,0.6099
'0:1:29.8,0.6097
'0:1:30.0,0.6101
'0:1:30.2,0.6110
'0:1:30.4,0.6111
'0:1:30.6,0.6109
'0:1:30.8,0.6103
'0:1:31.0,0.6097
'0:1:31.2,0.6092
'0:1:31.4,0.6087
'0:1:31.6,0.6080
'0:1:31.8,0.6072
'0:1:32.0,0.6063
'0:1:32.2,0.6055
'0:1:32.4,0.6045
'0:1:32.6,0.6035
'0:1:32.8,0.6028
'0:1:33.0,0.6015
'0:1:33.2,0.6007
'0:1:33.4,0.6002
'0:1:33.6,0.5992
'0:1:33.8,0.5983
'0:1:34.0,0.5974
'0:1:34.2,0.5967
'0:1:34.4,0.5963
'0:1:34.6,0.5950
'0:1:34.8,0.5944
'0:1:35.0,0.5935
'0:1:35.2,0.5926
'0:1:35.4,0.5919
'0:1:35.6,0.5914
'0:1:35.8,0.5906
'0:1:36.0,0.5899
'0:1:36.2,0.5894
'0:1:36.4,0.5884
'0:1:36.6,0.5876
'0:1:36.8,0.5870
'0:1:37.0,0.5861
'0:1:37.2,0.5853
'0:1:37.4,0.5845
'0:1:37.6,0.5838
'0:1:37.8,0.5832
'0:1:38.0,0.5825
'0:1:38.2,0.5818
'0:1:38.4,0.5814
'0:1:38.6,0.5810
'0:1:38.8,0.5804
'0:1:39.0,0.5796
'0:1:39.2,0.5791
'0:1:39.4,0.5783
'0:1:39.6,0.5778
'0:1:39.8,0.5776
'0:1:40.0,0.5775
'0:1:40.2,0.5772
'0:1:40.4,0.5765
'0:1:40.6,0.5762
'0:1:40.8,0.5758
'0:1:41.0,0.5753
'0:1:41.2,0.5740
'0:1:41.4,0.5734
'0:1:41.6,0.5729
'0:1:41.8,0.5725
'0:1:42.0,0.5720
'0:1:42.2,0.5715
'0:1:42.4,0.5708
'0:1:42.6,0.5702
'0:1:42.8,0.5696
'0:1:43.0,0.5692
'0:1:43.2,0.5700
'0:1:43.4,0.5687
'0:1:43.6,0.5676
'0:1:43.8,0.5667
'0:1:44.0,0.5661
'0:1:44.2,0.5654
'0:1:44.4,0.5646
'0:1:44.6,0.5640
'0:1:44.8,0.5634
'0:1:45.0,0.5628
'0:1:45.2,0.5622
