Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.6397
'0:0:0.2,1.6401
'0:0:0.4,1.6397
'0:0:0.6,1.6394
'0:0:0.8,1.6386
'0:0:1.0,1.6377
'0:0:1.2,1.6366
'0:0:1.4,1.6354
'0:0:1.6,1.6332
'0:0:1.8,1.6316
'0:0:2.0,1.6300
'0:0:2.2,1.6278
'0:0:2.4,1.6260
'0:0:2.6,1.6238
'0:0:2.8,1.6222
'0:0:3.0,1.6211
'0:0:3.2,1.6211
'0:0:3.4,1.6211
'0:0:3.6,1.6209
'0:0:3.8,1.6203
'0:0:4.0,1.6209
'0:0:4.2,1.6207
'0:0:4.4,1.6217
'0:0:4.6,1.6233
'0:0:4.8,1.6250
'0:0:5.0,1.6264
'0:0:5.2,1.6277
'0:0:5.4,1.6285
'0:0:5.6,1.6284
'0:0:5.8,1.6291
'0:0:6.0,1.6307
'0:0:6.2,1.6334
'0:0:6.4,1.6378
'0:0:6.6,1.6429
'0:0:6.8,1.6494
'0:0:7.0,1.6546
'0:0:7.2,1.6586
'0:0:7.4,1.6620
'0:0:7.6,1.6643
'0:0:7.8,1.6651
'0:0:8.0,1.6648
'0:0:8.2,1.6639
'0:0:8.4,1.6622
'0:0:8.6,1.6605
'0:0:8.8,1.6580
'0:0:9.0,1.6554
'0:0:9.2,1.6524
'0:0:9.4,1.6499
'0:0:9.6,1.6466
'0:0:9.8,1.6438
'0:0:10.0,1.6408
'0:0:10.2,1.6377
'0:0:10.4,1.6348
'0:0:10.6,1.6325
'0:0:10.8,1.6300
'0:0:11.0,1.6270
'0:0:11.2,1.6246
'0:0:11.4,1.6222
'0:0:11.6,1.6207
'0:0:11.8,1.6195
'0:0:12.0,1.6202
'0:0:12.2,1.6185
'0:0:12.4,1.6157
'0:0:12.6,1.6147
'0:0:12.8,1.6129
'0:0:13.0,1.6114
'0:0:13.2,1.6097
'0:0:13.4,1.6085
'0:0:13.6,1.6063
'0:0:13.8,1.6053
'0:0:14.0,1.6042
'0:0:14.2,1.6033
'0:0:14.4,1.6017
'0:0:14.6,1.6000
'0:0:14.8,1.5984
'0:0:15.0,1.5971
'0:0:15.2,1.5955
'0:0:15.4,1.5946
'0:0:15.6,1.5934
'0:0:15.8,1.5928
'0:0:16.0,1.5910
'0:0:16.2,1.5899
'0:0:16.4,1.5892
'0:0:16.6,1.5878
'0:0:16.8,1.5867
'0:0:17.0,1.5851
'0:0:17.2,1.5831
'0:0:17.4,1.5818
'0:0:17.6,1.5807
'0:0:17.8,1.5800
'0:0:18.0,1.5781
'0:0:18.2,1.5767
'0:0:18.4,1.5751
'0:0:18.6,1.5738
'0:0:18.8,1.5728
'0:0:19.0,1.5715
'0:0:19.2,1.5695
'0:0:19.4,1.5679
'0:0:19.6,1.5666
'0:0:19.8,1.5655
'0:0:20.0,1.5639
'0:0:20.2,1.5627
'0:0:20.4,1.5614
'0:0:20.6,1.5604
'0:0:20.8,1.5598
'0:0:21.0,1.5585
'0:0:21.2,1.5568
'0:0:21.4,1.5551
'0:0:21.6,1.5532
'0:0:21.8,1.5515
'0:0:22.0,1.5506
'0:0:22.2,1.5489
'0:0:22.4,1.5473
'0:0:22.6,1.5462
'0:0:22.8,1.5453
'0:0:23.0,1.5444
'0:0:23.2,1.5431
'0:0:23.4,1.5423
'0:0:23.6,1.5413
'0:0:23.8,1.5401
'0:0:24.0,1.5391
'0:0:24.2,1.5369
'0:0:24.4,1.5368
'0:0:24.6,1.5364
'0:0:24.8,1.5369
'0:0:25.0,1.5401
'0:0:25.2,1.5419
'0:0:25.4,1.5407
'0:0:25.6,1.5401
'0:0:25.8,1.5394
'0:0:26.0,1.5378
'0:0:26.2,1.5376
'0:0:26.4,1.5376
'0:0:26.6,1.5362
'0:0:26.8,1.5362
'0:0:27.0,1.5351
'0:0:27.2,1.5345
'0:0:27.4,1.5344
'0:0:27.6,1.5337
'0:0:27.8,1.5332
'0:0:28.0,1.5322
'0:0:28.2,1.5312
'0:0:28.4,1.5303
'0:0:28.6,1.5290
'0:0:28.8,1.5284
'0:0:29.0,1.5271
'0:0:29.2,1.5263
'0:0:29.4,1.5253
'0:0:29.6,1.5243
'0:0:29.8,1.5230
'0:0:30.0,1.5220
'0:0:30.2,1.5210
'0:0:30.4,1.5200
'0:0:30.6,1.5187
'0:0:30.8,1.5187
'0:0:31.0,1.5186
'0:0:31.2,1.5181
'0:0:31.4,1.5165
'0:0:31.6,1.5153
'0:0:31.8,1.5145
'0:0:32.0,1.5130
'0:0:32.2,1.5122
'0:0:32.4,1.5112
'0:0:32.6,1.5096
'0:0:32.8,1.5088
'0:0:33.0,1.5083
'0:0:33.2,1.5071
'0:0:33.4,1.5050
'0:0:33.6,1.5042
'0:0:33.8,1.5037
'0:0:34.0,1.5025
'0:0:34.2,1.5008
'0:0:34.4,1.4994
'0:0:34.6,1.4985
'0:0:34.8,1.4974
'0:0:35.0,1.4965
'0:0:35.2,1.4962
'0:0:35.4,1.4952
'0:0:35.6,1.4937
'0:0:35.8,1.4926
'0:0:36.0,1.4911
'0:0:36.2,1.4898
'0:0:36.4,1.4886
'0:0:36.6,1.4873
'0:0:36.8,1.4865
'0:0:37.0,1.4850
'0:0:37.2,1.4839
'0:0:37.4,1.4824
'0:0:37.6,1.4814
'0:0:37.8,1.4810
'0:0:38.0,1.4801
'0:0:38.2,1.4786
'0:0:38.4,1.4774
'0:0:38.6,1.4759
'0:0:38.8,1.4748
'0:0:39.0,1.4735
'0:0:39.2,1.4728
'0:0:39.4,1.4720
'0:0:39.6,1.4709
'0:0:39.8,1.4696
'0:0:40.0,1.4690
'0:0:40.2,1.4672
'0:0:40.4,1.4660
'0:0:40.6,1.4648
'0:0:40.8,1.4638
'0:0:41.0,1.4627
'0:0:41.2,1.4623
'0:0:41.4,1.4612
'0:0:41.6,1.4601
'0:0:41.8,1.4592
'0:0:42.0,1.4590
'0:0:42.2,1.4583
'0:0:42.4,1.4579
'0:0:42.6,1.4575
'0:0:42.8,1.4571
'0:0:43.0,1.4560
'0:0:43.2,1.4549
'0:0:43.4,1.4544
'0:0:43.6,1.4548
'0:0:43.8,1.4565
'0:0:44.0,1.4603
'0:0:44.2,1.4664
'0:0:44.4,1.4749
'0:0:44.6,1.4867
'0:0:44.8,1.4977
'0:0:45.0,1.5060
'0:0:45.2,1.5144
'0:0:45.4,1.5252
'0:0:45.6,1.5327
'0:0:45.8,1.5373
'0:0:46.0,1.5403
'0:0:46.2,1.5428
'0:0:46.4,1.5445
'0:0:46.6,1.5458
'0:0:46.8,1.5462
'0:0:47.0,1.5455
'0:0:47.2,1.5449
'0:0:47.4,1.5441
'0:0:47.6,1.5432
'0:0:47.8,1.5423
'0:0:48.0,1.5412
'0:0:48.2,1.5400
'0:0:48.4,1.5389
'0:0:48.6,1.5384
'0:0:48.8,1.5391
'0:0:49.0,1.5437
'0:0:49.2,1.5530
'0:0:49.4,1.5673
'0:0:49.6,1.5827
'0:0:49.8,1.5985
'0:0:50.0,1.6127
'0:0:50.2,1.6218
'0:0:50.4,1.6282
'0:0:50.6,1.6352
'0:0:50.8,1.6382
'0:0:51.0,1.6448
'0:0:51.2,1.6440
'0:0:51.4,1.6435
'0:0:51.6,1.6427
'0:0:51.8,1.6400
'0:0:52.0,1.6367
'0:0:52.2,1.6324
'0:0:52.4,1.6301
'0:0:52.6,1.6273
'0:0:52.8,1.6241
'0:0:53.0,1.6207
'0:0:53.2,1.6175
'0:0:53.4,1.6129
'0:0:53.6,1.6079
'0:0:53.8,1.6036
'0:0:54.0,1.5987
'0:0:54.2,1.5936
'0:0:54.4,1.5894
'0:0:54.6,1.5851
'0:0:54.8,1.5817
'0:0:55.0,1.5781
'0:0:55.2,1.5747
'0:0:55.4,1.5724
'0:0:55.6,1.5694
'0:0:55.8,1.5670
'0:0:56.0,1.5647
'0:0:56.2,1.5629
'0:0:56.4,1.5607
'0:0:56.6,1.5589
'0:0:56.8,1.5570
'0:0:57.0,1.5561
'0:0:57.2,1.5547
'0:0:57.4,1.5525
'0:0:57.6,1.5507
'0:0:57.8,1.5494
'0:0:58.0,1.5481
'0:0:58.2,1.5466
'0:0:58.4,1.5453
'0:0:58.6,1.5444
'0:0:58.8,1.5440
'0:0:59.0,1.5428
'0:0:59.2,1.5408
'0:0:59.4,1.5392
'0:0:59.6,1.5377
'0:0:59.8,1.5362
'0:1:0.0,1.5353
'0:1:0.2,1.5344
'0:1:0.4,1.5341
'0:1:0.6,1.5341
'0:1:0.8,1.5334
'0:1:1.0,1.5319
'0:1:1.2,1.5307
'0:1:1.4,1.5291
'0:1:1.6,1.5276
'0:1:1.8,1.5267
'0:1:2.0,1.5257
'0:1:2.2,1.5247
'0:1:2.4,1.5240
'0:1:2.6,1.5226
'0:1:2.8,1.5216
'0:1:3.0,1.5206
'0:1:3.2,1.5192
'0:1:3.4,1.5181
'0:1:3.6,1.5165
'0:1:3.8,1.5155
'0:1:4.0,1.5148
'0:1:4.2,1.5136
'0:1:4.4,1.5127
'0:1:4.6,1.5117
'0:1:4.8,1.5107
'0:1:5.0,1.5105
'0:1:5.2,1.5097
'0:1:5.4,1.5092
'0:1:5.6,1.5081
'0:1:5.8,1.5071
'0:1:6.0,1.5060
'0:1:6.2,1.5053
'0:1:6.4,1.5047
'0:1:6.6,1.5037
'0:1:6.8,1.5028
'0:1:7.0,1.5015
'0:1:7.2,1.5006
'0:1:7.4,1.4996
'0:1:7.6,1.4982
'0:1:7.8,1.4970
'0:1:8.0,1.4960
'0:1:8.2,1.4949
'0:1:8.4,1.4940
'0:1:8.6,1.4932
'0:1:8.8,1.4926
'0:1:9.0,1.4923
'0:1:9.2,1.4910
'0:1:9.4,1.4898
'0:1:9.6,1.4890
'0:1:9.8,1.4883
'0:1:10.0,1.4875
'0:1:10.2,1.4856
'0:1:10.4,1.4844
'0:1:10.6,1.4829
'0:1:10.8,1.4811
'0:1:11.0,1.4815
'0:1:11.2,1.4811
'0:1:11.4,1.4806
'0:1:11.6,1.4800
'0:1:11.8,1.4787
'0:1:12.0,1.4781
'0:1:12.2,1.4773
'0:1:12.4,1.4769
'0:1:12.6,1.4763
'0:1:12.8,1.4755
'0:1:13.0,1.4744
'0:1:13.2,1.4735
'0:1:13.4,1.4725
'0:1:13.6,1.4718
'0:1:13.8,1.4712
'0:1:14.0,1.4704
'0:1:14.2,1.4697
'0:1:14.4,1.4687
'0:1:14.6,1.4673
'0:1:14.8,1.4670
'0:1:15.0,1.4665
'0:1:15.2,1.4661
'0:1:15.4,1.4659
'0:1:15.6,1.4649
'0:1:15.8,1.4643
'0:1:16.0,1.4640
'0:1:16.2,1.4629
'0:1:16.4,1.4624
'0:1:16.6,1.4617
'0:1:16.8,1.4612
'0:1:17.0,1.4607
'0:1:17.2,1.4599
'0:1:17.4,1.4595
'0:1:17.6,1.4586
'0:1:17.8,1.4576
'0:1:18.0,1.4569
'0:1:18.2,1.4564
'0:1:18.4,1.4553
'0:1:18.6,1.4536
'0:1:18.8,1.4529
'0:1:19.0,1.4521
'0:1:19.2,1.4511
'0:1:19.4,1.4506
'0:1:19.6,1.4494
'0:1:19.8,1.4487
'0:1:20.0,1.4478
'0:1:20.2,1.4472
'0:1:20.4,1.4465
'0:1:20.6,1.4454
'0:1:20.8,1.4447
'0:1:21.0,1.4434
'0:1:21.2,1.4423
'0:1:21.4,1.4411
'0:1:21.6,1.4401
'0:1:21.8,1.4393
'0:1:22.0,1.4383
'0:1:22.2,1.4374
'0:1:22.4,1.4363
'0:1:22.6,1.4351
'0:1:22.8,1.4343
'0:1:23.0,1.4331
'0:1:23.2,1.4320
'0:1:23.4,1.4315
'0:1:23.6,1.4308
'0:1:23.8,1.4299
'0:1:24.0,1.4288
'0:1:24.2,1.4277
'0:1:24.4,1.4266
'0:1:24.6,1.4251
'0:1:24.8,1.4247
'0:1:25.0,1.4246
'0:1:25.2,1.4236
'0:1:25.4,1.4226
'0:1:25.6,1.4217
'0:1:25.8,1.4210
'0:1:26.0,1.4202
'0:1:26.2,1.4192
'0:1:26.4,1.4183
'0:1:26.6,1.4171
'0:1:26.8,1.4164
'0:1:27.0,1.4160
'0:1:27.2,1.4146
'0:1:27.4,1.4145
'0:1:27.6,1.4141
'0:1:27.8,1.4146
'0:1:28.0,1.4133
'0:1:28.2,1.3845
'0:1:28.4,1.3760
'0:1:28.6,1.3063
'0:1:28.8,1.2831
'0:1:29.0,1.2450
'0:1:29.2,1.1681
'0:1:29.4,1.1810
'0:1:29.6,1.1684
'0:1:29.8,1.2294
'0:1:30.0,1.2827
'0:1:30.2,1.2725
'0:1:30.4,1.3028
'0:1:30.6,1.3515
'0:1:30.8,1.3708
'0:1:31.0,1.3849
'0:1:31.2,1.3991
'0:1:31.4,1.4107
'0:1:31.6,1.4268
'0:1:31.8,1.4408
'0:1:32.0,1.4583
'0:1:32.2,1.4735
'0:1:32.4,1.4856
'0:1:32.6,1.4942
'0:1:32.8,1.5063
'0:1:33.0,1.5162
'0:1:33.2,1.5294
'0:1:33.4,1.5346
'0:1:33.6,1.5422
'0:1:33.8,1.5495
'0:1:34.0,1.5560
'0:1:34.2,1.5647
'0:1:34.4,1.5814
'0:1:34.6,1.5993
'0:1:34.8,1.6232
'0:1:35.0,1.6477
'0:1:35.2,1.6703
'0:1:35.4,1.6907
'0:1:35.6,1.7106
'0:1:35.8,1.7257
'0:1:36.0,1.7395
'0:1:36.2,1.7522
'0:1:36.4,1.7642
'0:1:36.6,1.7730
'0:1:36.8,1.7784
'0:1:37.0,1.7803
'0:1:37.2,1.7808
'0:1:37.4,1.7795
'0:1:37.6,1.7740
'0:1:37.8,1.7706
'0:1:38.0,1.7688
'0:1:38.2,1.7730
'0:1:38.4,1.7798
'0:1:38.6,1.7961
'0:1:38.8,1.8203
'0:1:39.0,1.8445
'0:1:39.2,1.8634
'0:1:39.4,1.8819
'0:1:39.6,1.8985
'0:1:39.8,1.9161
'0:1:40.0,1.9310
'0:1:40.2,1.9430
'0:1:40.4,1.9573
'0:1:40.6,1.9688
'0:1:40.8,1.9898
'0:1:41.0,2.0044
'0:1:41.2,2.0245
'0:1:41.4,2.0405
'0:1:41.6,2.0441
'0:1:41.8,2.0533
'0:1:42.0,2.0517
'0:1:42.2,2.0494
'0:1:42.4,2.0438
'0:1:42.6,2.0380
'0:1:42.8,2.0344
'0:1:43.0,2.0349
'0:1:43.2,2.0351
'0:1:43.4,2.0309
'0:1:43.6,2.0239
'0:1:43.8,2.0187
'0:1:44.0,2.0151
'0:1:44.2,2.0175
'0:1:44.4,2.0273
'0:1:44.6,2.0490
'0:1:44.8,2.0763
'0:1:45.0,2.1040
'0:1:45.2,2.1244
