Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.0122
'0:0:0.2,1.0117
'0:0:0.4,1.0115
'0:0:0.6,1.0106
'0:0:0.8,1.0099
'0:0:1.0,1.0096
'0:0:1.2,1.0089
'0:0:1.4,1.0081
'0:0:1.6,1.0074
'0:0:1.8,1.0067
'0:0:2.0,1.0058
'0:0:2.2,1.0053
'0:0:2.4,1.0046
'0:0:2.6,1.0035
'0:0:2.8,1.0027
'0:0:3.0,1.0019
'0:0:3.2,1.0014
'0:0:3.4,1.0004
'0:0:3.6,0.9996
'0:0:3.8,0.9987
'0:0:4.0,0.9982
'0:0:4.2,0.9979
'0:0:4.4,0.9974
'0:0:4.6,0.9973
'0:0:4.8,0.9974
'0:0:5.0,0.9974
'0:0:5.2,0.9978
'0:0:5.4,0.9985
'0:0:5.6,0.9992
'0:0:5.8,0.9999
'0:0:6.0,1.0005
'0:0:6.2,1.0011
'0:0:6.4,1.0016
'0:0:6.6,1.0014
'0:0:6.8,1.0011
'0:0:7.0,1.0002
'0:0:7.2,0.9998
'0:0:7.4,0.9992
'0:0:7.6,0.9986
'0:0:7.8,0.9984
'0:0:8.0,0.9976
'0:0:8.2,0.9967
'0:0:8.4,0.9958
'0:0:8.6,0.9951
'0:0:8.8,0.9945
'0:0:9.0,0.9937
'0:0:9.2,0.9933
'0:0:9.4,0.9923
'0:0:9.6,0.9917
'0:0:9.8,0.9910
'0:0:10.0,0.9898
'0:0:10.2,0.9889
'0:0:10.4,0.9881
'0:0:10.6,0.9872
'0:0:10.8,0.9862
'0:0:11.0,0.9853
'0:0:11.2,0.9848
'0:0:11.4,0.9840
'0:0:11.6,0.9832
'0:0:11.8,0.9826
'0:0:12.0,0.9822
'0:0:12.2,0.9815
'0:0:12.4,0.9809
'0:0:12.6,0.9804
'0:0:12.8,0.9797
'0:0:13.0,0.9791
'0:0:13.2,0.9787
'0:0:13.4,0.9776
'0:0:13.6,0.9768
'0:0:13.8,0.9761
'0:0:14.0,0.9751
'0:0:14.2,0.9746
'0:0:14.4,0.9739
'0:0:14.6,0.9734
'0:0:14.8,0.9730
'0:0:15.0,0.9720
'0:0:15.2,0.9713
'0:0:15.4,0.9707
'0:0:15.6,0.9703
'0:0:15.8,0.9699
'0:0:16.0,0.9692
'0:0:16.2,0.9686
'0:0:16.4,0.9677
'0:0:16.6,0.9668
'0:0:16.8,0.9659
'0:0:17.0,0.9651
'0:0:17.2,0.9647
'0:0:17.4,0.9638
'0:0:17.6,0.9631
'0:0:17.8,0.9627
'0:0:18.0,0.9621
'0:0:18.2,0.9616
'0:0:18.4,0.9611
'0:0:18.6,0.9605
'0:0:18.8,0.9597
'0:0:19.0,0.9590
'0:0:19.2,0.9584
'0:0:19.4,0.9581
'0:0:19.6,0.9577
'0:0:19.8,0.9574
'0:0:20.0,0.9571
'0:0:20.2,0.9565
'0:0:20.4,0.9557
'0:0:20.6,0.9551
'0:0:20.8,0.9547
'0:0:21.0,0.9544
'0:0:21.2,0.9537
'0:0:21.4,0.9530
'0:0:21.6,0.9525
'0:0:21.8,0.9521
'0:0:22.0,0.9515
'0:0:22.2,0.9509
'0:0:22.4,0.9505
'0:0:22.6,0.9499
'0:0:22.8,0.9496
'0:0:23.0,0.9489
'0:0:23.2,0.9484
'0:0:23.4,0.9480
'0:0:23.6,0.9474
'0:0:23.8,0.9465
'0:0:24.0,0.9461
'0:0:24.2,0.9455
'0:0:24.4,0.9453
'0:0:24.6,0.9450
'0:0:24.8,0.9446
'0:0:25.0,0.9440
'0:0:25.2,0.9437
'0:0:25.4,0.9430
'0:0:25.6,0.9427
'0:0:25.8,0.9421
'0:0:26.0,0.9420
'0:0:26.2,0.9413
'0:0:26.4,0.9408
'0:0:26.6,0.9404
'0:0:26.8,0.9400
'0:0:27.0,0.9397
'0:0:27.2,0.9393
'0:0:27.4,0.9388
'0:0:27.6,0.9385
'0:0:27.8,0.9380
'0:0:28.0,0.9376
'0:0:28.2,0.9370
'0:0:28.4,0.9372
'0:0:28.6,0.9368
'0:0:28.8,0.9364
'0:0:29.0,0.9361
'0:0:29.2,0.9355
'0:0:29.4,0.9353
'0:0:29.6,0.9351
'0:0:29.8,0.9351
'0:0:30.0,0.9351
'0:0:30.2,0.9352
'0:0:30.4,0.9350
'0:0:30.6,0.9348
'0:0:30.8,0.9347
'0:0:31.0,0.9346
'0:0:31.2,0.9344
'0:0:31.4,0.9341
'0:0:31.6,0.9337
'0:0:31.8,0.9342
'0:0:32.0,0.9350
'0:0:32.2,0.9364
'0:0:32.4,0.9386
'0:0:32.6,0.9417
'0:0:32.8,0.9448
'0:0:33.0,0.9477
'0:0:33.2,0.9503
'0:0:33.4,0.9522
'0:0:33.6,0.9539
'0:0:33.8,0.9557
'0:0:34.0,0.9583
'0:0:34.2,0.9585
'0:0:34.4,0.9593
'0:0:34.6,0.9601
'0:0:34.8,0.9609
'0:0:35.0,0.9613
'0:0:35.2,0.9627
'0:0:35.4,0.9635
'0:0:35.6,0.9645
'0:0:35.8,0.9656
'0:0:36.0,0.9663
'0:0:36.2,0.9672
'0:0:36.4,0.9687
'0:0:36.6,0.9697
'0:0:36.8,0.9697
'0:0:37.0,0.9693
'0:0:37.2,0.9688
'0:0:37.4,0.9677
'0:0:37.6,0.9667
'0:0:37.8,0.9657
'0:0:38.0,0.9645
'0:0:38.2,0.9641
'0:0:38.4,0.9636
'0:0:38.6,0.9632
'0:0:38.8,0.9635
'0:0:39.0,0.9642
'0:0:39.2,0.9640
'0:0:39.4,0.9642
'0:0:39.6,0.9650
'0:0:39.8,0.9650
'0:0:40.0,0.9646
'0:0:40.2,0.9636
'0:0:40.4,0.9628
'0:0:40.6,0.9619
'0:0:40.8,0.9610
'0:0:41.0,0.9601
'0:0:41.2,0.9597
'0:0:41.4,0.9590
'0:0:41.6,0.9585
'0:0:41.8,0.9579
'0:0:42.0,0.9575
'0:0:42.2,0.9570
'0:0:42.4,0.9567
'0:0:42.6,0.9565
'0:0:42.8,0.9561
'0:0:43.0,0.9559
'0:0:43.2,0.9557
'0:0:43.4,0.9552
'0:0:43.6,0.9548
'0:0:43.8,0.9548
'0:0:44.0,0.9545
'0:0:44.2,0.9542
'0:0:44.4,0.9537
'0:0:44.6,0.9534
'0:0:44.8,0.9533
'0:0:45.0,0.9533
'0:0:45.2,0.9532
'0:0:45.4,0.9530
'0:0:45.6,0.9534
'0:0:45.8,0.9532
'0:0:46.0,0.9533
'0:0:46.2,0.9532
'0:0:46.4,0.9532
'0:0:46.6,0.9532
'0:0:46.8,0.9530
'0:0:47.0,0.9525
'0:0:47.2,0.9523
'0:0:47.4,0.9522
'0:0:47.6,0.9521
'0:0:47.8,0.9511
'0:0:48.0,0.9505
'0:0:48.2,0.9501
'0:0:48.4,0.9497
'0:0:48.6,0.9492
'0:0:48.8,0.9488
'0:0:49.0,0.9485
'0:0:49.2,0.9480
'0:0:49.4,0.9480
'0:0:49.6,0.9476
'0:0:49.8,0.9470
'0:0:50.0,0.9464
'0:0:50.2,0.9458
'0:0:50.4,0.9456
'0:0:50.6,0.9453
'0:0:50.8,0.9451
'0:0:51.0,0.9446
'0:0:51.2,0.9441
'0:0:51.4,0.9440
'0:0:51.6,0.9436
'0:0:51.8,0.9434
'0:0:52.0,0.9431
'0:0:52.2,0.9427
'0:0:52.4,0.9424
'0:0:52.6,0.9420
'0:0:52.8,0.9415
'0:0:53.0,0.9415
'0:0:53.2,0.9410
'0:0:53.4,0.9408
'0:0:53.6,0.9408
'0:0:53.8,0.9406
'0:0:54.0,0.9402
'0:0:54.2,0.9397
'0:0:54.4,0.9392
'0:0:54.6,0.9391
'0:0:54.8,0.9386
'0:0:55.0,0.9379
'0:0:55.2,0.9378
'0:0:55.4,0.9371
'0:0:55.6,0.9371
'0:0:55.8,0.9366
'0:0:56.0,0.9363
'0:0:56.2,0.9364
'0:0:56.4,0.9360
'0:0:56.6,0.9355
'0:0:56.8,0.9354
'0:0:57.0,0.9346
'0:0:57.2,0.9343
'0:0:57.4,0.9339
'0:0:57.6,0.9338
'0:0:57.8,0.9334
'0:0:58.0,0.9329
'0:0:58.2,0.9330
'0:0:58.4,0.9326
'0:0:58.6,0.9323
'0:0:58.8,0.9320
'0:0:59.0,0.9316
'0:0:59.2,0.9314
'0:0:59.4,0.9314
'0:0:59.6,0.9318
'0:0:59.8,0.9314
'0:1:0.0,0.9316
'0:1:0.2,0.9319
'0:1:0.4,0.9319
'0:1:0.6,0.9322
'0:1:0.8,0.9321
'0:1:1.0,0.9319
'0:1:1.2,0.9320
'0:1:1.4,0.9317
'0:1:1.6,0.9316
'0:1:1.8,0.9313
'0:1:2.0,0.9308
'0:1:2.2,0.9309
'0:1:2.4,0.9295
'0:1:2.6,0.9293
'0:1:2.8,0.9289
'0:1:3.0,0.9283
'0:1:3.2,0.9279
'0:1:3.4,0.9275
'0:1:3.6,0.9269
'0:1:3.8,0.9265
'0:1:4.0,0.9261
'0:1:4.2,0.9257
'0:1:4.4,0.9254
'0:1:4.6,0.9250
'0:1:4.8,0.9247
'0:1:5.0,0.9243
'0:1:5.2,0.9237
'0:1:5.4,0.9233
'0:1:5.6,0.9231
'0:1:5.8,0.9226
'0:1:6.0,0.9221
'0:1:6.2,0.9218
'0:1:6.4,0.9212
'0:1:6.6,0.9206
'0:1:6.8,0.9204
'0:1:7.0,0.9199
'0:1:7.2,0.9194
'0:1:7.4,0.9187
'0:1:7.6,0.9185
'0:1:7.8,0.9179
'0:1:8.0,0.9173
'0:1:8.2,0.9172
'0:1:8.4,0.9166
'0:1:8.6,0.9159
'0:1:8.8,0.9153
'0:1:9.0,0.9148
'0:1:9.2,0.9145
'0:1:9.4,0.9139
'0:1:9.6,0.9134
'0:1:9.8,0.9130
'0:1:10.0,0.9124
'0:1:10.2,0.9120
'0:1:10.4,0.9120
'0:1:10.6,0.9118
'0:1:10.8,0.9113
'0:1:11.0,0.9107
'0:1:11.2,0.9104
'0:1:11.4,0.9097
'0:1:11.6,0.9090
'0:1:11.8,0.9087
'0:1:12.0,0.9080
'0:1:12.2,0.9076
'0:1:12.4,0.9072
'0:1:12.6,0.9068
'0:1:12.8,0.9063
'0:1:13.0,0.9059
'0:1:13.2,0.9056
'0:1:13.4,0.9050
'0:1:13.6,0.9047
'0:1:13.8,0.9042
'0:1:14.0,0.9039
'0:1:14.2,0.9036
'0:1:14.4,0.9030
'0:1:14.6,0.9025
'0:1:14.8,0.9020
'0:1:15.0,0.9018
'0:1:15.2,0.9011
'0:1:15.4,0.9004
'0:1:15.6,0.9000
'0:1:15.8,0.8996
'0:1:16.0,0.8990
'0:1:16.2,0.8989
'0:1:16.4,0.8984
'0:1:16.6,0.8978
'0:1:16.8,0.8973
'0:1:17.0,0.8967
'0:1:17.2,0.8964
'0:1:17.4,0.8960
'0:1:17.6,0.8957
'0:1:17.8,0.8952
'0:1:18.0,0.8949
'0:1:18.2,0.8946
'0:1:18.4,0.8940
'0:1:18.6,0.8941
'0:1:18.8,0.8938
'0:1:19.0,0.8932
'0:1:19.2,0.8929
'0:1:19.4,0.8928
'0:1:19.6,0.8924
'0:1:19.8,0.8920
'0:1:20.0,0.8915
'0:1:20.2,0.8911
'0:1:20.4,0.8906
'0:1:20.6,0.8901
'0:1:20.8,0.8900
'0:1:21.0,0.8895
'0:1:21.2,0.8890
'0:1:21.4,0.8885
'0:1:21.6,0.8883
'0:1:21.8,0.8880
'0:1:22.0,0.8876
'0:1:22.2,0.8872
'0:1:22.4,0.8869
'0:1:22.6,0.8869
'0:1:22.8,0.8868
'0:1:23.0,0.8868
'0:1:23.2,0.8873
'0:1:23.4,0.8864
'0:1:23.6,0.8861
'0:1:23.8,0.8860
'0:1:24.0,0.8858
'0:1:24.2,0.8855
'0:1:24.4,0.8852
'0:1:24.6,0.8852
'0:1:24.8,0.8857
'0:1:25.0,0.8850
'0:1:25.2,0.8848
'0:1:25.4,0.8843
'0:1:25.6,0.8839
'0:1:25.8,0.8835
'0:1:26.0,0.8827
'0:1:26.2,0.8827
'0:1:26.4,0.8830
'0:1:26.6,0.8823
'0:1:26.8,0.8823
'0:1:27.0,0.8825
'0:1:27.2,0.8822
'0:1:27.4,0.8821
'0:1:27.6,0.8818
'0:1:27.8,0.8819
'0:1:28.0,0.8816
'0:1:28.2,0.8815
'0:1:28.4,0.8811
'0:1:28.6,0.8810
'0:1:28.8,0.8773
'0:1:29.0,0.8805
'0:1:29.2,0.8650
'0:1:29.4,0.8575
'0:1:29.6,0.7912
'0:1:29.8,0.8378
'0:1:30.0,0.8607
'0:1:30.2,0.8825
'0:1:30.4,0.8942
'0:1:30.6,0.8949
'0:1:30.8,0.8931
'0:1:31.0,0.8951
'0:1:31.2,0.9050
'0:1:31.4,0.9013
'0:1:31.6,0.9057
'0:1:31.8,0.9209
'0:1:32.0,0.9058
'0:1:32.2,0.9221
'0:1:32.4,0.9246
'0:1:32.6,0.9277
'0:1:32.8,0.9286
'0:1:33.0,0.9333
'0:1:33.2,0.9381
'0:1:33.4,0.9440
'0:1:33.6,0.9533
'0:1:33.8,0.9528
'0:1:34.0,0.9635
'0:1:34.2,0.9619
'0:1:34.4,0.9638
'0:1:34.6,0.9603
'0:1:34.8,0.9607
'0:1:35.0,0.9586
'0:1:35.2,0.9636
'0:1:35.4,0.9632
'0:1:35.6,0.9676
'0:1:35.8,0.9676
'0:1:36.0,0.9668
'0:1:36.2,0.9660
'0:1:36.4,0.9660
'0:1:36.6,0.9662
'0:1:36.8,0.9662
'0:1:37.0,0.9677
'0:1:37.2,0.9704
'0:1:37.4,0.9713
'0:1:37.6,0.9732
'0:1:37.8,0.9782
'0:1:38.0,0.9844
'0:1:38.2,0.9907
'0:1:38.4,0.9963
'0:1:38.6,1.0013
'0:1:38.8,1.0054
'0:1:39.0,1.0091
'0:1:39.2,1.0132
'0:1:39.4,1.0187
'0:1:39.6,1.0249
'0:1:39.8,1.0335
'0:1:40.0,1.0419
'0:1:40.2,1.0465
'0:1:40.4,1.0537
'0:1:40.6,1.0579
'0:1:40.8,1.0570
'0:1:41.0,1.0571
'0:1:41.2,1.0582
'0:1:41.4,1.0572
'0:1:41.6,1.0575
'0:1:41.8,1.0596
'0:1:42.0,1.0638
'0:1:42.2,1.0659
'0:1:42.4,1.0649
'0:1:42.6,1.0643
'0:1:42.8,1.0667
'0:1:43.0,1.0722
'0:1:43.2,1.0815
'0:1:43.4,1.0910
'0:1:43.6,1.0980
'0:1:43.8,1.1075
'0:1:44.0,1.1167
'0:1:44.2,1.1193
'0:1:44.4,1.1210
'0:1:44.6,1.1235
'0:1:44.8,1.1272
'0:1:45.0,1.1298
'0:1:45.2,1.1306
