TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
49:11.9,1.103072928,0.028232425,-0.390173238,0.384227796,0.413653682,-0.192348544,-0.288470364,0.289252741,0.869712746,0.206249758,0.019005123,0.512225717,0.538723833,0.41131672,0.555014387,0.608743029,0.28211299,0.582267994,0.769726632,0.472461278,819.96337,816.7399267,802.6373626,812.7106227,588.2783883,-0.383972,0.12207,0.924011,3.678589,-6.796417,-2.257996,1,1,1,1,1,75,
49:12.9,1.096687028,-0.289246551,-0.316257812,0.067391431,0.17351178,-0.280713174,-0.239410176,0.077759816,0.827202809,0.163541317,0.036920651,0.662576891,0.611522677,0.401940412,0.609240989,0.789442295,0.262801554,0.636758024,0.736751834,0.591780199,833.2600733,799.010989,805.8608059,817.5457875,762.3443223,-0.395203,0.121338,0.922363,4.142151,-8.351593,-0.800018,1,1,1,1,1,75,
49:13.9,1.005700835,-0.141333866,-0.598335948,0.074801645,0.367305069,-0.117122687,-0.541832227,0.071933054,0.673093742,0.156263613,0.097064111,0.696859936,0.544582731,0.297810264,0.57568381,0.58320757,0.151986927,0.619030415,0.470933188,0.388922632,714.3956044,826.007326,744.2124542,679.3406593,877.5824176,-0.380493,0.124146,0.92572,4.029999,-6.564636,-1.435547,1,1,1,1,1,75,
49:14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
49:14.9,0.689965672,0.647321059,1.022974231,-0.016358821,0.465844723,0.226688934,0.374727667,0.12290254,0.499129077,0.459250004,0.433866933,0.510363822,0.668037076,0.515527163,0.610970456,0.561885132,0.174203219,0.561562215,0.245462302,0.299131625,825.2014652,814.3223443,784.5054945,813.5164835,737.7655678,-0.375916,0.11731,0.92926,3.992615,-7.402039,-2.265472,1,1,1,1,1,75,
49:15.9,0.438064599,0.461270525,0.764121386,0.211427921,0.308072555,0.026999659,0.133997497,-0.251068663,0.869205156,0.426932834,0.362143776,0.268488805,0.624828332,0.4960261,0.606004543,0.718617981,0.420430178,0.642194274,0.246099482,0.566143412,800.6227106,794.981685,792.1611722,816.7399267,1046.813187,-0.386475,0.124756,0.924805,4.560852,-6.721649,-0.605621,1,1,1,1,1,75,
49:16.9,0.274245954,0.138341307,-0.056672318,0.16203214,0.320331622,-0.125238875,-0.10778795,0.171839925,0.547081707,-0.013249392,-0.083419408,0.585837232,0.548384838,0.37146241,0.553086473,0.601351721,0.333436329,0.696807615,0.415101588,0.546850505,824.3956044,811.5018315,779.6703297,827.6190476,938.021978,-0.383423,0.12207,0.922913,3.970184,-7.230072,-2.063599,1,1,1,1,1,75,
49:17.9,0.773644806,0.095904792,0.193044211,0.273974119,0.54112978,-0.129392789,-0.11513367,0.391631178,0.821088537,-0.08412481,-0.057660543,0.633961765,0.562431973,0.363211304,0.442092721,0.494941718,0.137407986,0.669440633,0.332086293,0.2750156,833.6630037,802.2344322,800.6227106,815.5311355,974.6886447,-0.382812,0.120239,0.927124,3.678589,-7.245026,-1.472931,1,1,1,1,1,75,
49:18.9,1.060321433,-0.110854182,-0.090567655,0.442657359,0.685431046,-0.117149648,-0.310311318,0.23731301,0.814919657,0.116768072,0.006861506,0.716186975,0.506552767,0.533533516,0.400608829,0.608516676,0.022594125,0.687878393,0.529864309,0.122564704,823.992674,803.8461538,798.6080586,831.6483516,892.4908425,-0.382629,0.120789,0.930847,3.521576,-8.045044,-1.772003,1,1,1,1,1,75,
49:19.9,1.34633258,-0.109457439,-0.075593806,0.697529721,0.879101543,0.044635351,-0.539083484,0.35033997,0.902277939,0.229864152,0.116713959,0.688356435,0.592633228,0.397782272,0.552928678,0.551006491,0.364751281,0.678428225,0.54950596,0.097365753,816.7399267,819.1575092,798.6080586,830.8424908,794.1758242,-0.378845,0.117126,0.930115,4.254303,-6.706696,-1.996307,1,1,1,1,1,75,
